Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient1	0	0	0	0	0	0	0	0	0	1717		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	0.0			4217.210237181577	4007.6733361144015	-1.0522839272300397	0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0	
PB.161541.3	Patient10	0	0	0	0	0	2	0	2	0	1394		1434.7202295552368		24.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	3.0		0.6666666666666666	4217.210237181577	4007.6733361144015	-0.6942906205833819	-122.32376584607275	0.27232401732063627						
PB.161541.3	Patient11	0	0	0	0	2	1	0	3	0	1367		2194.5866861741038		19.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.5	4217.210237181577	4007.6733361144015	-0.5046877281092195	-129.47165413010066	0.10410879404381117						
PB.161541.3	Patient12	0	0	0	0	0	0	0	0	0	1791		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.0	4217.210237181577	4007.6733361144015	-1.0522839272300397	0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0	
PB.161541.3	Patient13	0	0	0	0	0	1	0	1	0	2218		450.8566275924256		28.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.5	4217.210237181577	4007.6733361144015	-0.9397855797400846	-102.87060381719331	0.7301260791464014						
PB.161541.3	Patient14	0	0	0	2	0	4	0	6	0	1708		3512.88056206089		15.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		1.0	4217.210237181577	4007.6733361144015	-0.17574528062797723	-134.4879497468961	-0.04750972015948165						
PB.161541.3	Patient16	0	0	0	1	0	1	0	2	0	1271		1573.5641227380015		22.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	3.0		0.6666666666666666	4217.210237181577	4007.6733361144015	-0.6596461070369312	-123.8771128147606	0.2357682407358122						
PB.161541.3	Patient22	0	0	0	1	2	2	0	5	0	2106		2374.1690408357076		18.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.8333333333333334	4217.210237181577	4007.6733361144015	-0.45987809927961126	-130.7945943798827	0.07297530668975542						
PB.161541.3	Patient24	0	0	0	0	2	0	0	2	0	1661		1204.0939193257075		26.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	11.0		0.18181818181818182	4217.210237181577	4007.6733361144015	-0.7518368053363366	-119.37717569137946	0.3416677592876993						
PB.161541.3	Patient25	0	0	0	2	0	1	0	3	0	1946		1541.623843782117		23.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.5	4217.210237181577	4007.6733361144015	-0.667615888073739	-123.53226150755168	0.24388381799925027						
