Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient15	0	13	0	2573		5052.467936261173		10.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	15.0		0.8666666666666667	4217.210237181577	4007.6733361144015	0.20841461592012175	-19.329594519600725	0.24514224136052853						
PB.161541.3	Patient17	0	8	0	1227		6519.967400162999		7.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	14.0		0.5714285714285714	4217.210237181577	4007.6733361144015	0.574587040872457	-15.130006671980064	0.34156078862248807						
PB.161541.3	Patient18	0	10	0	1387		7209.805335255947		6.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	12.0		0.8333333333333334	4217.210237181577	4007.6733361144015	0.7467163231861133	-13.473583684954955	0.37959068675898316						
PB.161541.3	Patient19	0	21	0	1548		13565.891472868218		2.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	22.0		0.9545454545454546	4217.210237181577	4007.6733361144015	2.3326954199192684	-3.062218806568337	0.6186257332950311						
PB.161541.3	Patient2	0	9	0	1085		8294.930875576038		5.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	9.0		1.0	4217.210237181577	4007.6733361144015	1.0174782963593465	-11.164418358436311	0.43260692888778157						
PB.161541.3	Patient20	0	9	0	1738		5178.3659378596085		9.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	13.0		0.6923076923076923	4217.210237181577	4007.6733361144015	0.2398288533191455	-18.924244811432686	0.25444868556713435						
PB.161541.3	Patient21	0	8	0	1328		6024.096385542169		8.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	8.0		1.0	4217.210237181577	4007.6733361144015	0.4508566434489991	-16.432791122051906	0.3116500953284865						
PB.161541.3	Patient23	0	5	0	1159		4314.063848144952		12.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	14.0		0.35714285714285715	4217.210237181577	4007.6733361144015	0.024167042281265	-21.931606743138538	0.18540251268845942						
PB.161541.3	Patient26	0	24	0	1469		16337.644656228726		1.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	26.0		0.9230769230769231	4217.210237181577	4007.6733361144015	3.0243069737810497	3.062218806568338	0.7592370025151053						
PB.161541.3	Patient30	0	19	0	1808		10508.849557522124		3.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	21.0		0.9047619047619048	4217.210237181577	4007.6733361144015	1.5698982408682394	-7.267925993520923	0.5220666918155445						
PB.161541.3	Patient31	0	18	0	1858		9687.83638320775		4.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	18.0		1.0	4217.210237181577	4007.6733361144015	1.3650379377801691	-8.607761224873448	0.49130534778255963						
PB.161541.3	Patient5	0	7	0	1596		4385.964912280701		11.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	7.0		1.0	4217.210237181577	4007.6733361144015	0.042107891773120035	-21.659393202738244	0.19165227696599477						
PB.161551.18	Patient10	0	161	0	1394		115494.97847919655		6.0		41351.1939429237		56432.168021848614	SRSF6	0.0	248.0		0.6491935483870968	56432.168021848614	44737.82319924406	1.3201985754717258	-8.430017857789373	0.4982041902527556						
PB.161551.18	Patient11	0	122	0	1367		89246.52523774689		8.0		41351.1939429237		56432.168021848614	SRSF6	0.0	299.0		0.4080267558528428	56432.168021848614	44737.82319924406	0.733481311099033	-14.124258662365774	0.3757461140640338						
PB.161551.18	Patient12	0	183	0	1791		102177.55443886097		7.0		41351.1939429237		56432.168021848614	SRSF6	0.0	223.0		0.820627802690583	56432.168021848614	44737.82319924406	1.0225215074341238	-11.135851978906064	0.44001359868320916						
PB.161551.18	Patient13	0	265	0	2218		119477.0063119928		4.0		41351.1939429237		56432.168021848614	SRSF6	0.0	387.0		0.6847545219638242	56432.168021848614	44737.82319924406	1.4092066574041415	-7.681379786416172	0.5143041026253264						
PB.161551.18	Patient15	0	204	0	2573		79284.88146132919		9.0		41351.1939429237		56432.168021848614	SRSF6	0.0	294.0		0.6938775510204082	56432.168021848614	44737.82319924406	0.5108141569093312	-16.738209196300115	0.3195315343467832						
PB.161551.18	Patient21	0	81	0	1328		60993.97590361446		12.0		41351.1939429237		56432.168021848614	SRSF6	0.0	122.0		0.6639344262295082	56432.168021848614	44737.82319924406	0.10196758705602214	-22.53065634474082	0.19496147161729463						
PB.161551.18	Patient25	0	257	0	1946		132065.77595066803		2.0		41351.1939429237		56432.168021848614	SRSF6	0.0	346.0		0.7427745664739884	56432.168021848614	44737.82319924406	1.6905965136474812	-5.468912984637868	0.5618845330067458						
PB.161551.18	Patient26	0	114	0	1469		77603.81211708646		10.0		41351.1939429237		56432.168021848614	SRSF6	0.0	201.0		0.5671641791044776	56432.168021848614	44737.82319924406	0.47323813679865373	-17.211524870026135	0.30935259586777225						
PB.161551.18	Patient3	0	131	0	2019		64883.60574541853		11.0		41351.1939429237		56432.168021848614	SRSF6	0.0	172.0		0.7616279069767442	56432.168021848614	44737.82319924406	0.18891034742416163	-21.165328087104502	0.22432367766623265						
PB.161551.18	Patient5	0	270	0	1596		169172.93233082705		1.0		41351.1939429237		56432.168021848614	SRSF6	0.0	354.0		0.7627118644067796	56432.168021848614	44737.82319924406	2.520032407631389	5.468912984637869	0.7971090645734589						
PB.161551.18	Patient7	0	202	0	1726		117033.60370799537		5.0		41351.1939429237		56432.168021848614	SRSF6	0.0	262.0		0.7709923664122137	56432.168021848614	44737.82319924406	1.3545906204745952	-8.137733934490498	0.5044899319655588						
PB.161551.18	Patient8	0	169	0	1359		124356.1442236939		3.0		41351.1939429237		56432.168021848614	SRSF6	0.0	217.0		0.7788018433179723	56432.168021848614	44737.82319924406	1.5182673483986813	-6.797383226697004	0.5333149807697238						
PB.161551.19	Patient11	0	123	0	1367		89978.05413313826		1.0		5559.416261292564		12344.236204445102	SRSF6	0.0	299.0		0.411371237458194	12344.236204445102	17848.96900807238	4.349484717777394	13.50576130934439	0.9944568954864316						
PB.161551.19	Patient13	0	94	0	2218		42380.52299368801		2.0		5559.416261292564		12344.236204445102	SRSF6	0.0	387.0		0.24289405684754523	12344.236204445102	17848.96900807238	1.68280233864817	-13.50576130934439	0.5726407796124044						
PB.161551.19	Patient15	0	51	0	2573		19821.220365332298		6.0		5559.416261292564		12344.236204445102	SRSF6	0.0	294.0		0.17346938775510204	12344.236204445102	17848.96900807238	0.41890285973972236	-27.137895393858475	0.35975926486857546						
PB.161551.19	Patient21	0	25	0	1328		18825.30120481928		8.0		5559.416261292564		12344.236204445102	SRSF6	0.0	122.0		0.20491803278688525	12344.236204445102	17848.96900807238	0.36310584647455263	-28.062635403774927	0.34531838181719265						
PB.161551.19	Patient25	0	45	0	1946		23124.357656731758		5.0		5559.416261292564		12344.236204445102	SRSF6	0.0	346.0		0.13005780346820808	12344.236204445102	17848.96900807238	0.6039632567803347	-24.37299960192253	0.40293630528257773						
PB.161551.19	Patient26	0	45	0	1469		30633.08373042886		3.0		5559.416261292564		12344.236204445102	SRSF6	0.0	201.0		0.22388059701492538	12344.236204445102	17848.96900807238	1.0246444776565211	-19.328801808407125	0.48170727835941096						
PB.161551.19	Patient31	0	53	0	1858		28525.29601722282		4.0		5559.416261292564		12344.236204445102	SRSF6	0.0	125.0		0.424	12344.236204445102	17848.96900807238	0.9065543116501388	-20.607629610788056	0.4617369055638093						
PB.161551.19	Patient5	0	29	0	1596		18170.426065162905		9.0		5559.416261292564		12344.236204445102	SRSF6	0.0	354.0		0.08192090395480225	12344.236204445102	17848.96900807238	0.3264160444271514	-28.69776318578002	0.33540012811964975						
PB.161551.19	Patient7	0	34	0	1726		19698.725376593276		7.0		5559.416261292564		12344.236204445102	SRSF6	0.0	262.0		0.1297709923664122	12344.236204445102	17848.96900807238	0.4120399989950137	-27.249097672469823	0.35802271288287857						
PB.161551.263	Patient28	0	81	0	1202		67387.68718801996		1.0		0.0		2173.7963609038698	SRSF6	0.0	165.0		0.4909090909090909	2173.7963609038698	12103.185910290156	5.388159060803246	16.04021880022073	5.5677643628300215	1.0	1.0	1.0	1.0	1.0	
PB.161551.31	Patient10	0	12	0	1394		8608.32137733142		5.0		2259.0361445783133		3554.9944215789756	SRSF6	0.0	248.0		0.04838709677419355	3554.9944215789756	4038.966642367313	1.2511435233816628	-9.60984371373628	0.3488260754157721						
PB.161551.31	Patient11	0	12	0	1367		8778.346744696415		4.0		2259.0361445783133		3554.9944215789756	SRSF6	0.0	299.0		0.04013377926421405	3554.9944215789756	4038.966642367313	1.2932397778001792	-9.295882898937727	0.35386755603081094						
PB.161551.31	Patient15	0	10	0	2573		3886.51379712398		10.0		2259.0361445783133		3554.9944215789756	SRSF6	0.0	294.0		0.034013605442176874	3554.9944215789756	4038.966642367313	0.08208024598853704	-22.374016415777362	0.14386314306500658						
PB.161551.31	Patient16	0	5	0	1271		3933.910306845004		9.0		2259.0361445783133		3554.9944215789756	SRSF6	0.0	54.0		0.09259259259259259	3554.9944215789756	4038.966642367313	0.09381505687403718	-22.17946942347619	0.14698711537037143						
