#readname	haplotype
Sample27_m88888_240329_064709_s2/196611869/ccs/1131_3173	H2
Sample27_m88888_240329_064709_s2/177213810/ccs/8090_10127	none
Sample27_m88888_240329_064709_s2/37948801/ccs/10538_12535	H1
Sample27_m88888_240329_064709_s2/236459497/ccs/9922_11869	H2
Sample27_m88888_240329_064709_s2/128582820/ccs/10307_12242	H2
Sample27_m88888_240329_064709_s2/117445991/ccs/1579_3600	H2
Sample27_m88888_240329_064709_s2/43189144/ccs/9470_11453	none
Sample27_m88888_240329_064709_s2/208535625/ccs/1253_3232	H2
Sample27_m88888_240329_064709_s2/197858696/ccs/8070_10039	none
Sample27_m88888_240329_064709_s2/197722170/ccs/1226_3194	H2
Sample27_m88888_240329_064709_s2/44177099/ccs/12349_14315	none
Sample27_m88888_240329_064709_s2/36246511/ccs/3231_5198	H2
Sample27_m88888_240329_064709_s2/74585271/ccs/41_2007	none
Sample27_m88888_240329_064709_s2/184943216/ccs/4740_6702	H2
Sample27_m88888_240329_064709_s2/68422254/ccs/11463_13429	none
Sample27_m88888_240329_064709_s2/148046102/ccs/9206_11169	H2
Sample27_m88888_240329_064709_s2/78909778/ccs/3933_5895	H2
Sample27_m88888_240329_064709_s2/186843437/ccs/1824_3787	H2
Sample27_m88888_240329_064709_s2/183178102/ccs/1469_3426	H2
Sample27_m88888_240329_064709_s2/153226345/ccs/9934_11895	none
Sample27_m88888_240329_064709_s2/247729575/ccs/1703_3662	H2
Sample27_m88888_240329_064709_s2/86775348/ccs/12660_14621	H1
Sample27_m88888_240329_064709_s2/82383164/ccs/7285_9246	H1
Sample27_m88888_240329_064709_s2/76090196/ccs/69_2030	H1
Sample27_m88888_240329_064709_s2/229444716/ccs/4043_6004	H1
Sample27_m88888_240329_064709_s2/117965351/ccs/6889_8849	H1
Sample27_m88888_240329_064709_s2/31854876/ccs/9081_11048	none
Sample27_m88888_240329_064709_s2/175444538/ccs/14121_16082	H1
Sample27_m88888_240329_064709_s2/175641717/ccs/41_2000	H1
Sample27_m88888_240329_064709_s2/69800904/ccs/8385_10344	none
Sample27_m88888_240329_064709_s2/145298685/ccs/7905_9864	none
