#readname	haplotype
Sample55_m88888_240731_203429_s3/246744590/ccs/2428_4438	none
Sample55_m88888_240731_203429_s3/204607369/ccs/1496_3498	H1
Sample55_m88888_240731_203429_s3/165614896/ccs/19100_21071	H1
Sample55_m88888_240731_203429_s3/192086590/ccs/17285_19250	H1
Sample55_m88888_240731_203429_s3/89592253/ccs/13387_15347	none
Sample55_m88888_240731_203429_s3/37290115/ccs/16065_18027	H1
Sample55_m88888_240731_203429_s3/144051403/ccs/9435_11398	none
Sample55_m88888_240731_203429_s3/127467921/ccs/1993_3959	H1
Sample55_m88888_240731_203429_s3/97452153/ccs/7628_9583	H2
Sample55_m88888_240731_203429_s3/21828363/ccs/12421_14371	none
Sample55_m88888_240731_203429_s3/107546205/ccs/3088_5047	H2
Sample55_m88888_240731_203429_s3/263786098/ccs/12163_14121	H1
Sample55_m88888_240731_203429_s3/114495365/ccs/8948_10902	H2
Sample55_m88888_240731_203429_s3/122488477/ccs/12515_14472	H1
Sample55_m88888_240731_203429_s3/87950204/ccs/5422_7379	none
Sample55_m88888_240731_203429_s3/220398568/ccs/3846_5805	H2
Sample55_m88888_240731_203429_s3/132646515/ccs/23485_25442	H2
Sample55_m88888_240731_203429_s3/8129945/ccs/13127_15081	H1
Sample55_m88888_240731_203429_s3/229444691/ccs/16941_18894	H1
Sample55_m88888_240731_203429_s3/29561051/ccs/69_2023	H2
Sample55_m88888_240731_203429_s3/61737628/ccs/8891_10846	none
Sample55_m88888_240731_203429_s3/179374670/ccs/9808_11759	H2
Sample55_m88888_240731_203429_s3/83231596/ccs/4592_6545	none
Sample55_m88888_240731_203429_s3/123340187/ccs/14176_16131	H2
Sample55_m88888_240731_203429_s3/201461122/ccs/8754_10710	H1
Sample55_m88888_240731_203429_s3/148441084/ccs/8836_10792	none
Sample55_m88888_240731_203429_s3/90374869/ccs/1772_3725	none
Sample55_m88888_240731_203429_s3/77792297/ccs/4468_6418	H1
Sample55_m88888_240731_203429_s3/25431276/ccs/13769_15720	none
Sample55_m88888_240731_203429_s3/92866109/ccs/9218_11169	H1
Sample55_m88888_240731_203429_s3/208405269/ccs/13727_15678	H2
Sample55_m88888_240731_203429_s3/181667172/ccs/15030_16982	none
Sample55_m88888_240731_203429_s3/140380953/ccs/16293_18245	H1
Sample55_m88888_240731_203429_s3/63310402/ccs/12170_14116	H2
Sample55_m88888_240731_203429_s3/251461863/ccs/2547_4495	none
Sample55_m88888_240731_203429_s3/82579125/ccs/41_1988	H2
Sample55_m88888_240731_203429_s3/153293802/ccs/17699_19646	H1
Sample55_m88888_240731_203429_s3/66522555/ccs/1542_3490	H2
Sample55_m88888_240731_203429_s3/134286312/ccs/13485_15425	H2
Sample55_m88888_240731_203429_s3/57349105/ccs/11196_13143	none
Sample55_m88888_240731_203429_s3/49087887/ccs/10203_12150	H1
Sample55_m88888_240731_203429_s3/262735413/ccs/15350_17297	H1
Sample55_m88888_240731_203429_s3/173544675/ccs/11890_13836	none
Sample55_m88888_240731_203429_s3/214175603/ccs/1395_3342	H1
Sample55_m88888_240731_203429_s3/108140465/ccs/5749_7696	none
Sample55_m88888_240731_203429_s3/78383266/ccs/9108_11056	none
Sample55_m88888_240731_203429_s3/45285978/ccs/70_2018	none
Sample55_m88888_240731_203429_s3/162465505/ccs/2526_4472	none
Sample55_m88888_240731_203429_s3/152306584/ccs/10093_12038	H1
Sample55_m88888_240731_203429_s3/195040662/ccs/12251_14195	H1
Sample55_m88888_240731_203429_s3/207815369/ccs/15307_17253	H1
Sample55_m88888_240731_203429_s3/151195814/ccs/8917_10862	H2
Sample55_m88888_240731_203429_s3/91358481/ccs/1511_3458	none
Sample55_m88888_240731_203429_s3/145036932/ccs/9557_11503	none
Sample55_m88888_240731_203429_s3/71570626/ccs/11608_13554	H2
Sample55_m88888_240731_203429_s3/230035233/ccs/14249_16197	none
