#readname	haplotype
Sample26_m88888_240324_145021_s1/15799647/ccs/13054_15066	none
Sample26_m88888_240324_145021_s1/175442663/ccs/16759_18765	H1
Sample26_m88888_240324_145021_s1/206768395/ccs/3661_5644	none
Sample26_m88888_240324_145021_s1/260312497/ccs/13294_15243	H2
Sample26_m88888_240324_145021_s1/187110883/ccs/3725_5708	none
Sample26_m88888_240324_145021_s1/161945033/ccs/10200_12177	H1
Sample26_m88888_240324_145021_s1/248385805/ccs/16399_18379	none
Sample26_m88888_240324_145021_s1/20513310/ccs/1997_3967	none
Sample26_m88888_240324_145021_s1/265817087/ccs/16459_18425	H2
Sample26_m88888_240324_145021_s1/139464722/ccs/7666_9633	H2
Sample26_m88888_240324_145021_s1/205328726/ccs/69_2036	none
Sample26_m88888_240324_145021_s1/55907207/ccs/21224_23189	H2
Sample26_m88888_240324_145021_s1/229311220/ccs/16734_18700	H2
Sample26_m88888_240324_145021_s1/141889223/ccs/3321_5290	H2
Sample26_m88888_240324_145021_s1/90181877/ccs/18850_20815	H1
Sample26_m88888_240324_145021_s1/137564771/ccs/14308_16272	H2
Sample26_m88888_240324_145021_s1/154670214/ccs/11375_13340	none
Sample26_m88888_240324_145021_s1/37623420/ccs/9749_11713	H2
Sample26_m88888_240324_145021_s1/204407104/ccs/69_2029	H1
Sample26_m88888_240324_145021_s1/93653818/ccs/9437_11398	none
Sample26_m88888_240324_145021_s1/100863313/ccs/41_2001	H1
Sample26_m88888_240324_145021_s1/167053407/ccs/9254_11210	none
Sample26_m88888_240324_145021_s1/160830301/ccs/11205_13164	H2
Sample26_m88888_240324_145021_s1/167645382/ccs/69_2026	H1
Sample26_m88888_240324_145021_s1/175970104/ccs/69_2030	H2
Sample26_m88888_240324_145021_s1/185141645/ccs/1479_3436	H1
Sample26_m88888_240324_145021_s1/60625360/ccs/68_2025	H2
Sample26_m88888_240324_145021_s1/244646958/ccs/13987_15944	H1
Sample26_m88888_240324_145021_s1/86311247/ccs/4846_6804	H2
Sample26_m88888_240324_145021_s1/27530354/ccs/10388_12346	none
Sample26_m88888_240324_145021_s1/147458908/ccs/41_1996	none
Sample26_m88888_240324_145021_s1/192873111/ccs/7273_9229	none
Sample26_m88888_240324_145021_s1/135660368/ccs/7325_9282	H2
Sample26_m88888_240324_145021_s1/203229405/ccs/16162_18123	none
Sample26_m88888_240324_145021_s1/265884340/ccs/14482_16440	none
Sample26_m88888_240324_145021_s1/80085746/ccs/4186_6145	none
Sample26_m88888_240324_145021_s1/141037307/ccs/8064_10020	H1
Sample26_m88888_240324_145021_s1/87230400/ccs/7947_9904	H2
Sample26_m88888_240324_145021_s1/187896259/ccs/16300_18257	H2
Sample26_m88888_240324_145021_s1/152310215/ccs/2962_4919	none
Sample26_m88888_240324_145021_s1/255788993/ccs/9232_11189	H1
Sample26_m88888_240324_145021_s1/133893560/ccs/15194_17151	H1
Sample26_m88888_240324_145021_s1/11733073/ccs/21152_23110	H1
Sample26_m88888_240324_145021_s1/223940987/ccs/4416_6374	none
Sample26_m88888_240324_145021_s1/241503404/ccs/11643_13601	none
Sample26_m88888_240324_145021_s1/213914564/ccs/69_2027	H2
Sample26_m88888_240324_145021_s1/46269880/ccs/41_1999	H1
Sample26_m88888_240324_145021_s1/186583659/ccs/20714_22672	H2
Sample26_m88888_240324_145021_s1/67177766/ccs/12159_14115	H2
Sample26_m88888_240324_145021_s1/248646596/ccs/69_2025	H1
Sample26_m88888_240324_145021_s1/34078929/ccs/1298_3253	H1
Sample26_m88888_240324_145021_s1/186779301/ccs/9256_11211	none
Sample26_m88888_240324_145021_s1/97059546/ccs/11176_13126	H2
Sample26_m88888_240324_145021_s1/210309257/ccs/5794_7745	H2
Sample26_m88888_240324_145021_s1/82842347/ccs/14229_16183	none
Sample26_m88888_240324_145021_s1/244843237/ccs/14494_16448	H2
Sample26_m88888_240324_145021_s1/191171255/ccs/10484_12437	H1
Sample26_m88888_240324_145021_s1/223675539/ccs/69_2024	none
Sample26_m88888_240324_145021_s1/179897336/ccs/11831_13782	H2
Sample26_m88888_240324_145021_s1/114820682/ccs/5444_7396	H1
Sample26_m88888_240324_145021_s1/230687201/ccs/2494_4449	none
Sample26_m88888_240324_145021_s1/208995926/ccs/11538_13493	H2
Sample26_m88888_240324_145021_s1/257362615/ccs/10567_12523	H1
Sample26_m88888_240324_145021_s1/106105799/ccs/41_1995	none
Sample26_m88888_240324_145021_s1/21107252/ccs/4242_6197	H2
Sample26_m88888_240324_145021_s1/81527617/ccs/69_2024	none
Sample26_m88888_240324_145021_s1/92606918/ccs/6124_8078	H2
Sample26_m88888_240324_145021_s1/104402334/ccs/7669_9623	H2
Sample26_m88888_240324_145021_s1/257037760/ccs/8531_10485	none
Sample26_m88888_240324_145021_s1/134219289/ccs/3555_5505	H1
Sample26_m88888_240324_145021_s1/246089403/ccs/3681_5636	H1
Sample26_m88888_240324_145021_s1/148046020/ccs/14807_16758	none
Sample26_m88888_240324_145021_s1/24580452/ccs/69_2021	H2
Sample26_m88888_240324_145021_s1/107087921/ccs/6693_8646	H2
Sample26_m88888_240324_145021_s1/118096261/ccs/14728_16679	H1
Sample26_m88888_240324_145021_s1/11799624/ccs/3554_5506	none
Sample26_m88888_240324_145021_s1/257627523/ccs/13753_15706	H1
Sample26_m88888_240324_145021_s1/152899604/ccs/3092_5042	H1
Sample26_m88888_240324_145021_s1/125703456/ccs/908_2862	H2
Sample26_m88888_240324_145021_s1/158864302/ccs/2191_4142	H1
Sample26_m88888_240324_145021_s1/232263105/ccs/25269_27223	none
Sample26_m88888_240324_145021_s1/165741573/ccs/8469_10420	H1
Sample26_m88888_240324_145021_s1/177211971/ccs/13256_15209	H1
Sample26_m88888_240324_145021_s1/196282897/ccs/9866_11817	H1
Sample26_m88888_240324_145021_s1/154537388/ccs/9137_11089	none
Sample26_m88888_240324_145021_s1/51380733/ccs/41_1993	H2
Sample26_m88888_240324_145021_s1/65148674/ccs/13148_15100	none
Sample26_m88888_240324_145021_s1/140512983/ccs/1015_2962	H1
Sample26_m88888_240324_145021_s1/60493825/ccs/3220_5168	none
Sample26_m88888_240324_145021_s1/235670995/ccs/4470_6419	none
Sample26_m88888_240324_145021_s1/126813727/ccs/1943_3897	H2
Sample26_m88888_240324_145021_s1/9112428/ccs/69_2017	none
Sample26_m88888_240324_145021_s1/189268756/ccs/15181_17132	H1
Sample26_m88888_240324_145021_s1/36374894/ccs/16955_18905	H2
Sample26_m88888_240324_145021_s1/7080719/ccs/9514_11454	H2
Sample26_m88888_240324_145021_s1/135860266/ccs/69_2013	H1
Sample26_m88888_240324_145021_s1/14092969/ccs/16720_18672	none
Sample26_m88888_240324_145021_s1/62393154/ccs/10464_12414	H1
Sample26_m88888_240324_145021_s1/19138356/ccs/7263_9210	none
Sample26_m88888_240324_145021_s1/203429392/ccs/8200_10147	none
Sample26_m88888_240324_145021_s1/111738994/ccs/15005_16953	H2
Sample26_m88888_240324_145021_s1/16127036/ccs/13859_15807	none
Sample26_m88888_240324_145021_s1/220726770/ccs/14492_16439	H1
Sample26_m88888_240324_145021_s1/174855229/ccs/2190_4136	none
Sample26_m88888_240324_145021_s1/223155538/ccs/4046_5995	none
Sample26_m88888_240324_145021_s1/119734955/ccs/10528_12476	none
Sample26_m88888_240324_145021_s1/74387263/ccs/16013_17961	H2
Sample26_m88888_240324_145021_s1/228197438/ccs/41_1989	none
Sample26_m88888_240324_145021_s1/99488452/ccs/11647_13591	H1
Sample26_m88888_240324_145021_s1/9114157/ccs/9364_11312	H1
Sample26_m88888_240324_145021_s1/119472308/ccs/5530_7477	none
Sample26_m88888_240324_145021_s1/189269692/ccs/5744_7691	H1
Sample26_m88888_240324_145021_s1/85987016/ccs/19053_21002	H1
Sample26_m88888_240324_145021_s1/99160521/ccs/3545_5491	H1
Sample26_m88888_240324_145021_s1/161549305/ccs/10443_12391	H2
Sample26_m88888_240324_145021_s1/268176181/ccs/13635_15585	H1
Sample26_m88888_240324_145021_s1/144118642/ccs/4692_6639	H1
Sample26_m88888_240324_145021_s1/145430296/ccs/7633_9581	H2
Sample26_m88888_240324_145021_s1/221975839/ccs/70_2019	H1
Sample26_m88888_240324_145021_s1/246157694/ccs/69_2016	H1
Sample26_m88888_240324_145021_s1/233509148/ccs/69_2015	none
Sample26_m88888_240324_145021_s1/252971712/ccs/69_2018	none
Sample26_m88888_240324_145021_s1/99879902/ccs/1082_3030	H1
Sample26_m88888_240324_145021_s1/93260973/ccs/10165_12113	H2
Sample26_m88888_240324_145021_s1/16454455/ccs/69_2015	none
Sample26_m88888_240324_145021_s1/41489470/ccs/11913_13860	H2
Sample26_m88888_240324_145021_s1/181013166/ccs/5358_7306	H2
Sample26_m88888_240324_145021_s1/189664235/ccs/3389_5337	H2
Sample26_m88888_240324_145021_s1/123733973/ccs/1977_3923	H2
Sample26_m88888_240324_145021_s1/151917502/ccs/8659_10604	none
Sample26_m88888_240324_145021_s1/93261292/ccs/14770_16715	H2
Sample26_m88888_240324_145021_s1/183898282/ccs/10641_12587	none
Sample26_m88888_240324_145021_s1/165614518/ccs/9530_11476	H1
Sample26_m88888_240324_145021_s1/152044625/ccs/13667_15613	none
Sample26_m88888_240324_145021_s1/236716597/ccs/13973_15919	H2
Sample26_m88888_240324_145021_s1/101061184/ccs/11387_13333	none
Sample26_m88888_240324_145021_s1/173672482/ccs/16337_18279	none
Sample26_m88888_240324_145021_s1/164692222/ccs/2280_4226	H2
Sample26_m88888_240324_145021_s1/236326447/ccs/13021_14967	H2
Sample26_m88888_240324_145021_s1/39718408/ccs/6766_8712	H1
Sample26_m88888_240324_145021_s1/204276710/ccs/4744_6685	H1
Sample26_m88888_240324_145021_s1/95945683/ccs/945_2892	H2
Sample26_m88888_240324_145021_s1/187106931/ccs/2538_4480	none
Sample26_m88888_240324_145021_s1/66785378/ccs/3301_5246	none
Sample26_m88888_240324_145021_s1/36310166/ccs/10284_12230	H2
Sample26_m88888_240324_145021_s1/83235678/ccs/9089_11035	none
Sample26_m88888_240324_145021_s1/36181556/ccs/15165_17112	none
Sample26_m88888_240324_145021_s1/243799335/ccs/12192_14138	none
Sample26_m88888_240324_145021_s1/231669838/ccs/69_2014	H1
Sample26_m88888_240324_145021_s1/258543579/ccs/2729_4675	H2
Sample26_m88888_240324_145021_s1/102762124/ccs/5207_7154	H1
Sample26_m88888_240324_145021_s1/231868085/ccs/9605_11551	H2
Sample26_m88888_240324_145021_s1/152245180/ccs/1718_3656	H2
Sample26_m88888_240324_145021_s1/57345481/ccs/9430_11376	H2
Sample26_m88888_240324_145021_s1/117246704/ccs/8516_10465	none
Sample26_m88888_240324_145021_s1/126028103/ccs/17008_18954	H1
Sample26_m88888_240324_145021_s1/169675317/ccs/10379_12324	H1
Sample26_m88888_240324_145021_s1/6817176/ccs/13441_15387	H2
Sample26_m88888_240324_145021_s1/58460915/ccs/19268_21215	H1
Sample26_m88888_240324_145021_s1/106631584/ccs/7331_9276	none
Sample26_m88888_240324_145021_s1/5835178/ccs/69_2013	H1
Sample26_m88888_240324_145021_s1/27919729/ccs/10708_12651	H2
Sample26_m88888_240324_145021_s1/72417477/ccs/8377_10325	none
Sample26_m88888_240324_145021_s1/236655729/ccs/3418_5362	none
Sample26_m88888_240324_145021_s1/61215261/ccs/11227_13170	none
Sample26_m88888_240324_145021_s1/157093341/ccs/14754_16699	none
Sample26_m88888_240324_145021_s1/40045732/ccs/16305_18246	H2
Sample26_m88888_240324_145021_s1/245633762/ccs/14301_16244	none
Sample26_m88888_240324_145021_s1/193794105/ccs/3001_4950	none
Sample26_m88888_240324_145021_s1/15664552/ccs/6551_8496	none
Sample26_m88888_240324_145021_s1/170394803/ccs/69_2013	H1
Sample26_m88888_240324_145021_s1/224466831/ccs/8186_10130	H1
Sample26_m88888_240324_145021_s1/87034585/ccs/18878_20822	H2
Sample26_m88888_240324_145021_s1/146934763/ccs/10275_12220	none
Sample26_m88888_240324_145021_s1/17894614/ccs/69_2014	H2
Sample26_m88888_240324_145021_s1/256641080/ccs/41_1986	H2
Sample26_m88888_240324_145021_s1/76547794/ccs/3163_5110	H1
Sample26_m88888_240324_145021_s1/225054489/ccs/11756_13701	none
Sample26_m88888_240324_145021_s1/233640051/ccs/10984_12926	H1
Sample26_m88888_240324_145021_s1/256443188/ccs/5265_7208	none
Sample26_m88888_240324_145021_s1/258935502/ccs/20262_22206	none
Sample26_m88888_240324_145021_s1/214371173/ccs/5772_7719	H1
Sample26_m88888_240324_145021_s1/110363465/ccs/11185_13129	H1
Sample26_m88888_240324_145021_s1/39063054/ccs/1946_3891	H1
Sample26_m88888_240324_145021_s1/87885076/ccs/41_1975	H1
Sample26_m88888_240324_145021_s1/145689872/ccs/14605_16549	none
Sample26_m88888_240324_145021_s1/260770374/ccs/41_1988	H1
Sample26_m88888_240324_145021_s1/94178357/ccs/17606_19550	none
Sample26_m88888_240324_145021_s1/46466949/ccs/69_2013	none
Sample26_m88888_240324_145021_s1/121769364/ccs/9219_11165	H1
Sample26_m88888_240324_145021_s1/67178806/ccs/813_2756	none
Sample26_m88888_240324_145021_s1/258479451/ccs/41_1984	H1
Sample26_m88888_240324_145021_s1/130941089/ccs/25736_27678	H2
Sample26_m88888_240324_145021_s1/197395367/ccs/17506_19448	H2
Sample26_m88888_240324_145021_s1/246745966/ccs/9572_11514	H1
Sample26_m88888_240324_145021_s1/139924269/ccs/8001_9945	H2
Sample26_m88888_240324_145021_s1/45024762/ccs/41_1983	H2
Sample26_m88888_240324_145021_s1/24122805/ccs/7155_9099	none
Sample26_m88888_240324_145021_s1/170071243/ccs/6153_8096	H2
Sample26_m88888_240324_145021_s1/24577670/ccs/7717_9660	none
Sample26_m88888_240324_145021_s1/32440817/ccs/8355_10300	none
Sample26_m88888_240324_145021_s1/135401423/ccs/12278_14221	none
Sample26_m88888_240324_145021_s1/218107768/ccs/69_2013	none
Sample26_m88888_240324_145021_s1/204346810/ccs/8978_10923	H2
Sample26_m88888_240324_145021_s1/121966427/ccs/16265_18208	H2
Sample26_m88888_240324_145021_s1/217058459/ccs/9585_11527	none
Sample26_m88888_240324_145021_s1/266864108/ccs/846_2789	H2
Sample26_m88888_240324_145021_s1/53414999/ccs/12054_13997	H2
Sample26_m88888_240324_145021_s1/217384243/ccs/9743_11686	H1
Sample26_m88888_240324_145021_s1/84674666/ccs/14274_16216	H1
Sample26_m88888_240324_145021_s1/18088319/ccs/14539_16484	H1
Sample26_m88888_240324_145021_s1/85067006/ccs/3006_4950	H1
Sample26_m88888_240324_145021_s1/31004093/ccs/12057_13998	H1
Sample26_m88888_240324_145021_s1/27526589/ccs/7349_9289	none
Sample26_m88888_240324_145021_s1/35785837/ccs/70_2015	H1
Sample26_m88888_240324_145021_s1/224007792/ccs/8862_10814	H1
Sample26_m88888_240324_145021_s1/260113882/ccs/9249_11191	H2
Sample26_m88888_240324_145021_s1/80544745/ccs/13677_15619	H2
Sample26_m88888_240324_145021_s1/99550447/ccs/8888_10829	H1
Sample26_m88888_240324_145021_s1/106628272/ccs/6558_8498	H2
Sample26_m88888_240324_145021_s1/196414991/ccs/7809_9750	H1
Sample26_m88888_240324_145021_s1/143262951/ccs/9687_11625	none
Sample26_m88888_240324_145021_s1/73532861/ccs/3149_5090	H1
Sample26_m88888_240324_145021_s1/196086553/ccs/17012_18956	H2
Sample26_m88888_240324_145021_s1/263131714/ccs/2032_3974	H1
Sample26_m88888_240324_145021_s1/159907953/ccs/8864_10804	none
Sample26_m88888_240324_145021_s1/166594344/ccs/10852_12791	none
Sample26_m88888_240324_145021_s1/34538219/ccs/4981_6924	H2
Sample26_m88888_240324_145021_s1/185795738/ccs/70_2009	none
Sample26_m88888_240324_145021_s1/29691519/ccs/9119_11059	H1
Sample26_m88888_240324_145021_s1/56299062/ccs/7559_9499	none
Sample26_m88888_240324_145021_s1/115870890/ccs/14356_16297	H1
Sample26_m88888_240324_145021_s1/17697073/ccs/17288_19226	H1
Sample26_m88888_240324_145021_s1/91817644/ccs/11462_13403	none
Sample26_m88888_240324_145021_s1/233968251/ccs/4210_6148	H1
Sample26_m88888_240324_145021_s1/41092527/ccs/10928_12868	H1
Sample26_m88888_240324_145021_s1/148572423/ccs/16582_18518	H1
Sample26_m88888_240324_145021_s1/80872981/ccs/17054_18993	H1
Sample26_m88888_240324_145021_s1/209191304/ccs/10268_12208	none
Sample26_m88888_240324_145021_s1/264310691/ccs/2871_4810	H2
Sample26_m88888_240324_145021_s1/183962938/ccs/69_2008	H1
Sample26_m88888_240324_145021_s1/188025255/ccs/10479_12418	H1
Sample26_m88888_240324_145021_s1/8847966/ccs/17012_18952	H1
Sample26_m88888_240324_145021_s1/156437900/ccs/15537_17476	H1
Sample26_m88888_240324_145021_s1/42800607/ccs/69_2008	H2
Sample26_m88888_240324_145021_s1/35853984/ccs/6344_8281	H2
Sample26_m88888_240324_145021_s1/82579104/ccs/4835_6772	H2
Sample26_m88888_240324_145021_s1/182716992/ccs/2110_4045	H2
Sample26_m88888_240324_145021_s1/150341252/ccs/3325_5265	H2
Sample26_m88888_240324_145021_s1/221381095/ccs/3197_5137	none
Sample26_m88888_240324_145021_s1/199562293/ccs/6763_8699	H2
Sample26_m88888_240324_145021_s1/96734272/ccs/10224_12164	H1
