#readname	haplotype
Sample9_m88888_231124_011453_s3/17959481/ccs/2491_6172	H1
Sample9_m88888_231124_091406_s4/178459920/ccs/2924_6569	H1
Sample9_m88888_231124_011453_s3/93721687/ccs/12773_16410	H2
Sample9_m88888_231124_091406_s4/69207240/ccs/11720_15343	H1
Sample9_m88888_231124_091406_s4/254021107/ccs/4364_7497	H2
Sample9_m88888_231124_011453_s3/71369277/ccs/14651_16700	none
Sample9_m88888_231124_091406_s4/90639054/ccs/19910_21931	none
Sample9_m88888_231124_091406_s4/46335516/ccs/17672_19668	none
Sample9_m88888_231124_011453_s3/85721336/ccs/14454_16477	none
Sample9_m88888_231124_011453_s3/195759152/ccs/14122_16140	H2
Sample9_m88888_231124_091406_s4/73203809/ccs/21355_23339	none
Sample9_m88888_231114_014002_s2/186255665/ccs/7929_9896	H1
Sample9_m88888_231124_011453_s3/23268688/ccs/67_2033	none
Sample9_m88888_231124_091406_s4/148114129/ccs/67_2032	none
Sample9_m88888_231124_011453_s3/220927351/ccs/3442_5407	H1
Sample9_m88888_231124_091406_s4/203032804/ccs/12990_14956	none
Sample9_m88888_231114_014002_s2/245237335/ccs/39_2004	H1
Sample9_m88888_231124_011453_s3/199889999/ccs/11967_13919	H2
Sample9_m88888_231124_091406_s4/30213558/ccs/1902_3752	H2
Sample9_m88888_231124_011453_s3/123081353/ccs/12778_14740	H2
Sample9_m88888_231114_014002_s2/65148324/ccs/7166_9128	H2
Sample9_m88888_231114_014002_s2/96013612/ccs/6258_8219	none
Sample9_m88888_231114_014002_s2/254808834/ccs/38_2001	none
Sample9_m88888_231124_011453_s3/144707442/ccs/67_2025	none
Sample9_m88888_231124_091406_s4/75302973/ccs/39_2000	H2
Sample9_m88888_231124_011453_s3/192807392/ccs/2942_4902	H2
Sample9_m88888_231124_091406_s4/110231894/ccs/7167_9126	H2
Sample9_m88888_231114_014002_s2/258281256/ccs/5711_7670	H2
Sample9_m88888_231124_091406_s4/222696929/ccs/13955_15905	H1
Sample9_m88888_231124_011453_s3/106043241/ccs/66_2017	H2
Sample9_m88888_231124_091406_s4/184030499/ccs/5356_7315	H2
Sample9_m88888_231124_011453_s3/214895329/ccs/2304_4263	H1
Sample9_m88888_231124_011453_s3/37753948/ccs/4923_6880	H2
Sample9_m88888_231124_091406_s4/152308596/ccs/5796_7755	H2
Sample9_m88888_231124_091406_s4/177406903/ccs/11029_12988	H2
Sample9_m88888_231124_091406_s4/162008363/ccs/17846_19805	none
Sample9_m88888_231114_014002_s2/87034201/ccs/39_1996	H2
Sample9_m88888_231124_011453_s3/130878606/ccs/11597_13556	none
Sample9_m88888_231114_014002_s2/260901478/ccs/67_2026	H1
Sample9_m88888_231124_011453_s3/97585064/ccs/14377_16335	H2
Sample9_m88888_231124_091406_s4/53612444/ccs/5727_7683	H1
Sample9_m88888_231124_091406_s4/123601432/ccs/1166_3124	H2
Sample9_m88888_231124_091406_s4/187961655/ccs/16152_18109	H1
Sample9_m88888_231114_014002_s2/226952427/ccs/9093_11050	H1
Sample9_m88888_231124_011453_s3/220991011/ccs/3498_5455	none
Sample9_m88888_231124_091406_s4/222106316/ccs/6627_8584	none
Sample9_m88888_231124_011453_s3/115610484/ccs/4831_6788	H1
Sample9_m88888_231114_014002_s2/193138967/ccs/20000_21960	none
Sample9_m88888_231124_011453_s3/84806101/ccs/11751_13707	none
Sample9_m88888_231114_014002_s2/217647950/ccs/4360_6316	none
