#readname	haplotype
Sample3_m88888_230829_213454_s3/6161168/ccs/6970_10634	H2
Sample3_m88888_230829_213454_s3/239799792/ccs/12396_16040	H1
Sample3_m88888_230829_213454_s3/120851990/ccs/5565_8760	H2
Sample3_m88888_230829_213454_s3/10751347/ccs/5378_8543	H2
Sample3_m88888_230829_213454_s3/153944808/ccs/10016_13152	none
Sample3_m88888_230829_213454_s3/26349085/ccs/6071_9205	H2
Sample3_m88888_230829_213454_s3/61541700/ccs/17579_19631	H2
Sample3_m88888_230829_213454_s3/12651545/ccs/14247_16300	none
Sample3_m88888_230829_213454_s3/110430835/ccs/2010_4063	none
Sample3_m88888_230829_213454_s3/210373755/ccs/4897_6947	none
Sample3_m88888_230829_213454_s3/187765762/ccs/68_2117	H2
Sample3_m88888_230829_213454_s3/235738403/ccs/9130_11179	H2
Sample3_m88888_230829_213454_s3/94704099/ccs/15945_17991	H2
Sample3_m88888_230829_213454_s3/170135177/ccs/16290_18338	H2
Sample3_m88888_230829_213454_s3/100073472/ccs/4377_6419	H1
Sample3_m88888_230829_213454_s3/194122290/ccs/13138_15178	H2
Sample3_m88888_230829_213454_s3/255268079/ccs/2297_4338	none
Sample3_m88888_230829_213454_s3/243270631/ccs/2496_4536	H1
Sample3_m88888_230829_213454_s3/123015778/ccs/4896_6933	H1
Sample3_m88888_230829_213454_s3/139462207/ccs/6818_8855	none
Sample3_m88888_230829_213454_s3/127536943/ccs/68_2109	H2
Sample3_m88888_230829_213454_s3/230821442/ccs/2712_4749	none
Sample3_m88888_230829_213454_s3/107023768/ccs/10854_12890	none
Sample3_m88888_230829_213454_s3/230689392/ccs/9332_11369	H1
Sample3_m88888_230829_213454_s3/135008778/ccs/69_2102	H1
Sample3_m88888_230829_213454_s3/142149413/ccs/21618_23652	H2
Sample3_m88888_230829_213454_s3/149424616/ccs/3312_5347	H2
Sample3_m88888_230829_213454_s3/232981944/ccs/2892_4916	none
Sample3_m88888_230829_213454_s3/193463302/ccs/11917_13948	H2
Sample3_m88888_230829_213454_s3/211292991/ccs/41_2072	H2
Sample3_m88888_230829_213454_s3/199299498/ccs/15271_17298	H1
Sample3_m88888_230829_213454_s3/195757915/ccs/68_2102	none
Sample3_m88888_230829_213454_s3/16518902/ccs/10356_12382	H2
Sample3_m88888_230829_213454_s3/152704373/ccs/2852_4873	H2
Sample3_m88888_230829_213454_s3/114425995/ccs/4911_6929	H1
Sample3_m88888_230829_213454_s3/108792822/ccs/12934_14949	H1
Sample3_m88888_230829_213454_s3/8787143/ccs/7758_9767	H1
Sample3_m88888_230829_213454_s3/36834965/ccs/9182_11191	H1
Sample3_m88888_230829_213454_s3/109318455/ccs/41_2050	none
Sample3_m88888_230829_213454_s3/128194381/ccs/15401_17404	H2
Sample3_m88888_230829_213454_s3/254219655/ccs/6311_8306	none
Sample3_m88888_230829_213454_s3/42407380/ccs/16128_18093	H2
Sample3_m88888_230829_213454_s3/105582935/ccs/2396_4360	H1
Sample3_m88888_230829_213454_s3/165809848/ccs/1669_3631	H2
Sample3_m88888_230829_213454_s3/51778416/ccs/16678_18635	H1
Sample3_m88888_230829_213454_s3/81330793/ccs/20668_22624	H1
Sample3_m88888_230829_213454_s3/237967126/ccs/3242_5191	H1
Sample3_m88888_230829_213454_s3/137299065/ccs/41_1989	none
Sample3_m88888_230829_213454_s3/18812934/ccs/12771_14721	H2
Sample3_m88888_230829_213454_s3/3670725/ccs/1927_3874	none
Sample3_m88888_230829_213454_s3/188812052/ccs/69_2015	H1
Sample3_m88888_230829_213454_s3/24773642/ccs/6091_8037	none
Sample3_m88888_230829_213454_s3/134023161/ccs/11969_13909	H1
Sample3_m88888_230829_213454_s3/94047700/ccs/4139_6083	none
Sample3_m88888_230829_213454_s3/112332845/ccs/6032_7978	none
Sample3_m88888_230829_213454_s3/231869720/ccs/21812_23757	none
Sample3_m88888_230829_213454_s3/76416187/ccs/68_2009	H2
