#readname	haplotype
Sample10_m88888_231124_091406_s4/241567595/ccs/9316_11362	H1
Sample10_m88888_231124_011453_s3/193855983/ccs/15045_17049	none
Sample10_m88888_231124_011453_s3/176948681/ccs/11606_13626	none
Sample10_m88888_231124_011453_s3/132257118/ccs/15366_17347	none
Sample10_m88888_231124_011453_s3/160958263/ccs/4457_6440	H2
Sample10_m88888_231124_091406_s4/48891652/ccs/12175_14156	H1
Sample10_m88888_231124_011453_s3/151589254/ccs/14296_16275	H2
Sample10_m88888_231124_011453_s3/137827082/ccs/3141_5120	H2
Sample10_m88888_231124_091406_s4/58070403/ccs/2661_4640	none
Sample10_m88888_231124_011453_s3/232262403/ccs/12808_14787	H2
Sample10_m88888_231114_014002_s2/125044646/ccs/39_2017	H2
Sample10_m88888_231124_091406_s4/80806781/ccs/39_2013	none
Sample10_m88888_231124_091406_s4/191566423/ccs/6139_8108	H1
Sample10_m88888_231114_014002_s2/184881542/ccs/12919_14886	H1
Sample10_m88888_231124_011453_s3/184942724/ccs/5241_7206	H1
Sample10_m88888_231124_011453_s3/216405533/ccs/68_2035	none
Sample10_m88888_231124_011453_s3/72879442/ccs/3156_5123	H2
Sample10_m88888_231114_014002_s2/255066643/ccs/1915_3879	H2
Sample10_m88888_231124_091406_s4/136712607/ccs/67_2032	H2
Sample10_m88888_231124_091406_s4/47188916/ccs/1937_3903	H2
Sample10_m88888_231124_091406_s4/199821923/ccs/7311_9270	H1
Sample10_m88888_231124_011453_s3/85394269/ccs/10398_12343	H1
Sample10_m88888_231124_091406_s4/180817969/ccs/6102_8009	H1
Sample10_m88888_231124_011453_s3/52234552/ccs/1529_3470	H2
Sample10_m88888_231124_091406_s4/266015027/ccs/17450_19374	H1
Sample10_m88888_231124_091406_s4/62590116/ccs/20386_22356	H2
Sample10_m88888_231124_011453_s3/165744000/ccs/1234_3196	none
Sample10_m88888_231124_011453_s3/232655728/ccs/3849_5812	H2
Sample10_m88888_231124_091406_s4/175374425/ccs/3723_5686	none
Sample10_m88888_231124_011453_s3/220072774/ccs/5711_7664	H2
Sample10_m88888_231114_014002_s2/37884164/ccs/39_1998	H2
Sample10_m88888_231124_011453_s3/182584505/ccs/39_2003	H1
Sample10_m88888_231114_014002_s2/129108822/ccs/6209_8171	none
Sample10_m88888_231124_011453_s3/222499572/ccs/1866_3828	H2
Sample10_m88888_231124_091406_s4/256377892/ccs/3946_5907	none
Sample10_m88888_231124_011453_s3/235079645/ccs/15685_17646	none
Sample10_m88888_231124_011453_s3/154800266/ccs/5442_7401	none
