#readname	haplotype
Sample42_m88888_240731_163529_s1/174069272/ccs/41_3702	H1
Sample42_m88888_240731_163529_s1/138678680/ccs/8202_11866	H2
Sample42_m88888_240731_163529_s1/123867585/ccs/6497_10139	H2
Sample42_m88888_240731_163529_s1/252838595/ccs/3356_6998	H1
Sample42_m88888_240731_163529_s1/39326421/ccs/11995_15145	none
Sample42_m88888_240731_163529_s1/187437893/ccs/14667_17816	none
Sample42_m88888_240731_163529_s1/205264331/ccs/6720_9853	none
Sample42_m88888_240731_163529_s1/163578163/ccs/4851_6927	H2
Sample42_m88888_240726_010724_s1/255265914/ccs/69_2076	H1
Sample42_m88888_240731_163529_s1/144444293/ccs/5680_7614	H2
Sample42_m88888_240731_163529_s1/166662628/ccs/7539_9495	H1
Sample42_m88888_240731_163529_s1/103354355/ccs/13032_14999	none
Sample42_m88888_240731_163529_s1/143067241/ccs/5761_7721	H2
Sample42_m88888_240731_163529_s1/240585475/ccs/12114_14161	H2
Sample42_m88888_240731_163529_s1/38472374/ccs/69_2054	H1
Sample42_m88888_240731_163529_s1/89262221/ccs/41_2016	none
Sample42_m88888_240731_163529_s1/152110231/ccs/5168_7145	H1
Sample42_m88888_240731_163529_s1/69143601/ccs/10471_12438	H2
Sample42_m88888_240731_163529_s1/44564990/ccs/1595_3562	H2
Sample42_m88888_240731_163529_s1/173608284/ccs/69_2034	none
Sample42_m88888_240731_163529_s1/180819379/ccs/8994_10956	H2
Sample42_m88888_240731_163529_s1/110231644/ccs/1958_3919	H2
Sample42_m88888_240731_163529_s1/141560833/ccs/7824_9780	H2
Sample42_m88888_240731_163529_s1/82708262/ccs/9910_11866	none
Sample42_m88888_240731_163529_s1/162993213/ccs/3794_5752	H2
Sample42_m88888_240731_163529_s1/9241430/ccs/11203_13160	H2
Sample42_m88888_240731_163529_s1/201788386/ccs/70_2029	H2
Sample42_m88888_240731_163529_s1/201657135/ccs/10646_12605	none
Sample42_m88888_240726_010724_s1/53152254/ccs/69_2028	H2
Sample42_m88888_240731_163529_s1/127862748/ccs/16029_17988	H2
Sample42_m88888_240731_163529_s1/55445287/ccs/4976_6935	H1
Sample42_m88888_240731_163529_s1/130551369/ccs/6229_8189	H1
Sample42_m88888_240731_163529_s1/44566600/ccs/3001_4958	none
Sample42_m88888_240731_163529_s1/74649550/ccs/14486_16445	H1
Sample42_m88888_240731_163529_s1/242352399/ccs/10553_12510	H2
Sample42_m88888_240731_163529_s1/119013773/ccs/9771_11728	none
Sample42_m88888_240726_010724_s1/194972464/ccs/6179_8136	H2
Sample42_m88888_240731_163529_s1/29165144/ccs/9481_11438	none
Sample42_m88888_240731_163529_s1/16908654/ccs/8584_10541	none
Sample42_m88888_240731_163529_s1/266078508/ccs/3227_5185	H1
Sample42_m88888_240726_010724_s1/87949990/ccs/4004_5961	none
Sample42_m88888_240731_163529_s1/148571203/ccs/12779_14736	H2
Sample42_m88888_240731_163529_s1/133305789/ccs/1250_3208	none
Sample42_m88888_240731_163529_s1/121176133/ccs/18947_20906	H1
Sample42_m88888_240731_163529_s1/38797439/ccs/70_2026	H2
Sample42_m88888_240731_163529_s1/242945380/ccs/1246_3204	none
Sample42_m88888_240731_163529_s1/185467443/ccs/3833_5787	H2
Sample42_m88888_240731_163529_s1/204669092/ccs/13107_15059	none
Sample42_m88888_240726_010724_s1/107807189/ccs/1421_3377	none
Sample42_m88888_240731_163529_s1/117835358/ccs/9752_11707	H2
Sample42_m88888_240731_163529_s1/258607801/ccs/17658_19613	H1
Sample42_m88888_240731_163529_s1/218829433/ccs/8986_10940	none
Sample42_m88888_240731_163529_s1/102700147/ccs/69_2021	none
Sample42_m88888_240731_163529_s1/158466134/ccs/4002_5956	none
Sample42_m88888_240731_163529_s1/148574480/ccs/4942_6895	H1
Sample42_m88888_240731_163529_s1/185471875/ccs/9301_11254	H1
Sample42_m88888_240731_163529_s1/136450562/ccs/12614_14567	none
Sample42_m88888_240731_163529_s1/110759811/ccs/14853_16804	H1
Sample42_m88888_240731_163529_s1/34542785/ccs/69_2021	none
Sample42_m88888_240726_010724_s1/57608613/ccs/8158_10108	H1
Sample42_m88888_240731_163529_s1/126226865/ccs/8519_10469	H1
Sample42_m88888_240731_163529_s1/88147229/ccs/3608_5560	H2
Sample42_m88888_240731_163529_s1/247009241/ccs/2712_4661	none
Sample42_m88888_240731_163529_s1/147656845/ccs/8448_10401	none
Sample42_m88888_240731_163529_s1/235081642/ccs/69_2004	H2
Sample42_m88888_240731_163529_s1/28642878/ccs/17472_19425	H1
