#readname	haplotype
Sample56_m88888_240731_203429_s3/230818034/ccs/2462_6144	H2
Sample56_m88888_240731_203429_s3/167117178/ccs/4604_8277	none
Sample56_m88888_240731_203429_s3/101319683/ccs/14406_18079	none
Sample56_m88888_240731_203429_s3/150934998/ccs/3306_6971	H1
Sample56_m88888_240731_203429_s3/60361001/ccs/69_3713	none
Sample56_m88888_240731_203429_s3/114102120/ccs/16037_19677	H1
Sample56_m88888_240731_203429_s3/28509098/ccs/12301_15933	none
Sample56_m88888_240731_203429_s3/82642860/ccs/15192_18809	none
Sample56_m88888_240731_203429_s3/125507339/ccs/41_3648	H2
Sample56_m88888_240731_203429_s3/50859917/ccs/5902_9491	H2
Sample56_m88888_240731_203429_s3/51184036/ccs/8511_11681	H1
Sample56_m88888_240731_203429_s3/70260104/ccs/69_3219	H2
Sample56_m88888_240731_203429_s3/137823963/ccs/67_3216	H2
Sample56_m88888_240731_203429_s3/162661104/ccs/16926_20058	H1
Sample56_m88888_240731_203429_s3/182261105/ccs/41_3166	H2
Sample56_m88888_240731_203429_s3/242485119/ccs/69_2112	H2
Sample56_m88888_240731_203429_s3/258999063/ccs/16485_18523	H2
Sample56_m88888_240731_203429_s3/91230289/ccs/17672_19650	H1
Sample56_m88888_240731_203429_s3/231673354/ccs/11523_13482	none
Sample56_m88888_240731_203429_s3/118031762/ccs/12819_14781	none
Sample56_m88888_240731_203429_s3/16058297/ccs/10133_12094	H2
Sample56_m88888_240731_203429_s3/14812317/ccs/4387_6347	none
Sample56_m88888_240731_203429_s3/117442382/ccs/14455_16411	H2
Sample56_m88888_240731_203429_s3/42669691/ccs/15002_16961	H1
Sample56_m88888_240731_203429_s3/201262236/ccs/8730_10686	H2
Sample56_m88888_240731_203429_s3/112002958/ccs/17180_19137	H1
Sample56_m88888_240731_203429_s3/219940779/ccs/14380_16340	none
Sample56_m88888_240731_203429_s3/125372093/ccs/2878_4837	none
Sample56_m88888_240731_203429_s3/92276179/ccs/18880_20840	H2
Sample56_m88888_240731_203429_s3/67502982/ccs/17899_19858	H1
Sample56_m88888_240731_203429_s3/247006077/ccs/15461_17417	none
Sample56_m88888_240731_203429_s3/34736882/ccs/14576_16529	H2
Sample56_m88888_240731_203429_s3/175706829/ccs/1857_3814	H1
Sample56_m88888_240731_203429_s3/192743374/ccs/2694_4653	H1
Sample56_m88888_240731_203429_s3/86706947/ccs/7692_9650	H1
Sample56_m88888_240731_203429_s3/202049104/ccs/2191_4143	none
