#readname	haplotype
Sample24_m88888_240324_145021_s1/20647779/ccs/1109_3102	H1
Sample24_m88888_240324_145021_s1/232854647/ccs/20909_22899	none
Sample24_m88888_240324_145021_s1/213452150/ccs/10959_12945	none
Sample24_m88888_240324_145021_s1/88540746/ccs/15144_17170	H2
Sample24_m88888_240324_145021_s1/142084787/ccs/13728_15739	H1
Sample24_m88888_240324_145021_s1/176688055/ccs/12157_14167	H2
Sample24_m88888_240324_145021_s1/88802629/ccs/4705_6651	none
Sample24_m88888_240324_145021_s1/142806674/ccs/8470_10403	H2
Sample24_m88888_240324_145021_s1/67570978/ccs/70_1991	H1
Sample24_m88888_240324_145021_s1/40374208/ccs/2595_4512	none
Sample24_m88888_240324_145021_s1/182322837/ccs/3637_5579	H2
Sample24_m88888_240324_145021_s1/33490749/ccs/10241_12225	H1
Sample24_m88888_240324_145021_s1/208212858/ccs/9572_11551	H2
Sample24_m88888_240324_145021_s1/198576065/ccs/1571_3551	H1
Sample24_m88888_240324_145021_s1/192547013/ccs/3824_5789	none
Sample24_m88888_240324_145021_s1/45356498/ccs/11923_13891	H1
Sample24_m88888_240324_145021_s1/56822025/ccs/14484_16449	none
Sample24_m88888_240324_145021_s1/45744449/ccs/8027_9994	H1
Sample24_m88888_240324_145021_s1/79298966/ccs/14311_16277	H1
Sample24_m88888_240324_145021_s1/6554471/ccs/22994_24962	H1
Sample24_m88888_240324_145021_s1/249693425/ccs/13759_15724	none
Sample24_m88888_240324_145021_s1/247006420/ccs/2970_4934	H2
Sample24_m88888_240324_145021_s1/120985283/ccs/14918_16883	none
Sample24_m88888_240324_145021_s1/91883419/ccs/3900_5864	H2
Sample24_m88888_240324_145021_s1/109183286/ccs/12703_14663	none
Sample24_m88888_240324_145021_s1/100209449/ccs/16318_18279	H2
Sample24_m88888_240324_145021_s1/64685257/ccs/16301_18263	H2
Sample24_m88888_240324_145021_s1/154604314/ccs/3031_4992	H2
Sample24_m88888_240324_145021_s1/166987267/ccs/14472_16434	H1
Sample24_m88888_240324_145021_s1/172033622/ccs/41_2003	H1
Sample24_m88888_240324_145021_s1/23530685/ccs/8223_10183	H1
Sample24_m88888_240324_145021_s1/221188222/ccs/7473_9434	H1
Sample24_m88888_240324_145021_s1/173215967/ccs/11555_13514	H2
Sample24_m88888_240324_145021_s1/26285145/ccs/20854_22815	H1
Sample24_m88888_240324_145021_s1/176882553/ccs/3498_5453	none
Sample24_m88888_240324_145021_s1/82444724/ccs/17476_19437	none
Sample24_m88888_240324_145021_s1/173674175/ccs/7908_9866	H1
Sample24_m88888_240324_145021_s1/170788511/ccs/9694_11652	none
Sample24_m88888_240324_145021_s1/146476390/ccs/4773_6731	none
Sample24_m88888_240324_145021_s1/148376557/ccs/4352_6310	H1
Sample24_m88888_240324_145021_s1/122489454/ccs/6967_8925	H2
Sample24_m88888_240324_145021_s1/28246134/ccs/12692_14650	none
Sample24_m88888_240324_145021_s1/210241095/ccs/2987_4940	H1
Sample24_m88888_240324_145021_s1/11932480/ccs/6507_8462	H1
Sample24_m88888_240324_145021_s1/137761683/ccs/69_2028	H1
Sample24_m88888_240324_145021_s1/77663754/ccs/12146_14101	none
Sample24_m88888_240324_145021_s1/234820104/ccs/14942_16895	none
Sample24_m88888_240324_145021_s1/191892546/ccs/9535_11493	H1
Sample24_m88888_240324_145021_s1/235929736/ccs/2619_4576	H1
Sample24_m88888_240324_145021_s1/103616561/ccs/9837_11794	H2
Sample24_m88888_240324_145021_s1/205261386/ccs/10693_12653	none
Sample24_m88888_240324_145021_s1/52891287/ccs/13516_15472	none
Sample24_m88888_240324_145021_s1/219484788/ccs/12754_14703	H1
Sample24_m88888_240324_145021_s1/55836832/ccs/69_2026	H1
Sample24_m88888_240324_145021_s1/248185383/ccs/69_2025	none
