#readname	haplotype
Sample16_m88888_240422_220151_s3/158795763/ccs/3389_5362	H2
Sample16_m88888_240416_224744_s4/210702423/ccs/13379_15350	H2
Sample16_m88888_240416_224744_s4/85398304/ccs/2003_3969	H2
Sample16_m88888_240416_224744_s4/199758356/ccs/4988_6955	none
Sample16_m88888_240416_224744_s4/97192423/ccs/2617_4581	none
Sample16_m88888_240416_224744_s4/95290570/ccs/15402_17368	H1
Sample16_m88888_240422_220151_s3/92473493/ccs/3818_5781	H1
Sample16_m88888_240416_224744_s4/244450674/ccs/13542_15506	none
Sample16_m88888_240422_220151_s3/153289329/ccs/6647_8609	H1
Sample16_m88888_240416_224744_s4/165873445/ccs/7853_9811	H1
Sample16_m88888_240422_220151_s3/70063260/ccs/6036_7998	H1
Sample16_m88888_240422_220151_s3/106038826/ccs/18753_20712	none
Sample16_m88888_240416_224744_s4/59381593/ccs/14607_16566	none
Sample16_m88888_240416_224744_s4/235868851/ccs/10582_12540	none
Sample16_m88888_240422_220151_s3/170788718/ccs/13179_15134	none
Sample16_m88888_240416_224744_s4/161155736/ccs/5169_7128	H2
Sample16_m88888_240422_220151_s3/128125496/ccs/41_2000	H1
Sample16_m88888_240416_224744_s4/83626933/ccs/9801_11760	none
Sample16_m88888_240422_220151_s3/207226924/ccs/15669_17625	none
Sample16_m88888_240422_220151_s3/208865120/ccs/14147_16103	H2
Sample16_m88888_240416_224744_s4/147721503/ccs/1969_3925	none
Sample16_m88888_240422_220151_s3/23856278/ccs/8803_10760	H2
Sample16_m88888_240416_224744_s4/179900460/ccs/41_2003	H1
Sample16_m88888_240422_220151_s3/3343470/ccs/6136_8090	H1
Sample16_m88888_240422_220151_s3/208409282/ccs/41_1998	H2
Sample16_m88888_240422_220151_s3/155454489/ccs/15670_17626	none
Sample16_m88888_240422_220151_s3/193728214/ccs/8856_10813	none
Sample16_m88888_240416_224744_s4/209982233/ccs/6925_8882	H2
Sample16_m88888_240422_220151_s3/65866603/ccs/7038_8991	none
Sample16_m88888_240416_224744_s4/180229507/ccs/13080_15035	H1
Sample16_m88888_240422_220151_s3/161220154/ccs/7115_9070	none
Sample16_m88888_240416_224744_s4/49813180/ccs/18200_20153	none
Sample16_m88888_240422_220151_s3/57938799/ccs/1144_3099	none
Sample16_m88888_240416_224744_s4/172168575/ccs/2661_4616	none
Sample16_m88888_240422_220151_s3/107090103/ccs/69_2022	H1
Sample16_m88888_240422_220151_s3/163908895/ccs/69_2022	none
Sample16_m88888_240416_224744_s4/63373703/ccs/15305_17259	none
Sample16_m88888_240416_224744_s4/250156519/ccs/2482_4436	H1
Sample16_m88888_240422_220151_s3/166069642/ccs/15341_17293	none
Sample16_m88888_240416_224744_s4/117902631/ccs/9617_11571	none
Sample16_m88888_240422_220151_s3/155256812/ccs/69_2024	H2
Sample16_m88888_240422_220151_s3/78513425/ccs/2133_4087	H2
Sample16_m88888_240416_224744_s4/125372901/ccs/7991_9944	none
Sample16_m88888_240422_220151_s3/232065070/ccs/41_1991	H1
Sample16_m88888_240422_220151_s3/147526531/ccs/1943_3895	none
Sample16_m88888_240422_220151_s3/265161988/ccs/20488_22428	none
Sample16_m88888_240416_224744_s4/239798924/ccs/20771_22721	H2
Sample16_m88888_240416_224744_s4/160171341/ccs/9270_11224	H1
Sample16_m88888_240416_224744_s4/258084637/ccs/6948_8899	none
Sample16_m88888_240416_224744_s4/92803781/ccs/14539_16493	H2
Sample16_m88888_240422_220151_s3/149423001/ccs/15234_17185	H2
Sample16_m88888_240422_220151_s3/40701726/ccs/5561_7511	H1
Sample16_m88888_240416_224744_s4/249892222/ccs/3087_5037	none
Sample16_m88888_240416_224744_s4/241046302/ccs/5413_7363	none
Sample16_m88888_240422_220151_s3/258806857/ccs/17803_19751	none
Sample16_m88888_240416_224744_s4/176160952/ccs/15111_17057	none
Sample16_m88888_240422_220151_s3/190907356/ccs/5702_7648	H2
Sample16_m88888_240416_224744_s4/145427506/ccs/15167_17115	H1
Sample16_m88888_240422_220151_s3/45811513/ccs/10472_12420	H1
Sample16_m88888_240416_224744_s4/41224374/ccs/7265_9210	none
Sample16_m88888_240416_224744_s4/193727253/ccs/69_2017	H1
Sample16_m88888_240416_224744_s4/203556085/ccs/2674_4622	H1
Sample16_m88888_240416_224744_s4/126813594/ccs/41_1989	H1
Sample16_m88888_240422_220151_s3/251007335/ccs/69_2012	none
Sample16_m88888_240416_224744_s4/107875487/ccs/11517_13466	none
Sample16_m88888_240422_220151_s3/83297835/ccs/13272_15219	none
Sample16_m88888_240422_220151_s3/256901522/ccs/2723_4670	none
Sample16_m88888_240416_224744_s4/187303674/ccs/9588_11535	H1
Sample16_m88888_240416_224744_s4/246481728/ccs/3254_5202	H1
Sample16_m88888_240416_224744_s4/94112198/ccs/11155_13103	H2
Sample16_m88888_240416_224744_s4/173803122/ccs/5567_7514	none
Sample16_m88888_240416_224744_s4/126095292/ccs/4535_6479	H1
Sample16_m88888_240422_220151_s3/107286316/ccs/22054_24001	H1
Sample16_m88888_240416_224744_s4/223941574/ccs/8746_10694	none
Sample16_m88888_240422_220151_s3/132121174/ccs/4966_6910	none
Sample16_m88888_240416_224744_s4/163582138/ccs/21936_23883	H1
Sample16_m88888_240422_220151_s3/92670677/ccs/41_1985	H1
Sample16_m88888_240416_224744_s4/107218664/ccs/9615_11561	H1
Sample16_m88888_240416_224744_s4/76943128/ccs/2555_4502	H1
Sample16_m88888_240416_224744_s4/232129011/ccs/18573_20519	H1
Sample16_m88888_240416_224744_s4/49155348/ccs/8736_10682	none
Sample16_m88888_240422_220151_s3/85787715/ccs/6043_7988	H1
Sample16_m88888_240416_224744_s4/62657212/ccs/41_1987	none
Sample16_m88888_240416_224744_s4/70781144/ccs/4070_6015	H1
Sample16_m88888_240422_220151_s3/84806550/ccs/1186_3130	none
Sample16_m88888_240416_224744_s4/154538409/ccs/13814_15765	none
Sample16_m88888_240422_220151_s3/126423760/ccs/41_1988	none
Sample16_m88888_240416_224744_s4/126752571/ccs/41_1988	H1
Sample16_m88888_240416_224744_s4/157878090/ccs/8312_10261	none
Sample16_m88888_240422_220151_s3/235865165/ccs/4984_6932	H2
Sample16_m88888_240422_220151_s3/79762467/ccs/69_2017	H1
Sample16_m88888_240422_220151_s3/70255695/ccs/4134_6081	H2
Sample16_m88888_240422_220151_s3/194775796/ccs/10315_12259	none
Sample16_m88888_240422_220151_s3/125112864/ccs/2094_4040	none
Sample16_m88888_240416_224744_s4/46596804/ccs/5943_7888	H1
Sample16_m88888_240416_224744_s4/233900786/ccs/4258_6205	H2
Sample16_m88888_240422_220151_s3/123801940/ccs/1689_3636	H2
Sample16_m88888_240422_220151_s3/264638938/ccs/41_1987	none
Sample16_m88888_240416_224744_s4/125829674/ccs/15247_17192	H2
Sample16_m88888_240416_224744_s4/135988693/ccs/8884_10830	H1
Sample16_m88888_240422_220151_s3/189860632/ccs/13892_15838	H1
Sample16_m88888_240422_220151_s3/141230863/ccs/12808_14755	none
Sample16_m88888_240416_224744_s4/28314886/ccs/3868_5810	none
Sample16_m88888_240416_224744_s4/144311936/ccs/3003_4950	H2
Sample16_m88888_240422_220151_s3/158996038/ccs/41_1986	H2
Sample16_m88888_240422_220151_s3/31984740/ccs/3891_5834	H1
Sample16_m88888_240416_224744_s4/181733031/ccs/13883_15826	H1
Sample16_m88888_240422_220151_s3/103355532/ccs/4329_6274	none
Sample16_m88888_240416_224744_s4/211288133/ccs/15268_17206	none
Sample16_m88888_240416_224744_s4/262607019/ccs/41_1985	none
Sample16_m88888_240416_224744_s4/177607119/ccs/1740_3682	H2
Sample16_m88888_240422_220151_s3/84809068/ccs/69_2014	H2
Sample16_m88888_240422_220151_s3/142282531/ccs/2949_4894	H1
Sample16_m88888_240416_224744_s4/257035770/ccs/1027_2971	H1
Sample16_m88888_240416_224744_s4/152963216/ccs/2070_4013	H2
Sample16_m88888_240416_224744_s4/148050521/ccs/2162_4106	none
Sample16_m88888_240422_220151_s3/157027678/ccs/11846_13791	none
Sample16_m88888_240416_224744_s4/84349091/ccs/2278_4223	none
Sample16_m88888_240416_224744_s4/90314338/ccs/2835_4780	H1
Sample16_m88888_240422_220151_s3/68290057/ccs/2340_4284	H2
Sample16_m88888_240422_220151_s3/219874037/ccs/12021_13965	H2
Sample16_m88888_240422_220151_s3/191497380/ccs/2861_4802	H2
Sample16_m88888_240422_220151_s3/163252716/ccs/18017_19962	none
Sample16_m88888_240422_220151_s3/120324546/ccs/4957_6902	none
