#readname	haplotype
Sample36_m88888_240512_073311_s1/161945123/ccs/69_3732	H1
Sample36_m88888_240512_073311_s1/103221067/ccs/1416_5070	none
Sample36_m88888_240512_073311_s1/70912185/ccs/8806_10820	H2
Sample36_m88888_240512_073311_s1/111220622/ccs/9385_11396	H1
Sample36_m88888_240512_073311_s1/267716607/ccs/4160_6169	H2
Sample36_m88888_240512_073311_s1/180425057/ccs/986_2999	H1
Sample36_m88888_240512_073311_s1/107151698/ccs/10040_12008	H1
Sample36_m88888_240512_073311_s1/191300545/ccs/11441_13387	none
Sample36_m88888_240512_073311_s1/66717782/ccs/4089_6035	H1
Sample36_m88888_240512_073311_s1/204867189/ccs/13483_15399	H1
Sample36_m88888_240512_073311_s1/32575700/ccs/2058_4159	H2
Sample36_m88888_240512_073311_s1/89593473/ccs/69_2086	none
Sample36_m88888_240512_073311_s1/256968067/ccs/12438_14414	H1
Sample36_m88888_240512_073311_s1/193140236/ccs/9653_11628	H1
Sample36_m88888_240512_073311_s1/125503345/ccs/3759_5725	H2
Sample36_m88888_240512_073311_s1/42534281/ccs/3825_5789	H1
Sample36_m88888_240512_073311_s1/30149137/ccs/13315_15279	H2
Sample36_m88888_240512_073311_s1/142805453/ccs/69_2038	H1
Sample36_m88888_240512_073311_s1/243074125/ccs/13726_15688	H1
Sample36_m88888_240512_073311_s1/60626838/ccs/7123_9088	none
Sample36_m88888_240512_073311_s1/200279484/ccs/7553_9517	H1
Sample36_m88888_240512_073311_s1/56427032/ccs/8061_10022	none
Sample36_m88888_240512_073311_s1/38800743/ccs/7785_9744	H2
Sample36_m88888_240512_073311_s1/18683120/ccs/8541_10503	H1
Sample36_m88888_240512_073311_s1/201722731/ccs/12801_14760	H2
Sample36_m88888_240512_073311_s1/64489977/ccs/13731_15690	none
Sample36_m88888_240512_073311_s1/117313729/ccs/69_2027	none
Sample36_m88888_240512_073311_s1/63050651/ccs/10700_12658	H2
Sample36_m88888_240512_073311_s1/66719542/ccs/10498_12453	none
Sample36_m88888_240512_073311_s1/19336585/ccs/7892_9851	H2
Sample36_m88888_240512_073311_s1/170197736/ccs/7301_9258	none
Sample36_m88888_240512_073311_s1/4855215/ccs/69_2027	H2
Sample36_m88888_240512_073311_s1/122294778/ccs/5652_7608	H1
Sample36_m88888_240512_073311_s1/228131988/ccs/3354_5311	H2
Sample36_m88888_240512_073311_s1/219944758/ccs/41_1995	H2
Sample36_m88888_240512_073311_s1/159056172/ccs/2505_4460	H1
Sample36_m88888_240512_073311_s1/81398594/ccs/1429_3388	H2
Sample36_m88888_240512_073311_s1/58921031/ccs/2897_4851	none
Sample36_m88888_240512_073311_s1/74645599/ccs/3928_5882	none
Sample36_m88888_240512_073311_s1/85135555/ccs/1341_3291	H1
Sample36_m88888_240512_073311_s1/95556789/ccs/10356_12308	none
Sample36_m88888_240512_073311_s1/145622996/ccs/9303_11257	H1
Sample36_m88888_240512_073311_s1/122881048/ccs/14308_16262	H1
Sample36_m88888_240512_073311_s1/251593608/ccs/69_2021	none
Sample36_m88888_240512_073311_s1/136647371/ccs/13374_15328	none
Sample36_m88888_240512_073311_s1/69144352/ccs/11934_13886	H1
Sample36_m88888_240512_073311_s1/208406846/ccs/18479_20434	H2
