#readname	haplotype
Sample39_m88888_240731_163529_s1/226102138/ccs/9000_12138	H2
Sample39_m88888_240731_163529_s1/106561941/ccs/3407_5368	H1
Sample39_m88888_240731_163529_s1/28643763/ccs/17240_19343	none
Sample39_m88888_240731_163529_s1/95885074/ccs/41_2060	H2
Sample39_m88888_240731_163529_s1/183703447/ccs/19568_21545	none
Sample39_m88888_240731_163529_s1/180685181/ccs/1439_3408	none
Sample39_m88888_240731_163529_s1/202309982/ccs/4278_6246	H1
Sample39_m88888_240731_163529_s1/208079396/ccs/7425_9391	H1
Sample39_m88888_240731_163529_s1/226166280/ccs/41_2009	none
Sample39_m88888_240731_163529_s1/132715137/ccs/3740_5699	H2
Sample39_m88888_240731_163529_s1/70456992/ccs/69_2033	H2
Sample39_m88888_240731_163529_s1/177800415/ccs/10082_12047	H1
Sample39_m88888_240731_163529_s1/62523538/ccs/1998_3963	none
Sample39_m88888_240731_163529_s1/152177404/ccs/9550_11515	H1
Sample39_m88888_240731_163529_s1/256772771/ccs/7784_9749	H2
Sample39_m88888_240731_163529_s1/224072941/ccs/9427_11389	H2
Sample39_m88888_240731_163529_s1/132580192/ccs/10551_12515	H2
Sample39_m88888_240726_010724_s1/235736142/ccs/4998_6961	H1
Sample39_m88888_240731_163529_s1/196220768/ccs/68_2028	H1
Sample39_m88888_240731_163529_s1/229116047/ccs/6841_8804	none
Sample39_m88888_240726_010724_s1/113639623/ccs/69_2029	H1
Sample39_m88888_240731_163529_s1/170660305/ccs/9516_11477	none
Sample39_m88888_240731_163529_s1/90375955/ccs/12917_14880	H2
Sample39_m88888_240731_163529_s1/126882283/ccs/10271_12231	none
Sample39_m88888_240731_163529_s1/38867022/ccs/4589_6550	H2
Sample39_m88888_240731_163529_s1/264836082/ccs/69_2029	H1
Sample39_m88888_240731_163529_s1/230819637/ccs/13800_15762	none
Sample39_m88888_240731_163529_s1/192873842/ccs/5862_7821	H1
Sample39_m88888_240731_163529_s1/114166480/ccs/630_2589	none
Sample39_m88888_240731_163529_s1/177865095/ccs/10414_12372	H2
Sample39_m88888_240731_163529_s1/87295233/ccs/10522_12481	H2
Sample39_m88888_240731_163529_s1/143066974/ccs/8013_9971	H1
Sample39_m88888_240731_163529_s1/68748218/ccs/41_1996	H2
Sample39_m88888_240731_163529_s1/54067960/ccs/2662_4617	H2
Sample39_m88888_240731_163529_s1/249037984/ccs/14205_16159	none
Sample39_m88888_240731_163529_s1/84674363/ccs/21012_22968	H2
Sample39_m88888_240731_163529_s1/115611338/ccs/3354_5311	none
Sample39_m88888_240731_163529_s1/137497832/ccs/14719_16676	H2
Sample39_m88888_240731_163529_s1/147457404/ccs/10419_12377	none
Sample39_m88888_240731_163529_s1/17304536/ccs/11031_12987	H1
Sample39_m88888_240731_163529_s1/160241287/ccs/69_2026	none
Sample39_m88888_240731_163529_s1/150932889/ccs/1389_3346	H1
Sample39_m88888_240731_163529_s1/258017170/ccs/41_1998	none
Sample39_m88888_240731_163529_s1/150799716/ccs/3784_5742	none
Sample39_m88888_240731_163529_s1/4655602/ccs/1724_3684	none
Sample39_m88888_240726_010724_s1/116722011/ccs/4007_5964	none
Sample39_m88888_240726_010724_s1/85789187/ccs/5526_7482	none
Sample39_m88888_240731_163529_s1/43253993/ccs/16216_18172	none
Sample39_m88888_240731_163529_s1/242422971/ccs/7527_9483	H1
Sample39_m88888_240731_163529_s1/245303834/ccs/4230_6188	H1
Sample39_m88888_240731_163529_s1/153223820/ccs/6412_8368	none
Sample39_m88888_240731_163529_s1/114033058/ccs/10222_12177	H2
Sample39_m88888_240731_163529_s1/217782019/ccs/10335_12289	none
Sample39_m88888_240731_163529_s1/93982718/ccs/12130_14086	none
Sample39_m88888_240731_163529_s1/7013847/ccs/11892_13848	H2
Sample39_m88888_240731_163529_s1/60164037/ccs/4104_6055	H1
Sample39_m88888_240731_163529_s1/78580471/ccs/2934_4889	none
Sample39_m88888_240731_163529_s1/13898505/ccs/7764_9719	H1
Sample39_m88888_240731_163529_s1/17631729/ccs/15459_17412	H2
Sample39_m88888_240731_163529_s1/85789270/ccs/4841_6798	H1
Sample39_m88888_240731_163529_s1/45155722/ccs/2649_4605	none
Sample39_m88888_240731_163529_s1/229509483/ccs/9245_11198	none
Sample39_m88888_240731_163529_s1/261492584/ccs/10679_12635	H1
Sample39_m88888_240731_163529_s1/256116031/ccs/69_2019	none
Sample39_m88888_240731_163529_s1/46405326/ccs/8999_10952	none
Sample39_m88888_240731_163529_s1/144508313/ccs/10445_12396	H1
Sample39_m88888_240731_163529_s1/12259121/ccs/3603_5548	H1
Sample39_m88888_240731_163529_s1/258017102/ccs/9040_10996	H2
Sample39_m88888_240731_163529_s1/121636642/ccs/41_1992	none
Sample39_m88888_240731_163529_s1/264965633/ccs/9640_11595	H2
Sample39_m88888_240731_163529_s1/10357680/ccs/1016_2970	H1
Sample39_m88888_240731_163529_s1/177671195/ccs/69_2023	none
Sample39_m88888_240731_163529_s1/45550135/ccs/15917_17871	H2
Sample39_m88888_240731_163529_s1/43911794/ccs/5760_7713	H2
Sample39_m88888_240731_163529_s1/104530266/ccs/9188_11143	H2
Sample39_m88888_240731_163529_s1/114365040/ccs/69_2021	H1
