#readname	haplotype
Sample21_m88888_240324_145021_s1/108597626/ccs/13282_16960	H2
Sample21_m88888_240324_145021_s1/15204975/ccs/12368_16006	none
Sample21_m88888_240324_145021_s1/223416787/ccs/16811_20439	H2
Sample21_m88888_240324_145021_s1/3543795/ccs/13020_16192	none
Sample21_m88888_240324_145021_s1/226691941/ccs/69_3201	H2
Sample21_m88888_240324_145021_s1/10753356/ccs/19982_22035	none
Sample21_m88888_240324_145021_s1/222106492/ccs/4183_6153	H2
Sample21_m88888_240324_145021_s1/150933675/ccs/19217_21142	H1
Sample21_m88888_240324_145021_s1/67768594/ccs/41_1938	none
Sample21_m88888_240324_145021_s1/198968647/ccs/9175_11131	H2
Sample21_m88888_240324_145021_s1/213779417/ccs/14474_16391	H2
Sample21_m88888_240324_145021_s1/237901374/ccs/41_1945	H1
Sample21_m88888_240324_145021_s1/99418378/ccs/5443_7342	H1
Sample21_m88888_240324_145021_s1/12390340/ccs/913_2813	H1
Sample21_m88888_240324_145021_s1/263392049/ccs/7904_9773	H2
Sample21_m88888_240324_145021_s1/11539574/ccs/1251_3120	none
Sample21_m88888_240324_145021_s1/88282800/ccs/1115_2973	H1
Sample21_m88888_240324_145021_s1/158335753/ccs/12778_14825	H1
Sample21_m88888_240324_145021_s1/107349036/ccs/5648_7690	none
Sample21_m88888_240324_145021_s1/51644687/ccs/8498_10530	H1
Sample21_m88888_240324_145021_s1/180358308/ccs/69_2090	H2
Sample21_m88888_240324_145021_s1/4526354/ccs/14753_16772	H2
Sample21_m88888_240324_145021_s1/258674915/ccs/11092_13096	none
Sample21_m88888_240324_145021_s1/151191669/ccs/20108_22105	none
Sample21_m88888_240324_145021_s1/122618818/ccs/19888_21881	H1
Sample21_m88888_240324_145021_s1/18022590/ccs/10286_12279	none
Sample21_m88888_240324_145021_s1/13570957/ccs/41_2029	H2
Sample21_m88888_240324_145021_s1/125242621/ccs/8045_10029	none
Sample21_m88888_240324_145021_s1/40043213/ccs/41_2014	H1
Sample21_m88888_240324_145021_s1/87167395/ccs/19169_21152	H1
Sample21_m88888_240324_145021_s1/95158993/ccs/2702_4685	H2
Sample21_m88888_240324_145021_s1/164954767/ccs/41_2019	H1
Sample21_m88888_240324_145021_s1/116265304/ccs/7214_9193	H1
Sample21_m88888_240324_145021_s1/40568348/ccs/1171_3147	H1
Sample21_m88888_240324_145021_s1/172824205/ccs/9699_11679	none
Sample21_m88888_240324_145021_s1/141888723/ccs/11889_13867	H2
Sample21_m88888_240324_145021_s1/61606217/ccs/5999_7977	H2
Sample21_m88888_240324_145021_s1/6165649/ccs/15161_17137	H2
Sample21_m88888_240324_145021_s1/21435466/ccs/15263_17240	H2
Sample21_m88888_240324_145021_s1/234226685/ccs/9561_11529	H1
Sample21_m88888_240324_145021_s1/86772072/ccs/7351_9317	none
Sample21_m88888_240324_145021_s1/217121141/ccs/18124_20091	H1
Sample21_m88888_240324_145021_s1/131339490/ccs/8068_10033	none
Sample21_m88888_240324_145021_s1/10753111/ccs/17201_19167	H2
Sample21_m88888_240324_145021_s1/43975946/ccs/14053_16018	none
Sample21_m88888_240324_145021_s1/26150301/ccs/19088_21054	H1
Sample21_m88888_240324_145021_s1/202510823/ccs/41_2011	H2
Sample21_m88888_240324_145021_s1/102305133/ccs/11509_13472	none
Sample21_m88888_240324_145021_s1/46665931/ccs/7890_9850	none
Sample21_m88888_240324_145021_s1/213188782/ccs/18978_20941	H1
Sample21_m88888_240324_145021_s1/75107051/ccs/9160_11116	H2
Sample21_m88888_240324_145021_s1/121307837/ccs/1486_3447	H2
Sample21_m88888_240324_145021_s1/49873743/ccs/12304_14263	H1
Sample21_m88888_240324_145021_s1/170858156/ccs/5773_7735	H1
Sample21_m88888_240324_145021_s1/193268773/ccs/16622_18582	H2
Sample21_m88888_240324_145021_s1/98962494/ccs/3716_5676	none
Sample21_m88888_240324_145021_s1/244383916/ccs/6758_8717	none
Sample21_m88888_240324_145021_s1/52367844/ccs/11775_13736	none
Sample21_m88888_240324_145021_s1/238290611/ccs/3938_5897	none
Sample21_m88888_240324_145021_s1/217712114/ccs/13172_15131	H2
Sample21_m88888_240324_145021_s1/100535141/ccs/10673_12632	H2
Sample21_m88888_240324_145021_s1/70320195/ccs/15910_17870	none
Sample21_m88888_240324_145021_s1/188747325/ccs/41_1997	H1
Sample21_m88888_240324_145021_s1/35785791/ccs/18238_20195	H2
Sample21_m88888_240324_145021_s1/22942450/ccs/5388_7345	none
Sample21_m88888_240324_145021_s1/217648402/ccs/69_2027	H2
Sample21_m88888_240324_145021_s1/254610750/ccs/19248_21204	H2
Sample21_m88888_240324_145021_s1/238423586/ccs/10159_12114	none
Sample21_m88888_240324_145021_s1/224335034/ccs/16659_18613	none
Sample21_m88888_240324_145021_s1/209978537/ccs/4501_6456	H2
Sample21_m88888_240324_145021_s1/43586547/ccs/16660_18615	none
Sample21_m88888_240324_145021_s1/243728548/ccs/2315_4272	H1
Sample21_m88888_240324_145021_s1/136320090/ccs/8822_10778	H1
Sample21_m88888_240324_145021_s1/97257437/ccs/11645_13600	H1
Sample21_m88888_240324_145021_s1/248320966/ccs/15529_17483	H2
