Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score
PB.161551.53	Patient30	0	0	0	9	9	12	0	30	0	1808		16592.920353982303		2.0		0.0		1425.0313944161403	SRSF6	0.0	127.0		0.2362204724409448	-0.1428571428571428	1.6625431975416274	5.567764362830023	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.59138.483	Patient16	0	0	0	3	6	4	0	13	0	1271		10228.166797797012		9.0		6866.4169787765295		7679.858053412392	HARS1	0.0	647.0		0.0200927357032457	0.2	1.6125530151888576	1.2422260458535566	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.59138.483	Patient6	0	0	0	1	3	7	0	11	0	1602		6866.4169787765295		16.0		6866.4169787765295		7679.858053412392	HARS1	0.0	657.0		0.0167427701674277	-0.4	3.321928094887362	2.5590387187601844	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.59138.487	Patient24	0	0	0	2	5	8	0	15	0	1661		9030.704394942806		1.0		4369.538077403247		4418.789350323991	HARS1	0.0	805.0		0.0186335403726708	-0.2307692307692307	2.1646184712917043	5.567764362830022	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.59138.526	Patient12	0	0	0	2	10	9	0	21	0	1791		11725.293132328308		3.0		0.0		1967.990913701071	HARS1	0.0	520.0		0.0403846153846153	0.0526315789473684	0.5841050017327925	1.266371923573051	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.12	Patient13	0	0	0	42	31	45	0	118	0	2218		53201.08205590622		19.0		59763.724808895066		66103.79118478937	VTA1	0.0	1281.0		0.0921155347384855	-0.1842105263157894	3.2711771502409523	1.974982268188487	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.16	Patient1	0	0	0	70	59	86	0	215	0	1717		125218.4041933605		12.0		109988.34045860864		133455.12353472013	VTA1	0.0	979.0		0.2196118488253319	-0.1862068965517241	3.8488110911635514	2.4537599171846884	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.16	Patient20	0	0	0	61	64	45	0	170	0	1738		97813.57882623703		25.0		109988.34045860864		133455.12353472013	VTA1	0.0	862.0		0.1972157772621809	0.1743119266055046	3.376009982261033	1.991110640183212	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.18	Patient23	0	0	0	21	22	12	0	55	0	1159		47454.70232959448		21.0		52119.5274496178		53498.15672269605	VTA1	0.0	581.0		0.0946643717728055	0.2941176470588235	4.187603799204068	2.796738721259433	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.21	Patient14	0	0	0	197	197	217	0	611	0	1708		357728.337236534		2.0		280207.1346375144		283911.87846636825	VTA1	0.0	1194.0		0.5117252931323283	-0.0483091787439613	1.2068968401256912	0.642454633795173	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
