#readname	haplotype
Sample40_m88888_240731_163529_s1/214106206/ccs/4934_8083	H2
Sample40_m88888_240731_163529_s1/30474788/ccs/5708_7759	H1
Sample40_m88888_240731_163529_s1/104337645/ccs/3288_5337	H2
Sample40_m88888_240731_163529_s1/12193915/ccs/10171_12212	H1
Sample40_m88888_240731_163529_s1/80874568/ccs/69_2092	H2
Sample40_m88888_240731_163529_s1/10622324/ccs/5884_7892	none
Sample40_m88888_240731_163529_s1/122951077/ccs/7666_9659	H2
Sample40_m88888_240731_163529_s1/171181954/ccs/4250_6196	H2
Sample40_m88888_240726_010724_s1/263062127/ccs/1741_3659	none
Sample40_m88888_240731_163529_s1/222235585/ccs/5883_7933	H1
Sample40_m88888_240731_163529_s1/92670633/ccs/14474_16493	H1
Sample40_m88888_240731_163529_s1/104468305/ccs/4558_6543	H1
Sample40_m88888_240731_163529_s1/82641872/ccs/13411_15390	H1
Sample40_m88888_240731_163529_s1/32639707/ccs/7376_9341	H1
Sample40_m88888_240731_163529_s1/193271313/ccs/5044_7000	H2
Sample40_m88888_240731_163529_s1/43520766/ccs/70_2034	H1
Sample40_m88888_240731_163529_s1/104399785/ccs/11438_13402	none
Sample40_m88888_240731_163529_s1/168036421/ccs/12771_14735	H1
Sample40_m88888_240731_163529_s1/266147354/ccs/41_2004	H1
Sample40_m88888_240731_163529_s1/228987899/ccs/1254_3217	H2
Sample40_m88888_240731_163529_s1/55252746/ccs/8150_10112	H1
Sample40_m88888_240731_163529_s1/153878655/ccs/12748_14711	none
Sample40_m88888_240731_163529_s1/32640851/ccs/4207_6166	none
Sample40_m88888_240731_163529_s1/196810124/ccs/6214_8174	H1
Sample40_m88888_240731_163529_s1/261033071/ccs/7879_9841	none
Sample40_m88888_240731_163529_s1/97059074/ccs/6001_7962	H2
Sample40_m88888_240731_163529_s1/187237625/ccs/13714_15675	none
Sample40_m88888_240731_163529_s1/131927117/ccs/6220_8183	H1
Sample40_m88888_240731_163529_s1/239539953/ccs/12858_14818	H2
Sample40_m88888_240731_163529_s1/170986913/ccs/6940_8899	H1
Sample40_m88888_240731_163529_s1/38672094/ccs/69_2029	none
Sample40_m88888_240731_163529_s1/96471722/ccs/69_2027	H2
Sample40_m88888_240731_163529_s1/251399504/ccs/7077_9037	none
Sample40_m88888_240731_163529_s1/53742992/ccs/1559_3519	H1
Sample40_m88888_240731_163529_s1/216664570/ccs/2100_4058	H2
Sample40_m88888_240731_163529_s1/224397166/ccs/13828_15785	H1
Sample40_m88888_240726_010724_s1/132318110/ccs/5180_7138	H2
Sample40_m88888_240731_163529_s1/108988481/ccs/1732_3690	H1
Sample40_m88888_240731_163529_s1/146540565/ccs/68_2026	H1
Sample40_m88888_240731_163529_s1/99617076/ccs/12518_14475	none
Sample40_m88888_240731_163529_s1/10095026/ccs/3788_5745	none
Sample40_m88888_240726_010724_s1/125179469/ccs/10511_12467	H2
Sample40_m88888_240731_163529_s1/28773530/ccs/69_2026	H2
Sample40_m88888_240731_163529_s1/246289091/ccs/7106_9060	none
Sample40_m88888_240726_010724_s1/155520563/ccs/9992_11950	H1
Sample40_m88888_240731_163529_s1/67308817/ccs/41_1994	H1
Sample40_m88888_240731_163529_s1/35000302/ccs/3411_5366	H1
Sample40_m88888_240731_163529_s1/222301857/ccs/8409_10363	none
Sample40_m88888_240731_163529_s1/96931928/ccs/7052_9006	H2
Sample40_m88888_240731_163529_s1/73206556/ccs/8355_10310	H2
Sample40_m88888_240731_163529_s1/56366488/ccs/2798_4755	H2
Sample40_m88888_240731_163529_s1/26546728/ccs/4780_6733	H2
Sample40_m88888_240731_163529_s1/115347395/ccs/69_2022	H1
Sample40_m88888_240731_163529_s1/158928941/ccs/6313_8267	none
Sample40_m88888_240731_163529_s1/116392517/ccs/14559_16516	none
Sample40_m88888_240731_163529_s1/187695815/ccs/8534_10486	H2
Sample40_m88888_240731_163529_s1/6623291/ccs/9730_11683	none
Sample40_m88888_240731_163529_s1/96536994/ccs/10440_12393	H2
Sample40_m88888_240731_163529_s1/180291322/ccs/7908_9860	H1
Sample40_m88888_240731_163529_s1/21630607/ccs/8730_10684	none
