#readname	haplotype
Sample12_m88888_231120_235038_s1/238029802/ccs/3901_5932	H2
Sample12_m88888_231117_223025_s4/248054309/ccs/4289_6289	H2
Sample12_m88888_231117_223025_s4/239600961/ccs/15455_17445	H2
Sample12_m88888_231120_235038_s1/86443835/ccs/12955_14941	H1
Sample12_m88888_231120_235038_s1/68818325/ccs/2075_4030	H1
Sample12_m88888_231120_235038_s1/200868220/ccs/67_2190	H1
Sample12_m88888_231117_223025_s4/243406435/ccs/17656_19746	none
Sample12_m88888_231117_223025_s4/109711269/ccs/39_2059	none
Sample12_m88888_231117_223025_s4/249628645/ccs/5297_7311	H1
Sample12_m88888_231117_223025_s4/62919323/ccs/15317_17294	H1
Sample12_m88888_231120_235038_s1/110760139/ccs/11893_13870	none
Sample12_m88888_231117_223025_s4/79368755/ccs/13734_15710	none
Sample12_m88888_231120_235038_s1/114627393/ccs/5284_7263	none
Sample12_m88888_231120_235038_s1/131401055/ccs/39_2016	H1
Sample12_m88888_231117_223025_s4/148508142/ccs/9718_11683	H2
Sample12_m88888_231117_223025_s4/91623596/ccs/4527_6491	H1
Sample12_m88888_231120_235038_s1/102240278/ccs/1677_3645	none
Sample12_m88888_231120_235038_s1/150278420/ccs/11178_13145	H1
Sample12_m88888_231117_223025_s4/92603548/ccs/7125_9093	H2
Sample12_m88888_231117_223025_s4/237180167/ccs/7390_9354	H2
Sample12_m88888_231120_235038_s1/66524073/ccs/20154_22120	H1
Sample12_m88888_231120_235038_s1/31135462/ccs/6532_8497	H2
Sample12_m88888_231117_223025_s4/220009723/ccs/15605_17568	H2
Sample12_m88888_231120_235038_s1/94572079/ccs/16672_18635	H2
Sample12_m88888_231120_235038_s1/32703143/ccs/1321_3280	H1
Sample12_m88888_231120_235038_s1/224072943/ccs/16328_18293	none
Sample12_m88888_231120_235038_s1/20188292/ccs/6417_8378	H1
Sample12_m88888_231120_235038_s1/229116875/ccs/67_2028	H1
Sample12_m88888_231120_235038_s1/232457380/ccs/67_2028	H2
Sample12_m88888_231120_235038_s1/170853535/ccs/7029_8988	H2
Sample12_m88888_231120_235038_s1/250615299/ccs/11332_13292	none
Sample12_m88888_231120_235038_s1/84148492/ccs/9240_11201	H1
Sample12_m88888_231120_235038_s1/164629615/ccs/39_2000	H2
Sample12_m88888_231120_235038_s1/160763025/ccs/8547_10505	H2
Sample12_m88888_231117_223025_s4/77795585/ccs/14051_16011	H1
Sample12_m88888_231120_235038_s1/14747061/ccs/6447_8407	H1
Sample12_m88888_231117_223025_s4/114430931/ccs/12848_14808	H1
Sample12_m88888_231120_235038_s1/168362966/ccs/6185_8144	H1
Sample12_m88888_231117_223025_s4/7541505/ccs/11706_13663	none
