#readname	haplotype
Sample2_m84036_230519_205749_s1/209191727/ccs/10945_14610	H2
Sample2_m84036_230519_205749_s1/21894345/ccs/38_3681	H1
Sample2_m84036_230519_205749_s1/173543485/ccs/4218_7838	H1
Sample2_m84036_230519_205749_s1/114753727/ccs/10753_13929	H2
Sample2_m84036_230519_205749_s1/152440497/ccs/15516_18667	H2
Sample2_m84036_230519_205749_s1/142477776/ccs/16038_18069	none
Sample2_m84036_230519_205749_s1/71634222/ccs/2627_4655	none
Sample2_m84036_230519_205749_s1/146083076/ccs/38_2045	H2
Sample2_m84036_230519_205749_s1/54529183/ccs/20822_22834	H1
Sample2_m84036_230519_205749_s1/69862232/ccs/7888_9894	H2
Sample2_m84036_230519_205749_s1/26480415/ccs/15605_17545	none
Sample2_m84036_230519_205749_s1/224269810/ccs/13888_15815	none
Sample2_m84036_230519_205749_s1/247336330/ccs/39_1955	H1
Sample2_m84036_230519_205749_s1/96734890/ccs/6654_8567	H2
Sample2_m84036_230519_205749_s1/137369298/ccs/70_1974	none
Sample2_m84036_230519_205749_s1/106104189/ccs/38_2125	H2
Sample2_m84036_230519_205749_s1/10814947/ccs/8986_11068	H2
Sample2_m84036_230519_205749_s1/19597150/ccs/12537_14566	none
Sample2_m84036_230519_205749_s1/55446998/ccs/8699_10731	H1
Sample2_m84036_230519_205749_s1/235537803/ccs/3764_5794	H1
Sample2_m84036_230519_205749_s1/263850084/ccs/17770_19745	H2
Sample2_m84036_230519_205749_s1/136713376/ccs/11467_13434	H1
Sample2_m84036_230519_205749_s1/223215666/ccs/6390_8357	H1
Sample2_m84036_230519_205749_s1/73728648/ccs/18471_20438	H2
Sample2_m84036_230519_205749_s1/247267478/ccs/17005_18971	H1
Sample2_m84036_230519_205749_s1/119212858/ccs/6101_8065	none
Sample2_m84036_230519_205749_s1/75698388/ccs/9494_11458	none
Sample2_m84036_230519_205749_s1/7013663/ccs/7152_9118	none
Sample2_m84036_230519_205749_s1/154276862/ccs/11628_13591	H1
Sample2_m84036_230519_205749_s1/112853678/ccs/11417_13376	none
Sample2_m84036_230519_205749_s1/5575344/ccs/38_1999	H2
Sample2_m84036_230519_205749_s1/79827021/ccs/15659_17617	none
Sample2_m84036_230519_205749_s1/79040460/ccs/12933_14895	H2
Sample2_m84036_230519_205749_s1/42142698/ccs/14677_16636	H2
Sample2_m84036_230519_205749_s1/130684466/ccs/9933_11891	none
Sample2_m84036_230519_205749_s1/242877961/ccs/8357_10317	H1
Sample2_m84036_230519_205749_s1/212011462/ccs/9362_11322	none
Sample2_m84036_230519_205749_s1/132518162/ccs/3150_5110	none
Sample2_m84036_230519_205749_s1/8716679/ccs/2016_3975	none
Sample2_m84036_230519_205749_s1/68293774/ccs/8086_10044	H1
Sample2_m84036_230519_205749_s1/138876808/ccs/38_1995	none
Sample2_m84036_230519_205749_s1/25298349/ccs/16934_18890	H2
Sample2_m84036_230519_205749_s1/131140771/ccs/10757_12714	none
Sample2_m84036_230519_205749_s1/234687773/ccs/7139_9090	H2
Sample2_m84036_230519_205749_s1/54202948/ccs/38_1996	none
Sample2_m84036_230519_205749_s1/35067133/ccs/20392_22354	H2
Sample2_m84036_230519_205749_s1/90508378/ccs/2654_4607	H2
Sample2_m84036_230519_205749_s1/126948210/ccs/16623_18577	H2
Sample2_m84036_230519_205749_s1/72617795/ccs/5772_7727	H1
Sample2_m84036_230519_205749_s1/225838319/ccs/6607_8562	H2
Sample2_m84036_230519_205749_s1/73270553/ccs/12295_14249	none
Sample2_m84036_230519_205749_s1/78975072/ccs/10987_12940	none
Sample2_m84036_230519_205749_s1/69997673/ccs/69_2022	H2
Sample2_m84036_230519_205749_s1/87299655/ccs/69_2020	H1
Sample2_m84036_230519_205749_s1/264178211/ccs/14971_16923	H1
Sample2_m84036_230519_205749_s1/145691927/ccs/7491_9446	none
Sample2_m84036_230519_205749_s1/192481472/ccs/38_1991	H2
Sample2_m84036_230519_205749_s1/67767280/ccs/69_2020	H1
Sample2_m84036_230519_205749_s1/220466583/ccs/12847_14799	H1
Sample2_m84036_230519_205749_s1/40698542/ccs/10229_12181	H2
Sample2_m84036_230519_205749_s1/183046685/ccs/16491_18448	H2
Sample2_m84036_230519_205749_s1/226824193/ccs/15643_17595	H1
Sample2_m84036_230519_205749_s1/154144658/ccs/16160_18110	none
Sample2_m84036_230519_205749_s1/241895329/ccs/11257_13213	none
Sample2_m84036_230519_205749_s1/222036955/ccs/4910_6859	H2
Sample2_m84036_230519_205749_s1/138612629/ccs/6186_8134	H1
Sample2_m84036_230519_205749_s1/39325128/ccs/6977_8925	H2
Sample2_m84036_230519_205749_s1/119344193/ccs/69_2017	H1
Sample2_m84036_230519_205749_s1/190057585/ccs/17565_19514	H2
Sample2_m84036_230519_205749_s1/213716151/ccs/10568_12510	H1
Sample2_m84036_230519_205749_s1/246680539/ccs/2570_4522	H1
Sample2_m84036_230519_205749_s1/244451826/ccs/2010_3962	none
Sample2_m84036_230519_205749_s1/13307860/ccs/12076_14025	none
Sample2_m84036_230519_205749_s1/57084052/ccs/12942_14889	H2
Sample2_m84036_230519_205749_s1/24118238/ccs/70_2018	H2
Sample2_m84036_230519_205749_s1/6424501/ccs/6158_8106	H1
Sample2_m84036_230519_205749_s1/61804390/ccs/17829_19780	H1
Sample2_m84036_230519_205749_s1/81463647/ccs/6040_7982	H2
Sample2_m84036_230519_205749_s1/62459476/ccs/6111_8059	none
Sample2_m84036_230519_205749_s1/62396298/ccs/4398_6346	none
Sample2_m84036_230519_205749_s1/133633297/ccs/13177_15125	none
Sample2_m84036_230519_205749_s1/234952533/ccs/1585_3531	H1
Sample2_m84036_230519_205749_s1/241438599/ccs/15277_17225	H2
Sample2_m84036_230519_205749_s1/94179634/ccs/38_1985	H2
Sample2_m84036_230519_205749_s1/264045913/ccs/1967_3915	H2
Sample2_m84036_230519_205749_s1/265293270/ccs/38_1986	H1
Sample2_m84036_230519_205749_s1/109450782/ccs/8844_10791	H2
Sample2_m84036_230519_205749_s1/79823045/ccs/13595_15541	none
Sample2_m84036_230519_205749_s1/163710554/ccs/9683_11631	H2
Sample2_m84036_230519_205749_s1/17566021/ccs/13657_15604	none
Sample2_m84036_230519_205749_s1/63379247/ccs/18236_20184	H2
Sample2_m84036_230519_205749_s1/126487637/ccs/39_1988	none
Sample2_m84036_230519_205749_s1/249893658/ccs/1810_3759	H1
Sample2_m84036_230519_205749_s1/69075947/ccs/10787_12735	none
Sample2_m84036_230519_205749_s1/259130300/ccs/8407_10355	H2
Sample2_m84036_230519_205749_s1/114562494/ccs/12045_13992	none
Sample2_m84036_230519_205749_s1/187762590/ccs/2997_4942	H2
Sample2_m84036_230519_205749_s1/257103106/ccs/13831_15777	H1
Sample2_m84036_230519_205749_s1/225315793/ccs/10221_12167	H1
Sample2_m84036_230519_205749_s1/89916472/ccs/69_2017	H2
Sample2_m84036_230519_205749_s1/208081893/ccs/8546_10492	none
Sample2_m84036_230519_205749_s1/62786009/ccs/5522_7468	H1
Sample2_m84036_230519_205749_s1/68618699/ccs/38_1980	H1
Sample2_m84036_230519_205749_s1/147654123/ccs/10453_12399	none
Sample2_m84036_230519_205749_s1/74779481/ccs/69_2016	H2
Sample2_m84036_230519_205749_s1/204671394/ccs/4091_6039	H2
Sample2_m84036_230519_205749_s1/139856588/ccs/4019_5965	none
Sample2_m84036_230519_205749_s1/186910995/ccs/38_1984	H2
Sample2_m84036_230519_205749_s1/147329535/ccs/8637_10582	none
Sample2_m84036_230519_205749_s1/203691690/ccs/38_1979	none
Sample2_m84036_230519_205749_s1/157813841/ccs/10319_12264	H2
Sample2_m84036_230519_205749_s1/117577482/ccs/13616_15560	H1
Sample2_m84036_230519_205749_s1/218437393/ccs/14534_16479	H1
Sample2_m84036_230519_205749_s1/96863817/ccs/6816_8761	H2
Sample2_m84036_230519_205749_s1/129569624/ccs/11540_13484	H1
Sample2_m84036_230519_205749_s1/221840071/ccs/2780_4723	H2
Sample2_m84036_230519_205749_s1/41091553/ccs/5099_7043	H1
Sample2_m84036_230519_205749_s1/170465096/ccs/16592_18535	none
Sample2_m84036_230519_205749_s1/44041997/ccs/17347_19289	H2
Sample2_m84036_230519_205749_s1/152309992/ccs/1999_3944	H2
Sample2_m84036_230519_205749_s1/61214908/ccs/6317_8263	none
Sample2_m84036_230519_205749_s1/21628243/ccs/19992_21935	H1
Sample2_m84036_230519_205749_s1/179835099/ccs/12186_14128	H1
Sample2_m84036_230519_205749_s1/243730142/ccs/15648_17591	none
Sample2_m84036_230519_205749_s1/31918935/ccs/9825_11765	none
Sample2_m84036_230519_205749_s1/180032996/ccs/4771_6713	none
Sample2_m84036_230519_205749_s1/35392212/ccs/13147_15076	none
Sample2_m84036_230519_205749_s1/162204692/ccs/38_1983	H1
Sample2_m84036_230519_205749_s1/75564724/ccs/69_2011	H1
Sample2_m84036_230519_205749_s1/257560815/ccs/38_1982	H1
Sample2_m84036_230519_205749_s1/26348876/ccs/15459_17399	H1
Sample2_m84036_230519_205749_s1/60362594/ccs/15711_17657	none
Sample2_m84036_230519_205749_s1/42797703/ccs/15192_17131	none
Sample2_m84036_230519_205749_s1/232592608/ccs/14034_15975	none
Sample2_m84036_230519_205749_s1/184618747/ccs/9978_11922	none
Sample2_m84036_230519_205749_s1/96343614/ccs/9839_11780	none
Sample2_m84036_230519_205749_s1/60621209/ccs/18835_20776	H2
Sample2_m84036_230519_205749_s1/262735478/ccs/11059_13001	H1
Sample2_m84036_230519_205749_s1/127010622/ccs/15475_17414	H2
Sample2_m84036_230519_205749_s1/135790990/ccs/69_2012	none
Sample2_m84036_230519_205749_s1/96932611/ccs/4623_6565	H2
Sample2_m84036_230519_205749_s1/263459819/ccs/71_2009	H1
Sample2_m84036_230519_205749_s1/71631408/ccs/4362_6304	none
Sample2_m84036_230519_205749_s1/246616832/ccs/19646_21585	H2
Sample2_m84036_230519_205749_s1/59313826/ccs/18226_20168	none
