#readname	haplotype
Sample49_m88888_240731_183507_s2/123999466/ccs/8061_10112	H1
Sample49_m88888_240731_183507_s2/50005184/ccs/8801_10839	none
Sample49_m88888_240731_183507_s2/244518533/ccs/9882_11913	H1
Sample49_m88888_240731_183507_s2/121836294/ccs/10900_12916	H2
Sample49_m88888_240731_183507_s2/36504715/ccs/14932_16941	H1
Sample49_m88888_240731_183507_s2/158532229/ccs/15506_17497	H2
Sample49_m88888_240731_183507_s2/182651741/ccs/69_2064	H2
Sample49_m88888_240731_183507_s2/60951184/ccs/1766_3747	H1
Sample49_m88888_240731_183507_s2/266471532/ccs/68_2040	none
Sample49_m88888_240731_183507_s2/117968151/ccs/69_2026	H1
Sample49_m88888_240731_183507_s2/161616603/ccs/6126_8068	H1
Sample49_m88888_240731_183507_s2/182781106/ccs/5568_7577	none
Sample49_m88888_240731_183507_s2/245435234/ccs/3524_5511	none
Sample49_m88888_240731_183507_s2/175837883/ccs/1822_3805	H1
Sample49_m88888_240731_183507_s2/101318925/ccs/13877_15854	none
Sample49_m88888_240731_183507_s2/21761235/ccs/4928_6907	H1
Sample49_m88888_240731_183507_s2/110432567/ccs/4092_6063	H1
Sample49_m88888_240731_183507_s2/78711261/ccs/5539_7504	none
Sample49_m88888_240731_183507_s2/257427656/ccs/3398_5363	H1
Sample49_m88888_240731_183507_s2/54924350/ccs/12402_14372	H2
Sample49_m88888_240731_183507_s2/252447528/ccs/8917_10885	H1
Sample49_m88888_240731_183507_s2/211162325/ccs/13918_15879	none
Sample49_m88888_240731_183507_s2/66914578/ccs/15784_17752	H2
Sample49_m88888_240731_183507_s2/70910648/ccs/1845_3810	none
Sample49_m88888_240731_183507_s2/256181513/ccs/7487_9455	none
Sample49_m88888_240731_183507_s2/70255496/ccs/15944_17910	H2
Sample49_m88888_240731_183507_s2/81597591/ccs/9785_11750	H1
Sample49_m88888_240731_183507_s2/172823542/ccs/17638_19602	H1
Sample49_m88888_240731_183507_s2/233834527/ccs/41_2005	none
Sample49_m88888_240731_183507_s2/243078698/ccs/19771_21737	H1
Sample49_m88888_240731_183507_s2/76090447/ccs/8144_10107	H2
Sample49_m88888_240731_183507_s2/252318359/ccs/12750_14717	H1
Sample49_m88888_240731_183507_s2/242221262/ccs/9978_11940	none
Sample49_m88888_240731_183507_s2/130681843/ccs/7488_9448	H1
Sample49_m88888_240726_030711_s2/134287091/ccs/14324_16286	H2
Sample49_m88888_240731_183507_s2/106234468/ccs/4692_6653	H2
Sample49_m88888_240731_183507_s2/22549700/ccs/11996_13959	none
Sample49_m88888_240731_183507_s2/15338752/ccs/1332_3288	H1
Sample49_m88888_240731_183507_s2/96012071/ccs/11534_13495	H2
Sample49_m88888_240731_183507_s2/25429692/ccs/15210_17173	H1
Sample49_m88888_240731_183507_s2/130877026/ccs/2525_4485	H1
Sample49_m88888_240731_183507_s2/249366136/ccs/69_2030	none
Sample49_m88888_240731_183507_s2/155452264/ccs/9559_11517	none
Sample49_m88888_240731_183507_s2/178717555/ccs/4911_6870	none
Sample49_m88888_240731_183507_s2/174789357/ccs/5323_7283	H2
Sample49_m88888_240731_183507_s2/51512086/ccs/41_2003	H2
Sample49_m88888_240731_183507_s2/200546125/ccs/5371_7331	H2
Sample49_m88888_240731_183507_s2/140708698/ccs/21688_23648	H2
Sample49_m88888_240731_183507_s2/259067062/ccs/9598_11557	H2
Sample49_m88888_240731_183507_s2/218957891/ccs/41_2000	none
Sample49_m88888_240731_183507_s2/77269776/ccs/4648_6608	none
Sample49_m88888_240731_183507_s2/81921843/ccs/10225_12185	H2
Sample49_m88888_240731_183507_s2/263918147/ccs/69_2027	none
Sample49_m88888_240731_183507_s2/49283814/ccs/10724_12685	H2
Sample49_m88888_240731_183507_s2/106894796/ccs/15678_17635	none
Sample49_m88888_240731_183507_s2/67899858/ccs/11196_13153	none
Sample49_m88888_240731_183507_s2/84214181/ccs/13563_15520	H1
Sample49_m88888_240731_183507_s2/232396531/ccs/5400_7359	none
Sample49_m88888_240731_183507_s2/113448369/ccs/4702_6661	H1
Sample49_m88888_240731_183507_s2/202313609/ccs/8174_10133	none
Sample49_m88888_240731_183507_s2/115608966/ccs/3150_5108	H2
Sample49_m88888_240731_183507_s2/80350669/ccs/41_1999	H2
Sample49_m88888_240731_183507_s2/139070359/ccs/41_2000	H2
Sample49_m88888_240731_183507_s2/265094066/ccs/7314_9272	H1
Sample49_m88888_240726_030711_s2/86708885/ccs/20110_22068	none
Sample49_m88888_240731_183507_s2/166597184/ccs/10117_12075	H2
Sample49_m88888_240731_183507_s2/157026955/ccs/7407_9364	H1
Sample49_m88888_240731_183507_s2/183372415/ccs/7836_9795	H1
