#readname	haplotype
Sample45_m88888_240726_010724_s1/258741845/ccs/1411_5091	H2
Sample45_m88888_240731_163529_s1/27463596/ccs/2313_4365	none
Sample45_m88888_240731_163529_s1/137367505/ccs/13499_15537	H2
Sample45_m88888_240731_163529_s1/200545225/ccs/4744_6775	H1
Sample45_m88888_240731_163529_s1/20120912/ccs/2607_4613	H2
Sample45_m88888_240731_163529_s1/34411907/ccs/6343_8338	none
Sample45_m88888_240731_163529_s1/219678226/ccs/9211_11204	H2
Sample45_m88888_240731_163529_s1/175442934/ccs/10957_12902	none
Sample45_m88888_240731_163529_s1/80679948/ccs/11843_13766	H1
Sample45_m88888_240731_163529_s1/188813632/ccs/8616_10531	none
Sample45_m88888_240731_163529_s1/201326786/ccs/4228_6141	none
Sample45_m88888_240731_163529_s1/159253188/ccs/6788_8692	H1
Sample45_m88888_240731_163529_s1/109318469/ccs/5141_7086	H2
Sample45_m88888_240731_163529_s1/170263341/ccs/2453_4394	H1
Sample45_m88888_240731_163529_s1/221974657/ccs/5497_7514	H1
Sample45_m88888_240726_010724_s1/235738381/ccs/10582_12586	H1
Sample45_m88888_240731_163529_s1/144245870/ccs/1989_3996	none
Sample45_m88888_240731_163529_s1/188421360/ccs/12980_14958	none
Sample45_m88888_240731_163529_s1/3674976/ccs/3354_5333	H2
Sample45_m88888_240731_163529_s1/22742226/ccs/11617_13583	H1
Sample45_m88888_240731_163529_s1/214374148/ccs/9842_11807	none
Sample45_m88888_240731_163529_s1/123998331/ccs/5537_7503	H2
Sample45_m88888_240731_163529_s1/160108988/ccs/4712_6680	H1
Sample45_m88888_240726_010724_s1/39851815/ccs/1996_3961	none
Sample45_m88888_240731_163529_s1/201264541/ccs/10903_12868	H1
Sample45_m88888_240731_163529_s1/96933555/ccs/68_2034	H1
Sample45_m88888_240731_163529_s1/116329098/ccs/13597_15562	H2
Sample45_m88888_240731_163529_s1/146741071/ccs/11789_13756	H2
Sample45_m88888_240731_163529_s1/213059862/ccs/1042_3006	H2
Sample45_m88888_240731_163529_s1/207751882/ccs/13795_15761	H2
Sample45_m88888_240731_163529_s1/176557218/ccs/14458_16423	none
Sample45_m88888_240731_163529_s1/151915644/ccs/8274_10235	H1
Sample45_m88888_240731_163529_s1/173016715/ccs/5970_7933	none
Sample45_m88888_240731_163529_s1/188679636/ccs/3724_5686	H2
Sample45_m88888_240731_163529_s1/184620881/ccs/1895_3857	none
Sample45_m88888_240731_163529_s1/69140753/ccs/4289_6246	H2
Sample45_m88888_240731_163529_s1/207159351/ccs/2061_4019	none
Sample45_m88888_240731_163529_s1/55249949/ccs/5618_7575	H2
Sample45_m88888_240731_163529_s1/20058880/ccs/5595_7554	H2
Sample45_m88888_240731_163529_s1/190845406/ccs/41_2000	H2
Sample45_m88888_240731_163529_s1/234291658/ccs/4658_6616	H2
Sample45_m88888_240731_163529_s1/78446648/ccs/7968_9927	none
Sample45_m88888_240731_163529_s1/59445496/ccs/17791_19746	H2
Sample45_m88888_240731_163529_s1/98899148/ccs/8425_10386	none
Sample45_m88888_240731_163529_s1/96274562/ccs/4905_6864	H1
Sample45_m88888_240731_163529_s1/209912147/ccs/10327_12283	none
Sample45_m88888_240731_163529_s1/140646124/ccs/10324_12281	none
Sample45_m88888_240731_163529_s1/33621351/ccs/8055_10014	H1
Sample45_m88888_240731_163529_s1/165155120/ccs/6721_8680	none
Sample45_m88888_240731_163529_s1/158665571/ccs/4536_6494	H1
Sample45_m88888_240731_163529_s1/114100937/ccs/11503_13462	none
Sample45_m88888_240731_163529_s1/36570979/ccs/70_2028	H2
Sample45_m88888_240731_163529_s1/230364654/ccs/12602_14560	none
Sample45_m88888_240731_163529_s1/162469602/ccs/11420_13378	H1
Sample45_m88888_240731_163529_s1/90573345/ccs/3914_5872	H2
Sample45_m88888_240731_163529_s1/161419051/ccs/1556_3513	none
Sample45_m88888_240731_163529_s1/93001570/ccs/2589_4545	H1
Sample45_m88888_240731_163529_s1/130090784/ccs/3638_5594	H2
Sample45_m88888_240731_163529_s1/247596524/ccs/758_2714	H2
Sample45_m88888_240731_163529_s1/162859116/ccs/1953_3910	H1
Sample45_m88888_240731_163529_s1/87557272/ccs/3190_5146	H2
Sample45_m88888_240731_163529_s1/213849102/ccs/41_1992	H2
Sample45_m88888_240731_163529_s1/245633744/ccs/13212_15167	none
Sample45_m88888_240731_163529_s1/79236084/ccs/11868_13824	H2
Sample45_m88888_240731_163529_s1/31919294/ccs/6836_8787	none
Sample45_m88888_240731_163529_s1/55251616/ccs/2314_4264	H2
Sample45_m88888_240731_163529_s1/183963703/ccs/6925_8883	H2
Sample45_m88888_240726_010724_s1/134677273/ccs/69_2024	H1
Sample45_m88888_240731_163529_s1/142479652/ccs/8217_10165	H1
Sample45_m88888_240731_163529_s1/183567683/ccs/1007_2962	none
Sample45_m88888_240731_163529_s1/71566563/ccs/13115_15068	none
Sample45_m88888_240731_163529_s1/25498891/ccs/69_2022	H2
Sample45_m88888_240731_163529_s1/54334442/ccs/10915_12875	H2
Sample45_m88888_240731_163529_s1/68682409/ccs/12301_14249	H1
Sample45_m88888_240731_163529_s1/228133793/ccs/6335_8288	H2
Sample45_m88888_240731_163529_s1/261556372/ccs/1676_3630	H2
Sample45_m88888_240726_010724_s1/85788537/ccs/4989_6936	none
Sample45_m88888_240731_163529_s1/130028341/ccs/11211_13163	H1
Sample45_m88888_240731_163529_s1/177079133/ccs/1690_3643	H2
Sample45_m88888_240731_163529_s1/94964511/ccs/14814_16769	none
Sample45_m88888_240731_163529_s1/77138395/ccs/41_1994	none
Sample45_m88888_240731_163529_s1/89855155/ccs/12966_14921	H1
Sample45_m88888_240731_163529_s1/170067228/ccs/1934_3887	H1
Sample45_m88888_240731_163529_s1/243074706/ccs/2835_4790	none
Sample45_m88888_240731_163529_s1/125239589/ccs/7277_9233	H1
Sample45_m88888_240731_163529_s1/164826059/ccs/1413_3364	none
Sample45_m88888_240731_163529_s1/193986874/ccs/3236_5189	H2
Sample45_m88888_240731_163529_s1/260051643/ccs/15580_17533	H2
Sample45_m88888_240731_163529_s1/25037197/ccs/2809_4763	none
Sample45_m88888_240731_163529_s1/171050883/ccs/13727_15678	H2
Sample45_m88888_240731_163529_s1/100466912/ccs/6975_8927	H2
Sample45_m88888_240726_010724_s1/55842160/ccs/14127_16076	H2
Sample45_m88888_240731_163529_s1/96540578/ccs/1791_3740	H1
Sample45_m88888_240731_163529_s1/24970477/ccs/972_2922	H1
Sample45_m88888_240731_163529_s1/254215868/ccs/869_2817	none
Sample45_m88888_240731_163529_s1/185013220/ccs/12850_14801	H1
Sample45_m88888_240726_010724_s1/258020347/ccs/12553_14506	H2
Sample45_m88888_240731_163529_s1/107152026/ccs/2306_4252	none
Sample45_m88888_240731_163529_s1/137101624/ccs/1620_3571	H1
