#readname	haplotype
Sample15_m88888_240416_224744_s4/142411459/ccs/2125_5772	none
Sample15_m88888_240416_224744_s4/68292103/ccs/41_3682	H1
Sample15_m88888_240416_224744_s4/95425000/ccs/5850_9490	none
Sample15_m88888_240422_220151_s3/114821761/ccs/15140_18766	none
Sample15_m88888_240416_224744_s4/171576098/ccs/7049_10660	H1
Sample15_m88888_240422_220151_s3/66128091/ccs/7607_10739	none
Sample15_m88888_240422_220151_s3/112197726/ccs/5573_8702	H1
Sample15_m88888_240416_224744_s4/149231517/ccs/2494_4494	H1
Sample15_m88888_240416_224744_s4/181736727/ccs/69_2046	none
Sample15_m88888_240416_224744_s4/156894583/ccs/7960_9921	H1
Sample15_m88888_240416_224744_s4/28181289/ccs/8647_10608	H2
Sample15_m88888_240422_220151_s3/181995630/ccs/2275_4235	H2
Sample15_m88888_240422_220151_s3/106104184/ccs/11241_13195	none
Sample15_m88888_240416_224744_s4/188351054/ccs/7946_9905	H1
Sample15_m88888_240416_224744_s4/251596531/ccs/15065_17022	H2
Sample15_m88888_240422_220151_s3/166854724/ccs/41_2000	H2
Sample15_m88888_240416_224744_s4/88740527/ccs/14360_16320	H1
Sample15_m88888_240422_220151_s3/228856962/ccs/9947_11906	H2
Sample15_m88888_240416_224744_s4/62852778/ccs/1996_3953	H2
Sample15_m88888_240422_220151_s3/143394044/ccs/4039_5998	H2
Sample15_m88888_240416_224744_s4/195627910/ccs/2730_4689	H2
Sample15_m88888_240422_220151_s3/84871388/ccs/4180_6139	H1
Sample15_m88888_240422_220151_s3/79958283/ccs/4140_6097	H1
Sample15_m88888_240422_220151_s3/263654541/ccs/41_1998	H1
Sample15_m88888_240422_220151_s3/78910027/ccs/11005_12962	H2
Sample15_m88888_240422_220151_s3/252514111/ccs/41_1998	H1
Sample15_m88888_240416_224744_s4/107808428/ccs/1873_3831	none
Sample15_m88888_240422_220151_s3/129502855/ccs/15089_17045	H2
Sample15_m88888_240422_220151_s3/21826827/ccs/7840_9790	H2
Sample15_m88888_240422_220151_s3/43192690/ccs/2533_4491	H1
Sample15_m88888_240416_224744_s4/205784547/ccs/16954_18910	H2
Sample15_m88888_240416_224744_s4/231933580/ccs/8778_10735	H2
Sample15_m88888_240422_220151_s3/179966191/ccs/10518_12473	none
Sample15_m88888_240416_224744_s4/57148210/ccs/7833_9787	H2
Sample15_m88888_240416_224744_s4/118363150/ccs/12169_14127	H1
Sample15_m88888_240422_220151_s3/79958283/ccs/2066_4020	none
Sample15_m88888_240422_220151_s3/251988153/ccs/12351_14305	none
Sample15_m88888_240416_224744_s4/221187289/ccs/12334_14290	none
Sample15_m88888_240416_224744_s4/177996447/ccs/41_1993	H2
