#readname	haplotype
Sample19_m88888_240324_145021_s1/124847608/ccs/8920_12592	none
Sample19_m88888_240324_145021_s1/109318247/ccs/16807_20480	H1
Sample19_m88888_240324_145021_s1/145557311/ccs/12576_16234	H2
Sample19_m88888_240324_145021_s1/13833665/ccs/9859_13517	none
Sample19_m88888_240324_145021_s1/133957644/ccs/12892_16540	none
Sample19_m88888_240324_145021_s1/149296997/ccs/7799_11443	H2
Sample19_m88888_240324_145021_s1/202113441/ccs/3685_7328	H1
Sample19_m88888_240324_145021_s1/259523189/ccs/6142_9783	H1
Sample19_m88888_240324_145021_s1/66127339/ccs/13929_17568	H1
Sample19_m88888_240324_145021_s1/43716855/ccs/1072_4710	none
Sample19_m88888_240324_145021_s1/27989412/ccs/2820_6457	none
Sample19_m88888_240324_145021_s1/221123781/ccs/7483_10663	H2
Sample19_m88888_240324_145021_s1/77464905/ccs/15533_18709	H1
Sample19_m88888_240324_145021_s1/258871586/ccs/19356_22503	H2
Sample19_m88888_240324_145021_s1/161944946/ccs/14955_18098	H2
Sample19_m88888_240324_145021_s1/251791900/ccs/12804_15929	H2
Sample19_m88888_240324_145021_s1/199822697/ccs/17846_20972	none
Sample19_m88888_240324_145021_s1/82054880/ccs/68_2123	none
Sample19_m88888_240324_145021_s1/14881934/ccs/41_2084	H2
Sample19_m88888_240324_145021_s1/231739257/ccs/16161_18200	H2
Sample19_m88888_240324_145021_s1/128385833/ccs/17981_20012	H1
Sample19_m88888_240324_145021_s1/9571922/ccs/13374_15363	H2
Sample19_m88888_240324_145021_s1/38404485/ccs/69_2058	H1
Sample19_m88888_240324_145021_s1/128649645/ccs/5894_7835	none
Sample19_m88888_240324_145021_s1/205325888/ccs/14876_16823	H1
Sample19_m88888_240324_145021_s1/232850849/ccs/14037_16082	H1
Sample19_m88888_240324_145021_s1/11010624/ccs/15977_17995	H1
Sample19_m88888_240324_145021_s1/135730018/ccs/3885_5887	none
Sample19_m88888_240324_145021_s1/201922270/ccs/6151_8143	H2
Sample19_m88888_240324_145021_s1/33295866/ccs/41_2026	none
Sample19_m88888_240324_145021_s1/244913750/ccs/10542_12523	H2
Sample19_m88888_240324_145021_s1/20648559/ccs/4742_6725	none
Sample19_m88888_240324_145021_s1/245502352/ccs/16552_18533	none
Sample19_m88888_240324_145021_s1/49939961/ccs/3166_5132	H1
Sample19_m88888_240324_145021_s1/85465002/ccs/15301_17265	none
Sample19_m88888_240324_145021_s1/155388589/ccs/69_2032	H1
Sample19_m88888_240324_145021_s1/159520117/ccs/11917_13880	H1
Sample19_m88888_240324_145021_s1/260443717/ccs/69_2029	H1
Sample19_m88888_240324_145021_s1/162860925/ccs/14712_16677	none
