#readname	haplotype
Sample62_m88888_240731_203429_s3/101651265/ccs/6709_10402	H1
Sample62_m88888_240731_203429_s3/48890758/ccs/11475_15151	H2
Sample62_m88888_240731_203429_s3/7538130/ccs/12726_16375	none
Sample62_m88888_240731_203429_s3/140116362/ccs/13960_17589	H2
Sample62_m88888_240731_203429_s3/109055712/ccs/16877_20464	none
Sample62_m88888_240731_203429_s3/99750734/ccs/68_3219	H2
Sample62_m88888_240731_203429_s3/72485636/ccs/15048_18188	H2
Sample62_m88888_240731_203429_s3/18025416/ccs/12680_15821	H1
Sample62_m88888_240731_203429_s3/31986738/ccs/15282_18413	H2
Sample62_m88888_240731_203429_s3/14549666/ccs/10355_13486	H2
Sample62_m88888_240731_203429_s3/114623294/ccs/11655_13637	none
Sample62_m88888_240731_203429_s3/242550458/ccs/12144_14114	H1
Sample62_m88888_240731_203429_s3/14748907/ccs/12663_14631	H1
Sample62_m88888_240731_203429_s3/153031911/ccs/4997_6962	H2
Sample62_m88888_240731_203429_s3/96208115/ccs/9523_11491	H2
Sample62_m88888_240731_203429_s3/160829990/ccs/14472_16435	none
Sample62_m88888_240731_203429_s3/73600097/ccs/12918_14877	none
Sample62_m88888_240731_203429_s3/8522211/ccs/6074_8032	none
Sample62_m88888_240731_203429_s3/130024110/ccs/2104_4061	none
Sample62_m88888_240731_203429_s3/161809240/ccs/9606_11565	none
Sample62_m88888_240731_203429_s3/218824928/ccs/69_2026	H2
Sample62_m88888_240731_203429_s3/44632655/ccs/10819_12772	H2
Sample62_m88888_240731_203429_s3/211092924/ccs/5421_7376	H2
Sample62_m88888_240731_203429_s3/139663099/ccs/6284_8239	H2
Sample62_m88888_240731_203429_s3/111482360/ccs/12352_14304	H2
Sample62_m88888_240731_203429_s3/136120408/ccs/4848_6798	H2
Sample62_m88888_240731_203429_s3/246353251/ccs/16090_18040	none
Sample62_m88888_240731_203429_s3/109252421/ccs/9781_11725	H2
Sample62_m88888_240731_203429_s3/106564311/ccs/9689_11640	H1
Sample62_m88888_240731_203429_s3/37752548/ccs/10489_12437	none
Sample62_m88888_240731_203429_s3/7998276/ccs/7186_9133	H1
Sample62_m88888_240731_203429_s3/169021173/ccs/7357_9306	H2
Sample62_m88888_240731_203429_s3/94636079/ccs/1320_3267	H2
Sample62_m88888_240731_203429_s3/176756280/ccs/9693_11640	H1
Sample62_m88888_240731_203429_s3/200019756/ccs/5684_7635	H2
Sample62_m88888_240731_203429_s3/188224456/ccs/1863_3812	H2
Sample62_m88888_240731_203429_s3/114038002/ccs/16623_18569	H1
Sample62_m88888_240731_203429_s3/245567572/ccs/41_1985	H2
Sample62_m88888_240731_203429_s3/96277054/ccs/3746_5688	H2
Sample62_m88888_240731_203429_s3/143918990/ccs/15795_17744	none
Sample62_m88888_240731_203429_s3/212928838/ccs/11202_13147	H2
Sample62_m88888_240731_203429_s3/197723595/ccs/14894_16836	H1
Sample62_m88888_240731_203429_s3/214111113/ccs/12377_14322	none
Sample62_m88888_240731_203429_s3/119476112/ccs/69_2015	H1
Sample62_m88888_240731_203429_s3/101320393/ccs/12107_14054	none
Sample62_m88888_240731_203429_s3/60820079/ccs/6115_8061	H1
Sample62_m88888_240731_203429_s3/204412643/ccs/72_2016	none
Sample62_m88888_240731_203429_s3/43848999/ccs/19143_21085	none
Sample62_m88888_240731_203429_s3/247531798/ccs/5784_7730	H2
Sample62_m88888_240731_203429_s3/116195507/ccs/7426_9370	none
Sample62_m88888_240731_203429_s3/193661259/ccs/9726_11669	H1
Sample62_m88888_240731_203429_s3/16126227/ccs/5067_7009	H1
Sample62_m88888_240731_203429_s3/202706347/ccs/5816_7756	H1
Sample62_m88888_240731_203429_s3/123736377/ccs/1109_3050	none
Sample62_m88888_240731_203429_s3/116462775/ccs/11311_13250	H1
Sample62_m88888_240731_203429_s3/175838943/ccs/17728_19662	none
Sample62_m88888_240731_203429_s3/48240479/ccs/69_2007	H2
Sample62_m88888_240731_203429_s3/155452041/ccs/1219_3156	H1
Sample62_m88888_240731_203429_s3/103288757/ccs/15638_17578	H1
Sample62_m88888_240731_203429_s3/98632620/ccs/41_1979	none
Sample62_m88888_240731_203429_s3/242291446/ccs/10142_12080	H1
Sample62_m88888_240731_203429_s3/217713054/ccs/14981_16918	H2
Sample62_m88888_240731_203429_s3/155125555/ccs/4492_6423	H1
Sample62_m88888_240731_203429_s3/106565351/ccs/4860_6792	H2
