#readname	haplotype
Sample1_m84036_230518_222043_s4/149097821/ccs/38_2077	H2
Sample1_m84036_230518_222043_s4/263849031/ccs/4545_6577	H1
Sample1_m84036_230518_222043_s4/30217632/ccs/9548_11569	none
Sample1_m84036_230518_222043_s4/189792386/ccs/9560_11556	none
Sample1_m84036_230518_222043_s4/21366537/ccs/12866_14843	H1
Sample1_m84036_230518_222043_s4/143461365/ccs/3589_5530	H1
Sample1_m84036_230518_222043_s4/154866145/ccs/15266_17182	H1
Sample1_m84036_230518_222043_s4/29035700/ccs/38_1990	H2
Sample1_m84036_230518_222043_s4/49615230/ccs/7982_9910	H2
Sample1_m84036_230518_222043_s4/104464797/ccs/1384_3359	H2
Sample1_m84036_230518_222043_s4/127537295/ccs/3561_5477	H2
Sample1_m84036_230518_222043_s4/41159889/ccs/1546_3438	H1
Sample1_m84036_230518_222043_s4/222956473/ccs/69_1978	H1
Sample1_m84036_230518_222043_s4/53282812/ccs/1965_3947	H2
Sample1_m84036_230518_222043_s4/129699207/ccs/8747_10724	H2
Sample1_m84036_230518_222043_s4/45811033/ccs/2988_4955	none
Sample1_m84036_230518_222043_s4/248054211/ccs/4087_6054	H2
Sample1_m84036_230518_222043_s4/61149661/ccs/9938_11904	none
Sample1_m84036_230518_222043_s4/203952915/ccs/1799_3766	H2
Sample1_m84036_230518_222043_s4/185142091/ccs/8282_10249	none
Sample1_m84036_230518_222043_s4/254022621/ccs/2690_4658	H2
Sample1_m84036_230518_222043_s4/244252992/ccs/884_2848	H1
Sample1_m84036_230518_222043_s4/40833642/ccs/68_2032	H2
Sample1_m84036_230518_222043_s4/63641515/ccs/16268_18233	H1
Sample1_m84036_230518_222043_s4/218237246/ccs/6760_8723	H1
Sample1_m84036_230518_222043_s4/134481233/ccs/4118_6083	none
Sample1_m84036_230518_222043_s4/69144794/ccs/3582_5546	none
Sample1_m84036_230518_222043_s4/108988886/ccs/10194_12155	H2
Sample1_m84036_230518_222043_s4/156243685/ccs/8158_10120	none
Sample1_m84036_230518_222043_s4/139660000/ccs/8447_10404	none
Sample1_m84036_230518_222043_s4/202114420/ccs/16730_18690	none
Sample1_m84036_230518_222043_s4/178589411/ccs/39_1989	H1
Sample1_m84036_230518_222043_s4/228267554/ccs/14135_16095	H2
Sample1_m84036_230518_222043_s4/33164865/ccs/5798_7756	none
Sample1_m84036_230518_222043_s4/79561025/ccs/38_1991	H1
Sample1_m84036_230518_222043_s4/141493296/ccs/2832_4793	H1
Sample1_m84036_230518_222043_s4/104270083/ccs/6861_8820	H2
Sample1_m84036_230518_222043_s4/109450373/ccs/3190_5150	H1
Sample1_m84036_230518_222043_s4/236848923/ccs/11822_13777	none
Sample1_m84036_230518_222043_s4/125572753/ccs/12750_14707	none
Sample1_m84036_230518_222043_s4/219092416/ccs/8001_9957	H2
Sample1_m84036_230518_222043_s4/146473744/ccs/14151_16110	none
Sample1_m84036_230518_222043_s4/148769897/ccs/2085_4032	H1
Sample1_m84036_230518_222043_s4/34739084/ccs/7130_9079	H2
Sample1_m84036_230518_222043_s4/51385518/ccs/2664_4610	H2
Sample1_m84036_230518_222043_s4/168299641/ccs/1291_3244	H2
Sample1_m84036_230518_222043_s4/111871041/ccs/38_1993	H2
Sample1_m84036_230518_222043_s4/177344936/ccs/2586_4542	none
Sample1_m84036_230518_222043_s4/200215319/ccs/14631_16584	H1
Sample1_m84036_230518_222043_s4/112396735/ccs/7126_9077	H2
Sample1_m84036_230518_222043_s4/93455680/ccs/1594_3550	H2
Sample1_m84036_230518_222043_s4/259525415/ccs/9471_11426	H2
Sample1_m84036_230518_222043_s4/124785426/ccs/14588_16544	H2
Sample1_m84036_230518_222043_s4/246093387/ccs/6411_8365	none
Sample1_m84036_230518_222043_s4/246683091/ccs/13782_15733	none
Sample1_m84036_230518_222043_s4/148376793/ccs/3683_5637	H2
Sample1_m84036_230518_222043_s4/30543716/ccs/4884_6829	H2
Sample1_m84036_230518_222043_s4/256640738/ccs/12611_14565	none
Sample1_m84036_230518_222043_s4/195101042/ccs/5751_7705	H1
Sample1_m84036_230518_222043_s4/99487168/ccs/38_1991	H2
Sample1_m84036_230518_222043_s4/162791879/ccs/11046_12999	none
Sample1_m84036_230518_222043_s4/123405463/ccs/4626_6586	H1
Sample1_m84036_230518_222043_s4/92017797/ccs/15768_17718	none
Sample1_m84036_230518_222043_s4/43256513/ccs/8289_10242	none
Sample1_m84036_230518_222043_s4/85201457/ccs/15415_17360	none
Sample1_m84036_230518_222043_s4/120262355/ccs/2210_4164	H1
Sample1_m84036_230518_222043_s4/154931467/ccs/12833_14787	none
Sample1_m84036_230518_222043_s4/59183104/ccs/38_1993	H1
Sample1_m84036_230518_222043_s4/96993831/ccs/2795_4734	none
Sample1_m84036_230518_222043_s4/253825551/ccs/8742_10694	none
Sample1_m84036_230518_222043_s4/159061331/ccs/14425_16369	none
Sample1_m84036_230518_222043_s4/29163679/ccs/8034_9986	H1
Sample1_m84036_230518_222043_s4/236194141/ccs/14251_16202	none
Sample1_m84036_230518_222043_s4/80220354/ccs/8739_10691	none
Sample1_m84036_230518_222043_s4/33426286/ccs/13146_15099	H2
Sample1_m84036_230518_222043_s4/106496982/ccs/6070_8019	H1
Sample1_m84036_230518_222043_s4/97649815/ccs/2429_4380	none
Sample1_m84036_230518_222043_s4/208930916/ccs/2070_4022	H2
Sample1_m84036_230518_222043_s4/84283791/ccs/3017_4963	H1
Sample1_m84036_230518_222043_s4/18617775/ccs/11954_13907	H2
Sample1_m84036_230518_222043_s4/248383171/ccs/8593_10543	none
Sample1_m84036_230518_222043_s4/162728024/ccs/1587_3536	H1
Sample1_m84036_230518_222043_s4/202184200/ccs/13658_15608	H2
Sample1_m84036_230518_222043_s4/34144964/ccs/2218_4151	H2
Sample1_m84036_230518_222043_s4/29688607/ccs/13795_15744	none
Sample1_m84036_230518_222043_s4/64095706/ccs/3102_5039	H1
Sample1_m84036_230518_222043_s4/37622548/ccs/14136_16084	H1
Sample1_m84036_230518_222043_s4/240717638/ccs/17221_19169	H1
Sample1_m84036_230518_222043_s4/232129397/ccs/2139_4080	H1
Sample1_m84036_230518_222043_s4/188811648/ccs/13560_15507	H2
Sample1_m84036_230518_222043_s4/120854071/ccs/11494_13442	none
Sample1_m84036_230518_222043_s4/112656936/ccs/6291_8239	none
Sample1_m84036_230518_222043_s4/80155604/ccs/5113_7059	none
Sample1_m84036_230518_222043_s4/49679986/ccs/5870_7816	H2
Sample1_m84036_230518_222043_s4/18876214/ccs/11758_13707	H1
Sample1_m84036_230518_222043_s4/189595986/ccs/989_2937	none
Sample1_m84036_230518_222043_s4/189596920/ccs/9691_11638	none
Sample1_m84036_230518_222043_s4/98241719/ccs/1508_3456	H2
Sample1_m84036_230518_222043_s4/248452762/ccs/13496_15444	H2
Sample1_m84036_230518_222043_s4/121375224/ccs/1641_3587	H1
