#readname	haplotype
Sample17_m88888_231114_043546_s3/262341867/ccs/14041_17791	H2
Sample17_m88888_231121_034911_s3/77926323/ccs/6479_10163	H1
Sample17_m88888_231121_054828_s4/147264824/ccs/1966_5654	H2
Sample17_m88888_231121_054828_s4/252581313/ccs/4119_7792	H2
Sample17_m88888_231114_043546_s3/49283303/ccs/1865_5540	none
Sample17_m88888_231121_034911_s3/219874094/ccs/1714_5378	none
Sample17_m88888_231121_054828_s4/148376158/ccs/2001_5643	H2
Sample17_m88888_231121_054828_s4/42866493/ccs/8978_12608	H1
Sample17_m88888_231121_034911_s3/106630997/ccs/15356_18988	H2
Sample17_m88888_231121_054828_s4/125043678/ccs/17532_21159	none
Sample17_m88888_231121_054828_s4/240714278/ccs/12917_16546	H1
Sample17_m88888_231114_043546_s3/137430733/ccs/7475_11079	none
Sample17_m88888_231114_043546_s3/195302989/ccs/39_3210	H2
Sample17_m88888_231114_043546_s3/219222466/ccs/67_3217	H1
Sample17_m88888_231114_043546_s3/155783776/ccs/5745_8897	H2
Sample17_m88888_231121_034911_s3/199822495/ccs/11783_14924	H1
Sample17_m88888_231114_043546_s3/224267985/ccs/9237_12378	H1
Sample17_m88888_231121_054828_s4/116261556/ccs/15822_18958	H2
Sample17_m88888_231121_054828_s4/6950883/ccs/20738_23870	none
Sample17_m88888_231114_043546_s3/32182144/ccs/6751_8790	H2
Sample17_m88888_231121_034911_s3/39782876/ccs/6664_8693	H2
Sample17_m88888_231121_034911_s3/59639006/ccs/4622_6648	H1
Sample17_m88888_231121_054828_s4/171968106/ccs/12627_14564	H1
Sample17_m88888_231121_034911_s3/213713794/ccs/1131_3045	H2
Sample17_m88888_231121_054828_s4/188287719/ccs/5934_7833	none
Sample17_m88888_231121_054828_s4/110171951/ccs/6507_8344	none
Sample17_m88888_231114_043546_s3/94638024/ccs/10610_12658	H2
Sample17_m88888_231114_043546_s3/43778875/ccs/12379_14360	H1
Sample17_m88888_231114_043546_s3/128910090/ccs/38_2019	H2
Sample17_m88888_231114_043546_s3/254674422/ccs/2919_4886	H1
Sample17_m88888_231121_034911_s3/257822856/ccs/19025_20992	H2
Sample17_m88888_231121_034911_s3/264833928/ccs/2289_4254	H1
Sample17_m88888_231121_054828_s4/207947887/ccs/14348_16316	none
Sample17_m88888_231121_034911_s3/47125891/ccs/67_2035	H1
Sample17_m88888_231121_034911_s3/73533553/ccs/11430_13394	H2
Sample17_m88888_231121_054828_s4/182912844/ccs/6456_8421	none
Sample17_m88888_231121_034911_s3/85655635/ccs/5330_7294	none
Sample17_m88888_231114_043546_s3/61278708/ccs/3024_4989	none
Sample17_m88888_231121_054828_s4/238949203/ccs/14762_16726	H2
Sample17_m88888_231121_034911_s3/138086809/ccs/4734_6698	H2
Sample17_m88888_231121_054828_s4/167904888/ccs/5528_7494	H1
Sample17_m88888_231121_054828_s4/126031125/ccs/13216_15179	H2
