#readname	haplotype
Sample41_m88888_240731_163529_s1/210439459/ccs/15701_17738	H1
Sample41_m88888_240731_163529_s1/254738745/ccs/13807_15839	none
Sample41_m88888_240731_163529_s1/205329849/ccs/7911_9862	none
Sample41_m88888_240731_163529_s1/128189945/ccs/8339_10270	none
Sample41_m88888_240731_163529_s1/256313890/ccs/69_2114	H1
Sample41_m88888_240731_163529_s1/195364466/ccs/1983_3990	none
Sample41_m88888_240731_163529_s1/54199289/ccs/10462_12465	H2
Sample41_m88888_240731_163529_s1/163451833/ccs/3896_5861	H2
Sample41_m88888_240731_163529_s1/84348455/ccs/3413_5380	H1
Sample41_m88888_240726_010724_s1/266209500/ccs/6784_8750	none
Sample41_m88888_240731_163529_s1/56299596/ccs/6943_8909	H1
Sample41_m88888_240731_163529_s1/227083057/ccs/4487_6451	none
Sample41_m88888_240731_163529_s1/111805010/ccs/3874_5839	H1
Sample41_m88888_240731_163529_s1/124064154/ccs/12306_14267	H2
Sample41_m88888_240731_163529_s1/83168904/ccs/6386_8347	H2
Sample41_m88888_240731_163529_s1/76483201/ccs/9853_11813	H2
Sample41_m88888_240731_163529_s1/117113805/ccs/2099_4059	H1
Sample41_m88888_240731_163529_s1/214175362/ccs/4417_6374	H1
Sample41_m88888_240731_163529_s1/35985173/ccs/69_2030	H1
Sample41_m88888_240731_163529_s1/148837666/ccs/10891_12850	H1
Sample41_m88888_240731_163529_s1/153294573/ccs/13245_15202	H1
Sample41_m88888_240731_163529_s1/156961993/ccs/11425_13386	H2
Sample41_m88888_240731_163529_s1/181015430/ccs/2317_4275	H2
Sample41_m88888_240731_163529_s1/108593529/ccs/12245_14204	none
Sample41_m88888_240731_163529_s1/66328230/ccs/20547_22504	H1
Sample41_m88888_240731_163529_s1/10682827/ccs/7311_9270	none
Sample41_m88888_240731_163529_s1/240326366/ccs/69_2026	none
Sample41_m88888_240731_163529_s1/157813313/ccs/10100_12053	H2
Sample41_m88888_240731_163529_s1/104268228/ccs/6362_8309	none
Sample41_m88888_240731_163529_s1/147917844/ccs/4097_6051	H2
Sample41_m88888_240731_163529_s1/247007635/ccs/8429_10382	H1
Sample41_m88888_240731_163529_s1/48894923/ccs/2989_4946	none
Sample41_m88888_240731_163529_s1/249368287/ccs/68_2021	H1
Sample41_m88888_240731_163529_s1/43123485/ccs/3643_5596	H2
Sample41_m88888_240731_163529_s1/133301443/ccs/5187_7140	none
Sample41_m88888_240731_163529_s1/266536096/ccs/4300_6249	H2
Sample41_m88888_240726_010724_s1/201458314/ccs/12931_14884	H2
Sample41_m88888_240731_163529_s1/207290750/ccs/3340_5294	H1
Sample41_m88888_240731_163529_s1/17567107/ccs/18173_20122	none
Sample41_m88888_240731_163529_s1/171707187/ccs/41_1994	none
Sample41_m88888_240731_163529_s1/99943850/ccs/5167_7116	H2
Sample41_m88888_240731_163529_s1/223613399/ccs/11815_13763	none
Sample41_m88888_240731_163529_s1/44962843/ccs/69_2015	none
Sample41_m88888_240731_163529_s1/229704216/ccs/5172_7121	H1
Sample41_m88888_240731_163529_s1/134743043/ccs/8481_10429	H1
Sample41_m88888_240731_163529_s1/173608385/ccs/10964_12913	none
Sample41_m88888_240731_163529_s1/88608988/ccs/8745_10685	none
Sample41_m88888_240731_163529_s1/20057612/ccs/8058_10008	H1
Sample41_m88888_240731_163529_s1/26085058/ccs/12389_14337	H1
Sample41_m88888_240731_163529_s1/171380083/ccs/2451_4399	none
Sample41_m88888_240731_163529_s1/34211566/ccs/2996_4943	none
Sample41_m88888_240731_163529_s1/206438722/ccs/17438_19385	none
Sample41_m88888_240726_010724_s1/113906337/ccs/1466_3409	none
Sample41_m88888_240731_163529_s1/211094125/ccs/3321_5268	H2
Sample41_m88888_240731_163529_s1/10817729/ccs/12241_14190	H2
Sample41_m88888_240731_163529_s1/33231225/ccs/11229_13176	H1
Sample41_m88888_240731_163529_s1/28249469/ccs/10624_12573	none
Sample41_m88888_240731_163529_s1/130548248/ccs/17169_19117	H2
Sample41_m88888_240726_010724_s1/149357548/ccs/9987_11933	none
Sample41_m88888_240726_010724_s1/67240379/ccs/7899_9847	H1
Sample41_m88888_240731_163529_s1/263914675/ccs/9974_11924	none
Sample41_m88888_240731_163529_s1/215813295/ccs/2637_4586	H2
Sample41_m88888_240731_163529_s1/193988260/ccs/9434_11382	H1
Sample41_m88888_240731_163529_s1/16455069/ccs/2977_4924	none
Sample41_m88888_240731_163529_s1/219154262/ccs/9637_11585	H1
Sample41_m88888_240731_163529_s1/198250129/ccs/1084_3032	none
Sample41_m88888_240731_163529_s1/229049196/ccs/7374_9321	H1
Sample41_m88888_240731_163529_s1/45416684/ccs/4934_6882	H1
Sample41_m88888_240731_163529_s1/34669204/ccs/13667_15613	none
Sample41_m88888_240731_163529_s1/108790014/ccs/5044_6989	none
Sample41_m88888_240731_163529_s1/191564410/ccs/69_2016	none
Sample41_m88888_240731_163529_s1/212730160/ccs/8052_9998	none
Sample41_m88888_240731_163529_s1/115213633/ccs/69_2015	none
Sample41_m88888_240731_163529_s1/23005256/ccs/12737_14686	H1
Sample41_m88888_240731_163529_s1/102044466/ccs/6103_8049	H1
Sample41_m88888_240731_163529_s1/125239592/ccs/4291_6237	H2
Sample41_m88888_240731_163529_s1/76810957/ccs/7157_9105	H1
