#readname	haplotype
Sample25_m88888_240324_145021_s1/68030037/ccs/1002_4678	none
Sample25_m88888_240324_145021_s1/87102887/ccs/1173_4843	none
Sample25_m88888_240324_145021_s1/152639359/ccs/12133_15804	H2
Sample25_m88888_240324_145021_s1/98897734/ccs/4600_8269	none
Sample25_m88888_240324_145021_s1/245764423/ccs/10587_14254	H2
Sample25_m88888_240324_145021_s1/233576100/ccs/8947_12613	H2
Sample25_m88888_240324_145021_s1/248908184/ccs/11372_15018	none
Sample25_m88888_240324_145021_s1/255070295/ccs/15709_19348	H1
Sample25_m88888_240324_145021_s1/64816482/ccs/6793_10427	H1
Sample25_m88888_240324_145021_s1/251858883/ccs/7271_10906	H1
Sample25_m88888_240324_145021_s1/207754919/ccs/16608_20234	H2
Sample25_m88888_240324_145021_s1/148116828/ccs/3176_6803	none
Sample25_m88888_240324_145021_s1/120391500/ccs/12680_16303	H1
Sample25_m88888_240324_145021_s1/93720003/ccs/11953_15556	H1
Sample25_m88888_240324_145021_s1/198050445/ccs/6694_10302	H2
Sample25_m88888_240324_145021_s1/197985044/ccs/6829_10011	H2
Sample25_m88888_240324_145021_s1/81990861/ccs/3505_6677	H1
Sample25_m88888_240324_145021_s1/234489404/ccs/16408_19574	H1
Sample25_m88888_240324_145021_s1/63245759/ccs/17575_20732	H2
Sample25_m88888_240324_145021_s1/81071706/ccs/14755_17905	H2
Sample25_m88888_240324_145021_s1/45749662/ccs/41_3190	H1
Sample25_m88888_240324_145021_s1/142147904/ccs/2280_5414	none
Sample25_m88888_240324_145021_s1/154275767/ccs/5553_8697	none
Sample25_m88888_240324_145021_s1/19991684/ccs/13996_17137	none
Sample25_m88888_240324_145021_s1/108855800/ccs/12492_15613	none
Sample25_m88888_240324_145021_s1/35457082/ccs/8932_10987	H1
Sample25_m88888_240324_145021_s1/155455449/ccs/3680_5721	H2
Sample25_m88888_240324_145021_s1/153163559/ccs/14672_16712	none
Sample25_m88888_240324_145021_s1/160565036/ccs/69_2106	H1
Sample25_m88888_240324_145021_s1/142806485/ccs/7273_9306	H2
Sample25_m88888_240324_145021_s1/200676248/ccs/4616_6650	none
Sample25_m88888_240324_145021_s1/136513009/ccs/9491_11503	H1
Sample25_m88888_240324_145021_s1/220861495/ccs/21088_23097	none
Sample25_m88888_240324_145021_s1/109380543/ccs/14622_16619	H1
Sample25_m88888_240324_145021_s1/52758684/ccs/18244_20231	H1
Sample25_m88888_240324_145021_s1/108923712/ccs/69_2049	H2
Sample25_m88888_240324_145021_s1/209127668/ccs/9550_11528	none
Sample25_m88888_240324_145021_s1/163582955/ccs/12287_14264	none
Sample25_m88888_240324_145021_s1/159389097/ccs/17351_19316	H1
Sample25_m88888_240324_145021_s1/211092869/ccs/5533_7498	none
Sample25_m88888_240324_145021_s1/50006724/ccs/12090_14049	none
Sample25_m88888_240324_145021_s1/115545676/ccs/5820_7781	H1
Sample25_m88888_240324_145021_s1/236126423/ccs/13618_15578	none
Sample25_m88888_240324_145021_s1/53284140/ccs/18454_20413	H1
Sample25_m88888_240324_145021_s1/69275015/ccs/2130_4090	H2
Sample25_m88888_240324_145021_s1/102958162/ccs/1080_3039	H1
Sample25_m88888_240324_145021_s1/264766580/ccs/12740_14699	none
Sample25_m88888_240324_145021_s1/261493093/ccs/4153_6114	H1
Sample25_m88888_240324_145021_s1/259655907/ccs/12961_14919	H1
Sample25_m88888_240324_145021_s1/113378052/ccs/69_2028	H2
Sample25_m88888_240324_145021_s1/106300024/ccs/10225_12182	H2
Sample25_m88888_240324_145021_s1/60295676/ccs/69_2026	none
Sample25_m88888_240324_145021_s1/125306109/ccs/18978_20931	none
Sample25_m88888_240324_145021_s1/173867670/ccs/16279_18236	H2
Sample25_m88888_240324_145021_s1/242814056/ccs/18317_20269	H2
Sample25_m88888_240324_145021_s1/68293829/ccs/13989_15945	none
Sample25_m88888_240324_145021_s1/121312954/ccs/17836_19793	none
Sample25_m88888_240324_145021_s1/80742494/ccs/2060_4013	none
Sample25_m88888_240324_145021_s1/243078548/ccs/11712_13671	H1
Sample25_m88888_240324_145021_s1/263326720/ccs/2455_4413	none
Sample25_m88888_240324_145021_s1/159319033/ccs/69_2021	none
Sample25_m88888_240324_145021_s1/189663690/ccs/69_2020	H2
Sample25_m88888_240324_145021_s1/4133313/ccs/69_2021	none
Sample25_m88888_240324_145021_s1/2230953/ccs/3769_5722	none
Sample25_m88888_240324_145021_s1/156762819/ccs/16425_18371	H1
