#readname	haplotype
Sample6_m88888_230829_213454_s3/146083203/ccs/41_3716	H2
Sample6_m88888_230829_213454_s3/129962768/ccs/68_3734	H2
Sample6_m88888_230829_213454_s3/83103317/ccs/6164_9832	H2
Sample6_m88888_230829_213454_s3/57871698/ccs/7590_11254	none
Sample6_m88888_230829_213454_s3/253761409/ccs/7800_11459	none
Sample6_m88888_230829_213454_s3/257165658/ccs/6751_10375	none
Sample6_m88888_230829_213454_s3/95486980/ccs/7395_10526	H2
Sample6_m88888_230829_213454_s3/62327577/ccs/13813_15866	H1
Sample6_m88888_230829_213454_s3/87624812/ccs/41_2090	H2
Sample6_m88888_230829_213454_s3/49348906/ccs/9502_11528	H1
Sample6_m88888_230829_213454_s3/117244785/ccs/6437_8442	none
Sample6_m88888_230829_213454_s3/185339138/ccs/7298_9242	H2
Sample6_m88888_230829_213454_s3/50924892/ccs/2602_4520	H2
Sample6_m88888_230829_213454_s3/171382666/ccs/5647_7554	none
Sample6_m88888_230829_213454_s3/185535630/ccs/2973_4957	H2
Sample6_m88888_230829_213454_s3/81334787/ccs/14908_16893	H1
Sample6_m88888_230829_213454_s3/15992776/ccs/10664_12650	H1
Sample6_m88888_230829_213454_s3/181210409/ccs/1623_3604	H1
Sample6_m88888_230829_213454_s3/243013224/ccs/8663_10645	none
Sample6_m88888_230829_213454_s3/267128764/ccs/1829_3811	H1
Sample6_m88888_230829_213454_s3/83689861/ccs/10658_12624	H1
Sample6_m88888_230829_213454_s3/256773754/ccs/68_2031	none
Sample6_m88888_230829_213454_s3/54790744/ccs/18191_20152	none
Sample6_m88888_230829_213454_s3/207356008/ccs/41_2001	none
Sample6_m88888_230829_213454_s3/167250650/ccs/3742_5704	H1
Sample6_m88888_230829_213454_s3/166921665/ccs/12043_14003	none
Sample6_m88888_230829_213454_s3/176555719/ccs/7532_9491	none
Sample6_m88888_230829_213454_s3/182982184/ccs/1372_3329	H1
Sample6_m88888_230829_213454_s3/11931718/ccs/10346_12307	H2
Sample6_m88888_230829_213454_s3/244254133/ccs/10445_12406	none
Sample6_m88888_230829_213454_s3/72286659/ccs/13907_15865	H1
Sample6_m88888_230829_213454_s3/183501717/ccs/18059_20015	H2
Sample6_m88888_230829_213454_s3/88277481/ccs/4770_6730	H1
Sample6_m88888_230829_213454_s3/243139168/ccs/1804_3763	H2
Sample6_m88888_230829_213454_s3/206376377/ccs/13213_15172	H2
