#readname	haplotype
Sample50_m88888_240726_030711_s2/245563910/ccs/13694_16863	none
Sample50_m88888_240731_183507_s2/235735924/ccs/11628_14779	H1
Sample50_m88888_240731_183507_s2/244777269/ccs/2291_5435	H2
Sample50_m88888_240731_183507_s2/175248347/ccs/2079_5218	none
Sample50_m88888_240731_183507_s2/213914022/ccs/5997_8037	none
Sample50_m88888_240731_183507_s2/195232102/ccs/10413_12452	H1
Sample50_m88888_240731_183507_s2/65602426/ccs/15103_17140	H1
Sample50_m88888_240731_183507_s2/154406806/ccs/15540_17538	none
Sample50_m88888_240731_183507_s2/240583910/ccs/1777_3717	H2
Sample50_m88888_240731_183507_s2/126158494/ccs/2846_4796	H1
Sample50_m88888_240731_183507_s2/133763117/ccs/17265_19242	none
Sample50_m88888_240731_183507_s2/155129093/ccs/3997_5964	H2
Sample50_m88888_240731_183507_s2/29950374/ccs/10762_12728	none
Sample50_m88888_240731_183507_s2/64686789/ccs/15551_17516	none
Sample50_m88888_240731_183507_s2/164759220/ccs/69_2036	H1
Sample50_m88888_240731_183507_s2/263981201/ccs/13902_15864	H1
Sample50_m88888_240731_183507_s2/38866633/ccs/10829_12793	none
Sample50_m88888_240731_183507_s2/54333138/ccs/1977_3941	H2
Sample50_m88888_240731_183507_s2/18223430/ccs/2898_4860	H2
Sample50_m88888_240731_183507_s2/251532712/ccs/69_2029	none
Sample50_m88888_240731_183507_s2/239142526/ccs/3237_5196	H2
Sample50_m88888_240731_183507_s2/74253088/ccs/6370_8328	H2
Sample50_m88888_240731_183507_s2/141626208/ccs/8456_10416	H2
Sample50_m88888_240731_183507_s2/205262186/ccs/3506_5465	H1
Sample50_m88888_240731_183507_s2/77662318/ccs/41_2001	H2
Sample50_m88888_240726_030711_s2/119017420/ccs/14078_16039	H2
Sample50_m88888_240731_183507_s2/25495094/ccs/858_2818	none
Sample50_m88888_240731_183507_s2/213717737/ccs/4606_6565	H1
Sample50_m88888_240731_183507_s2/156763958/ccs/8599_10556	none
Sample50_m88888_240731_183507_s2/233902098/ccs/2369_4326	H2
Sample50_m88888_240731_183507_s2/172102629/ccs/69_2024	H2
Sample50_m88888_240731_183507_s2/217583534/ccs/11050_13010	none
Sample50_m88888_240731_183507_s2/179963528/ccs/68_2025	H1
Sample50_m88888_240731_183507_s2/37159462/ccs/14011_15968	H1
Sample50_m88888_240731_183507_s2/43259477/ccs/69_2024	H1
Sample50_m88888_240731_183507_s2/59904802/ccs/2683_4640	H2
Sample50_m88888_240731_183507_s2/78383807/ccs/41_1998	none
Sample50_m88888_240731_183507_s2/102108659/ccs/6420_8376	H2
Sample50_m88888_240731_183507_s2/199428923/ccs/2990_4943	none
Sample50_m88888_240731_183507_s2/261754413/ccs/1742_3699	H2
Sample50_m88888_240731_183507_s2/254740008/ccs/4661_6609	H2
Sample50_m88888_240726_030711_s2/43519979/ccs/12701_14656	none
Sample50_m88888_240731_183507_s2/216073777/ccs/69_2021	none
Sample50_m88888_240731_183507_s2/221119923/ccs/17839_19790	H1
