#readname	haplotype
Sample32_m88888_240509_062343_s4/261035433/ccs/69_3739	H1
Sample32_m88888_240509_062343_s4/227280361/ccs/10422_14100	none
Sample32_m88888_240509_062343_s4/234753382/ccs/69_3706	H1
Sample32_m88888_240509_062343_s4/48564528/ccs/6160_9305	H1
Sample32_m88888_240509_062343_s4/157421395/ccs/69_3211	H1
Sample32_m88888_240509_062343_s4/217323426/ccs/17816_19866	H2
Sample32_m88888_240509_062343_s4/157685469/ccs/1175_3092	none
Sample32_m88888_240509_062343_s4/9504515/ccs/12749_14831	H2
Sample32_m88888_240509_062343_s4/259786007/ccs/10115_12159	none
Sample32_m88888_240509_062343_s4/139723852/ccs/11420_13441	H2
Sample32_m88888_240509_062343_s4/49025986/ccs/11753_13769	H1
Sample32_m88888_240509_062343_s4/246485353/ccs/5671_7673	H2
Sample32_m88888_240509_062343_s4/87097754/ccs/5611_7589	H2
Sample32_m88888_240509_062343_s4/185403761/ccs/6563_8539	H2
Sample32_m88888_240509_062343_s4/146019762/ccs/69_2045	H1
Sample32_m88888_240509_062343_s4/205652806/ccs/5641_7603	H1
Sample32_m88888_240509_062343_s4/185731328/ccs/4127_6098	H2
Sample32_m88888_240509_062343_s4/96736512/ccs/16503_18469	H2
Sample32_m88888_240509_062343_s4/125505561/ccs/12179_14148	H1
Sample32_m88888_240509_062343_s4/231736816/ccs/8522_10487	H1
Sample32_m88888_240509_062343_s4/77530946/ccs/12774_14740	none
Sample32_m88888_240509_062343_s4/182453444/ccs/9305_11272	H1
Sample32_m88888_240509_062343_s4/198840767/ccs/12211_14179	H2
Sample32_m88888_240509_062343_s4/141301018/ccs/69_2036	H2
Sample32_m88888_240509_062343_s4/4915948/ccs/16435_18399	none
Sample32_m88888_240509_062343_s4/141430176/ccs/69_2033	none
Sample32_m88888_240509_062343_s4/27858133/ccs/69_2033	H2
Sample32_m88888_240509_062343_s4/210437717/ccs/69_2032	none
Sample32_m88888_240509_062343_s4/174329658/ccs/12708_14672	H1
Sample32_m88888_240509_062343_s4/241373413/ccs/1775_3738	H2
Sample32_m88888_240509_062343_s4/31657984/ccs/4736_6696	H1
Sample32_m88888_240509_062343_s4/102500851/ccs/12117_14079	H1
Sample32_m88888_240509_062343_s4/47319745/ccs/4491_6454	none
Sample32_m88888_240509_062343_s4/258937606/ccs/1150_3112	H1
Sample32_m88888_240509_062343_s4/165806503/ccs/69_2032	H2
Sample32_m88888_240509_062343_s4/110366359/ccs/69_2030	H1
Sample32_m88888_240509_062343_s4/124846764/ccs/15103_17065	H1
Sample32_m88888_240509_062343_s4/218502456/ccs/3757_5718	H2
Sample32_m88888_240509_062343_s4/31327689/ccs/3272_5234	H2
Sample32_m88888_240509_062343_s4/175117950/ccs/10963_12920	H2
Sample32_m88888_240509_062343_s4/228786351/ccs/12346_14308	none
Sample32_m88888_240509_062343_s4/221121379/ccs/13674_15636	none
Sample32_m88888_240509_062343_s4/86246012/ccs/11677_13640	none
Sample32_m88888_240509_062343_s4/112726018/ccs/8516_10475	H1
Sample32_m88888_240509_062343_s4/235014440/ccs/69_2028	H1
Sample32_m88888_240509_062343_s4/262411239/ccs/16777_18736	none
Sample32_m88888_240509_062343_s4/109776926/ccs/15569_17525	H2
Sample32_m88888_240509_062343_s4/207361487/ccs/13099_15057	H2
Sample32_m88888_240509_062343_s4/245306562/ccs/8757_10715	H2
Sample32_m88888_240509_062343_s4/55904823/ccs/4677_6632	none
Sample32_m88888_240509_062343_s4/90638204/ccs/6772_8730	H1
Sample32_m88888_240509_062343_s4/190252381/ccs/14954_16912	H1
Sample32_m88888_240509_062343_s4/158402429/ccs/13728_15687	H1
Sample32_m88888_240509_062343_s4/12321139/ccs/3621_5579	H2
Sample32_m88888_240509_062343_s4/19464885/ccs/3650_5609	none
Sample32_m88888_240509_062343_s4/145036527/ccs/929_2887	H1
Sample32_m88888_240509_062343_s4/15990984/ccs/2697_4594	none
Sample32_m88888_240509_062343_s4/67043788/ccs/69_2027	none
Sample32_m88888_240509_062343_s4/107941550/ccs/6797_8757	none
Sample32_m88888_240509_062343_s4/190515800/ccs/69_2026	H1
Sample32_m88888_240509_062343_s4/136249430/ccs/7748_9706	none
Sample32_m88888_240509_062343_s4/75369725/ccs/4988_6943	H2
Sample32_m88888_240509_062343_s4/262279458/ccs/4139_6095	H2
