#readname	haplotype
Sample51_m88888_240731_183507_s2/14881877/ccs/14142_16177	H1
Sample51_m88888_240731_183507_s2/55183385/ccs/1880_3911	H2
Sample51_m88888_240726_030711_s2/56559362/ccs/16438_18444	H1
Sample51_m88888_240726_030711_s2/121506620/ccs/15116_17123	H2
Sample51_m88888_240731_183507_s2/37948731/ccs/11816_13818	none
Sample51_m88888_240731_183507_s2/186190075/ccs/6770_8762	none
Sample51_m88888_240726_030711_s2/129044711/ccs/69_2060	H2
Sample51_m88888_240731_183507_s2/107746375/ccs/18772_20728	none
Sample51_m88888_240731_183507_s2/212339800/ccs/1903_3831	none
Sample51_m88888_240726_030711_s2/195365608/ccs/14948_16869	none
Sample51_m88888_240731_183507_s2/205853854/ccs/15272_17213	H1
Sample51_m88888_240731_183507_s2/10093680/ccs/17245_19191	none
Sample51_m88888_240731_183507_s2/265356711/ccs/16782_18713	H1
Sample51_m88888_240731_183507_s2/251597881/ccs/12771_14737	none
Sample51_m88888_240731_183507_s2/68486469/ccs/19064_21031	H2
Sample51_m88888_240731_183507_s2/200413865/ccs/11832_13799	H2
Sample51_m88888_240731_183507_s2/194382220/ccs/41_2003	H2
Sample51_m88888_240731_183507_s2/105841746/ccs/9426_11391	H2
Sample51_m88888_240731_183507_s2/160961591/ccs/10532_12497	none
Sample51_m88888_240731_183507_s2/261230565/ccs/1945_3909	none
Sample51_m88888_240731_183507_s2/90771076/ccs/1524_3489	none
Sample51_m88888_240731_183507_s2/13437710/ccs/69_2033	H2
Sample51_m88888_240731_183507_s2/43060610/ccs/4550_6512	H1
Sample51_m88888_240731_183507_s2/106824234/ccs/12275_14237	none
Sample51_m88888_240731_183507_s2/64685603/ccs/11580_13538	H2
Sample51_m88888_240731_183507_s2/139071116/ccs/17275_19236	H2
Sample51_m88888_240731_183507_s2/246416804/ccs/69_2027	H2
Sample51_m88888_240726_030711_s2/86052316/ccs/41_2000	none
Sample51_m88888_240726_030711_s2/136120417/ccs/6989_8948	H2
Sample51_m88888_240731_183507_s2/104862389/ccs/18232_20187	H1
Sample51_m88888_240731_183507_s2/174260535/ccs/10380_12336	none
Sample51_m88888_240731_183507_s2/21497759/ccs/8627_10584	H2
Sample51_m88888_240731_183507_s2/251727022/ccs/15602_17560	H2
Sample51_m88888_240726_030711_s2/195693696/ccs/8549_10507	H1
Sample51_m88888_240731_183507_s2/149946991/ccs/12149_14108	H1
Sample51_m88888_240731_183507_s2/91887289/ccs/14759_16718	H1
Sample51_m88888_240731_183507_s2/77927830/ccs/12646_14605	H2
Sample51_m88888_240731_183507_s2/119805792/ccs/12593_14547	none
Sample51_m88888_240731_183507_s2/90375404/ccs/2427_4384	H1
Sample51_m88888_240731_183507_s2/165810617/ccs/69_2025	H1
Sample51_m88888_240731_183507_s2/207489617/ccs/3429_5387	H2
Sample51_m88888_240731_183507_s2/50725134/ccs/69_2026	H2
Sample51_m88888_240731_183507_s2/27329030/ccs/12518_14476	H1
Sample51_m88888_240731_183507_s2/88545226/ccs/4577_6534	H1
Sample51_m88888_240731_183507_s2/164434535/ccs/3886_5840	none
Sample51_m88888_240726_030711_s2/105121876/ccs/12054_14012	H2
Sample51_m88888_240731_183507_s2/177933008/ccs/69_2026	H2
Sample51_m88888_240731_183507_s2/60098079/ccs/14534_16488	H1
Sample51_m88888_240731_183507_s2/48762795/ccs/10299_12255	none
Sample51_m88888_240731_183507_s2/174853277/ccs/14036_15992	none
Sample51_m88888_240731_183507_s2/218304830/ccs/10205_12160	H2
Sample51_m88888_240731_183507_s2/240129866/ccs/69_2025	H2
Sample51_m88888_240731_183507_s2/37948183/ccs/13755_15710	H2
Sample51_m88888_240731_183507_s2/89461402/ccs/8382_10336	none
Sample51_m88888_240731_183507_s2/137891268/ccs/6733_8685	none
Sample51_m88888_240731_183507_s2/188285789/ccs/69_2022	none
Sample51_m88888_240731_183507_s2/34605687/ccs/808_2765	H1
Sample51_m88888_240731_183507_s2/18940927/ccs/69_2023	none
Sample51_m88888_240731_183507_s2/262275985/ccs/69_2023	H1
Sample51_m88888_240731_183507_s2/115673499/ccs/5860_7816	H1
Sample51_m88888_240731_183507_s2/143720909/ccs/14485_16431	H1
Sample51_m88888_240731_183507_s2/44503549/ccs/5597_7552	H2
Sample51_m88888_240731_183507_s2/189727183/ccs/8850_10804	H2
Sample51_m88888_240731_183507_s2/233048208/ccs/69_2022	none
Sample51_m88888_240731_183507_s2/52299323/ccs/18912_20865	H2
Sample51_m88888_240731_183507_s2/96471945/ccs/9373_11328	H1
