#readname	haplotype
Sample53_m88888_240731_183507_s2/168757000/ccs/2010_5189	none
Sample53_m88888_240731_183507_s2/127210248/ccs/15557_18738	none
Sample53_m88888_240731_183507_s2/119346038/ccs/6197_8237	none
Sample53_m88888_240731_183507_s2/103483446/ccs/5453_7492	H2
Sample53_m88888_240731_183507_s2/169936426/ccs/17360_19391	none
Sample53_m88888_240731_183507_s2/120195563/ccs/16455_18473	none
Sample53_m88888_240731_183507_s2/202118081/ccs/41_2032	H2
Sample53_m88888_240731_183507_s2/116263618/ccs/17166_19107	none
Sample53_m88888_240731_183507_s2/220532714/ccs/19204_21138	H1
Sample53_m88888_240731_183507_s2/196415082/ccs/13763_15685	H2
Sample53_m88888_240731_183507_s2/87295339/ccs/10672_12651	H2
Sample53_m88888_240731_183507_s2/202248684/ccs/2048_4024	H2
Sample53_m88888_240731_183507_s2/174130136/ccs/15316_17282	none
Sample53_m88888_240731_183507_s2/67044372/ccs/17071_19028	H2
Sample53_m88888_240731_183507_s2/146085554/ccs/13505_15472	H2
Sample53_m88888_240731_183507_s2/30606428/ccs/4148_6114	none
Sample53_m88888_240731_183507_s2/167248777/ccs/5733_7700	none
Sample53_m88888_240731_183507_s2/118556211/ccs/12421_14388	none
Sample53_m88888_240731_183507_s2/152962935/ccs/9100_11065	H1
Sample53_m88888_240731_183507_s2/97392044/ccs/11545_13504	none
Sample53_m88888_240731_183507_s2/91032486/ccs/16838_18800	H2
Sample53_m88888_240731_183507_s2/118948111/ccs/2227_4188	H1
Sample53_m88888_240731_183507_s2/259132279/ccs/14668_16632	H2
Sample53_m88888_240731_183507_s2/48763375/ccs/69_2032	H2
Sample53_m88888_240731_183507_s2/212861752/ccs/41_1997	H1
Sample53_m88888_240731_183507_s2/113051766/ccs/11268_13230	none
Sample53_m88888_240726_030711_s2/194577973/ccs/3938_5896	none
Sample53_m88888_240731_183507_s2/158207345/ccs/13718_15675	H2
Sample53_m88888_240731_183507_s2/46993137/ccs/11642_13601	none
Sample53_m88888_240731_183507_s2/93782829/ccs/17548_19506	none
Sample53_m88888_240731_183507_s2/104665349/ccs/14236_16196	H1
Sample53_m88888_240731_183507_s2/185013281/ccs/11916_13875	none
Sample53_m88888_240731_183507_s2/208409571/ccs/41_2000	H1
Sample53_m88888_240731_183507_s2/173936069/ccs/19152_21111	H1
Sample53_m88888_240731_183507_s2/9897550/ccs/14490_16449	none
Sample53_m88888_240731_183507_s2/210830177/ccs/8497_10456	H2
Sample53_m88888_240731_183507_s2/102961163/ccs/41_1999	H2
Sample53_m88888_240731_183507_s2/19664959/ccs/6798_8754	none
Sample53_m88888_240731_183507_s2/110758462/ccs/69_2028	H2
Sample53_m88888_240731_183507_s2/113053533/ccs/8913_10870	H2
Sample53_m88888_240731_183507_s2/152502425/ccs/16849_18805	H2
