Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene
PB.161541.4,Patient28,0,2,1473,1202,0.0,1663.8935108153078,26.5,9.0,novelGene_SRSF6_AS
PB.161541.4,Patient29,9,4,1044,1857,8620.689655172413,2154.0118470651587,3.0,7.0,novelGene_SRSF6_AS
PB.161541.4,Patient3,0,1,1987,2019,0.0,495.2947003467063,26.5,22.0,novelGene_SRSF6_AS
PB.161541.4,Patient30,6,2,1658,1808,3618.8178528347407,1106.1946902654868,5.0,16.0,novelGene_SRSF6_AS
PB.161541.4,Patient31,0,0,966,1858,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient4,0,3,1554,1450,0.0,2068.9655172413795,26.5,8.0,novelGene_SRSF6_AS
PB.161541.4,Patient5,2,0,1993,1596,1003.5122930255895,0.0,14.0,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient6,0,0,1714,1602,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient7,0,2,1705,1726,0.0,1158.7485515643104,26.5,14.0,novelGene_SRSF6_AS
PB.161541.4,Patient8,1,1,1179,1359,848.1764206955047,735.8351729212657,16.0,19.0,novelGene_SRSF6_AS
PB.161541.4,Patient9,3,2,1493,1722,2009.3770931011384,1161.4401858304298,12.0,13.0,novelGene_SRSF6_AS
PB.161551.113,Patient1,1,0,1902,1717,525.7623554153522,0.0,19.0,18.0,SRSF6
PB.161551.113,Patient10,2,0,2180,1394,917.4311926605506,0.0,17.0,18.0,SRSF6
PB.161551.113,Patient11,0,0,2226,1367,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient12,9,0,2004,1791,4491.017964071856,0.0,4.0,18.0,SRSF6
PB.161551.113,Patient13,0,0,2495,2218,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient14,4,0,1161,1708,3445.305770887166,0.0,8.0,18.0,SRSF6
PB.161551.113,Patient15,0,0,1376,2573,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient16,5,0,1395,1271,3584.2293906810037,0.0,6.0,18.0,SRSF6
PB.161551.113,Patient17,0,0,975,1227,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient18,0,0,988,1387,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient19,5,0,1229,1548,4068.3482506102523,0.0,5.0,18.0,SRSF6
PB.161551.113,Patient2,0,0,1277,1085,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient20,3,1,1888,1738,1588.9830508474577,575.3739930955121,13.0,4.0,SRSF6
PB.161551.113,Patient21,0,0,1417,1328,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient22,0,0,1221,2106,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient23,1,0,665,1159,1503.7593984962407,0.0,14.0,18.0,SRSF6
PB.161551.113,Patient24,1,0,1059,1661,944.2870632672333,0.0,16.0,18.0,SRSF6
PB.161551.113,Patient25,0,0,1372,1946,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient26,0,0,1690,1469,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient27,2,0,917,1439,2181.0250817884407,0.0,12.0,18.0,SRSF6
PB.161551.113,Patient28,32,3,1473,1202,21724.37202987101,2495.840266222962,1.0,1.0,SRSF6
PB.161551.113,Patient29,1,0,1044,1857,957.8544061302681,0.0,15.0,18.0,SRSF6
PB.161551.113,Patient3,5,0,1987,2019,2516.356316054353,0.0,10.0,18.0,SRSF6
PB.161551.113,Patient30,4,0,1658,1808,2412.5452352231605,0.0,11.0,18.0,SRSF6
PB.161551.113,Patient31,0,0,966,1858,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient4,5,1,1554,1450,3217.5032175032175,689.655172413793,9.0,3.0,SRSF6
PB.161551.113,Patient5,16,0,1993,1596,8028.098344204716,0.0,2.0,18.0,SRSF6
PB.161551.113,Patient6,6,0,1714,1602,3500.583430571762,0.0,7.0,18.0,SRSF6
PB.161551.113,Patient7,1,0,1705,1726,586.5102639296188,0.0,18.0,18.0,SRSF6
PB.161551.113,Patient8,9,1,1179,1359,7633.587786259542,735.8351729212657,3.0,2.0,SRSF6
PB.161551.113,Patient9,0,0,1493,1722,0.0,0.0,25.5,18.0,SRSF6
PB.161551.121,Patient1,1,0,1902,1717,525.7623554153522,0.0,11.0,16.0,SRSF6
PB.161551.121,Patient10,2,0,2180,1394,917.4311926605506,0.0,5.0,16.0,SRSF6
PB.161551.121,Patient11,1,0,2226,1367,449.23629829290206,0.0,13.0,16.0,SRSF6
PB.161551.121,Patient12,0,0,2004,1791,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient13,1,0,2495,2218,400.80160320641284,0.0,14.0,16.0,SRSF6
PB.161551.121,Patient14,0,0,1161,1708,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient15,0,0,1376,2573,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient16,0,0,1395,1271,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient17,0,0,975,1227,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient18,3,0,988,1387,3036.4372469635628,0.0,2.0,16.0,SRSF6
PB.161551.121,Patient19,0,0,1229,1548,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient2,0,0,1277,1085,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient20,0,0,1888,1738,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient21,0,0,1417,1328,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient22,0,0,1221,2106,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient23,1,0,665,1159,1503.7593984962407,0.0,4.0,16.0,SRSF6
PB.161551.121,Patient24,0,0,1059,1661,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient25,1,0,1372,1946,728.862973760933,0.0,6.0,16.0,SRSF6
PB.161551.121,Patient26,1,0,1690,1469,591.7159763313609,0.0,9.0,16.0,SRSF6
PB.161551.121,Patient27,0,0,917,1439,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient28,11,0,1473,1202,7467.75288526816,0.0,1.0,16.0,SRSF6
PB.161551.121,Patient29,0,0,1044,1857,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient3,0,0,1987,2019,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient30,1,0,1658,1808,603.1363088057901,0.0,8.0,16.0,SRSF6
PB.161551.121,Patient31,2,0,966,1858,2070.393374741201,0.0,3.0,16.0,SRSF6
PB.161551.121,Patient4,1,0,1554,1450,643.5006435006435,0.0,7.0,16.0,SRSF6
PB.161551.121,Patient5,1,0,1993,1596,501.75614651279477,0.0,12.0,16.0,SRSF6
PB.161551.121,Patient6,1,0,1714,1602,583.4305717619603,0.0,10.0,16.0,SRSF6
PB.161551.121,Patient7,0,0,1705,1726,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient8,0,0,1179,1359,0.0,0.0,23.0,16.0,SRSF6
PB.161551.121,Patient9,0,0,1493,1722,0.0,0.0,23.0,16.0,SRSF6
PB.161551.166,Patient1,1,0,1902,1717,525.7623554153522,0.0,4.0,16.0,SRSF6
PB.161551.166,Patient10,0,0,2180,1394,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient11,0,0,2226,1367,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient12,0,0,2004,1791,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient13,0,0,2495,2218,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient14,0,0,1161,1708,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient15,0,0,1376,2573,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient16,0,0,1395,1271,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient17,0,0,975,1227,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient18,0,0,988,1387,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient19,1,0,1229,1548,813.6696501220504,0.0,3.0,16.0,SRSF6
PB.161551.166,Patient2,0,0,1277,1085,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient20,0,0,1888,1738,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient21,0,0,1417,1328,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient22,0,0,1221,2106,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient23,0,0,665,1159,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient24,0,0,1059,1661,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient25,0,0,1372,1946,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient26,0,0,1690,1469,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient27,0,0,917,1439,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient28,11,0,1473,1202,7467.75288526816,0.0,1.0,16.0,SRSF6
PB.161551.166,Patient29,0,0,1044,1857,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient3,0,0,1987,2019,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient30,0,0,1658,1808,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient31,0,0,966,1858,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient4,0,0,1554,1450,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient5,0,0,1993,1596,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient6,0,0,1714,1602,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient7,0,0,1705,1726,0.0,0.0,18.0,16.0,SRSF6
PB.161551.166,Patient8,1,0,1179,1359,848.1764206955047,0.0,2.0,16.0,SRSF6
PB.161551.166,Patient9,0,0,1493,1722,0.0,0.0,18.0,16.0,SRSF6
PB.161551.18,Patient1,79,71,1902,1717,41535.226077812826,41351.1939429237,18.0,16.0,SRSF6
PB.161551.18,Patient10,119,161,2180,1394,54587.15596330276,115494.97847919655,14.0,6.0,SRSF6
PB.161551.18,Patient11,132,122,2226,1367,59299.191374663074,89246.52523774689,13.0,8.0,SRSF6
PB.161551.18,Patient12,145,183,2004,1791,72355.28942115768,102177.55443886097,11.0,7.0,SRSF6
PB.161551.18,Patient13,226,265,2495,2218,90581.1623246493,119477.0063119928,7.0,4.0,SRSF6
PB.161551.18,Patient14,54,32,1161,1708,46511.62790697674,18735.362997658078,17.0,23.0,SRSF6
PB.161551.18,Patient15,186,204,1376,2573,135174.41860465115,79284.88146132919,1.0,9.0,SRSF6
PB.161551.18,Patient16,20,29,1395,1271,14336.917562724015,22816.679779701022,28.0,22.0,SRSF6
PB.161551.18,Patient17,31,17,975,1227,31794.871794871797,13854.930725346372,19.0,27.0,SRSF6
PB.161551.18,Patient18,67,50,988,1387,67813.76518218624,36049.02667627974,12.0,19.0,SRSF6
PB.161551.18,Patient19,20,17,1229,1548,16273.39300244101,10981.912144702841,27.0,28.0,SRSF6
PB.161551.18,Patient2,37,46,1277,1085,28974.158183241972,42396.3133640553,20.0,15.0,SRSF6
PB.161551.18,Patient20,14,47,1888,1738,7415.254237288136,27042.57767548907,30.0,21.0,SRSF6
PB.161551.18,Patient21,175,81,1417,1328,123500.35285815103,60993.97590361446,2.0,12.0,SRSF6
PB.161551.18,Patient22,25,32,1221,2106,20475.020475020476,15194.681861348528,25.0,26.0,SRSF6
PB.161551.18,Patient23,13,11,665,1159,19548.87218045113,9490.940465918895,26.0,30.0,SRSF6
PB.161551.18,Patient24,13,29,1059,1661,12275.731822474032,17459.36183022276,29.0,25.0,SRSF6
PB.161551.18,Patient25,164,257,1372,1946,119533.527696793,132065.77595066803,3.0,2.0,SRSF6
PB.161551.18,Patient26,172,114,1690,1469,101775.14792899409,77603.81211708646,5.0,10.0,SRSF6
PB.161551.18,Patient27,22,26,917,1439,23991.275899672844,18068.102849200834,24.0,24.0,SRSF6
PB.161551.18,Patient28,74,64,1473,1202,50237.61031907671,53244.59234608985,16.0,13.0,SRSF6
PB.161551.18,Patient29,26,18,1044,1857,24904.21455938697,9693.053311793215,22.0,29.0,SRSF6
PB.161551.18,Patient3,192,131,1987,2019,96628.08253648717,64883.60574541853,6.0,11.0,SRSF6
PB.161551.18,Patient30,191,72,1658,1808,115199.0349819059,39823.00884955752,4.0,17.0,SRSF6
PB.161551.18,Patient31,24,60,966,1858,24844.72049689441,32292.787944025833,23.0,20.0,SRSF6
PB.161551.18,Patient4,82,74,1554,1450,52767.05276705277,51034.482758620696,15.0,14.0,SRSF6
PB.161551.18,Patient5,156,270,1993,1596,78273.95885599598,169172.93233082705,10.0,1.0,SRSF6
PB.161551.18,Patient6,47,61,1714,1602,27421.236872812136,38077.40324594257,21.0,18.0,SRSF6
PB.161551.18,Patient7,139,202,1705,1726,81524.926686217,117033.60370799537,9.0,5.0,SRSF6
PB.161551.18,Patient8,97,169,1179,1359,82273.11280746396,124356.1442236939,8.0,3.0,SRSF6
PB.161551.18,Patient9,0,0,1493,1722,0.0,0.0,31.0,31.0,SRSF6
PB.161551.19,Patient1,9,10,1902,1717,4731.86119873817,5824.111822947,17.0,15.0,SRSF6
PB.161551.19,Patient10,0,0,2180,1394,0.0,0.0,29.0,29.0,SRSF6
PB.161551.19,Patient11,81,123,2226,1367,36388.14016172507,89978.05413313826,3.0,1.0,SRSF6
PB.161551.19,Patient12,16,19,2004,1791,7984.031936127743,10608.59854829704,13.0,11.0,SRSF6
PB.161551.19,Patient13,62,94,2495,2218,24849.699398797595,42380.52299368801,5.0,2.0,SRSF6
PB.161551.19,Patient14,9,4,1161,1708,7751.937984496124,2341.9203747072597,14.0,25.0,SRSF6
PB.161551.19,Patient15,32,51,1376,2573,23255.81395348837,19821.220365332298,7.0,6.0,SRSF6
PB.161551.19,Patient16,12,7,1395,1271,8602.150537634408,5507.474429583005,12.0,17.0,SRSF6
PB.161551.19,Patient17,4,5,975,1227,4102.5641025641025,4074.9796251018743,18.0,20.0,SRSF6
PB.161551.19,Patient18,13,11,988,1387,13157.894736842105,7930.785868781542,9.0,13.0,SRSF6
PB.161551.19,Patient19,2,4,1229,1548,1627.3393002441007,2583.9793281653747,23.0,24.0,SRSF6
PB.161551.19,Patient2,4,8,1277,1085,3132.3414252153484,7373.271889400921,19.0,14.0,SRSF6
PB.161551.19,Patient20,5,8,1888,1738,2648.3050847457625,4602.991944764097,21.0,19.0,SRSF6
PB.161551.19,Patient21,20,25,1417,1328,14114.326040931546,18825.30120481928,8.0,8.0,SRSF6
PB.161551.19,Patient22,2,1,1221,2106,1638.0016380016382,474.8338081671415,22.0,26.0,SRSF6
PB.161551.19,Patient23,0,4,665,1159,0.0,3451.251078515962,29.0,21.0,SRSF6
PB.161551.19,Patient24,1,5,1059,1661,944.2870632672333,3010.2347983142686,26.0,23.0,SRSF6
PB.161551.19,Patient25,38,45,1372,1946,27696.793002915452,23124.357656731758,4.0,5.0,SRSF6
PB.161551.19,Patient26,180,45,1690,1469,106508.87573964498,30633.08373042886,1.0,3.0,SRSF6
PB.161551.19,Patient27,0,8,917,1439,0.0,5559.416261292564,29.0,16.0,SRSF6
PB.161551.19,Patient28,0,0,1473,1202,0.0,0.0,29.0,29.0,SRSF6
PB.161551.19,Patient29,3,0,1044,1857,2873.5632183908046,0.0,20.0,29.0,SRSF6
PB.161551.19,Patient3,23,23,1987,2019,11575.239053850024,11391.778107974244,10.0,10.0,SRSF6
PB.161551.19,Patient30,2,0,1658,1808,1206.2726176115802,0.0,24.0,29.0,SRSF6
PB.161551.19,Patient31,72,53,966,1858,74534.16149068323,28525.29601722282,2.0,4.0,SRSF6
PB.161551.19,Patient4,11,7,1554,1450,7078.507078507078,4827.586206896552,15.0,18.0,SRSF6
PB.161551.19,Patient5,22,29,1993,1596,11038.635223281484,18170.426065162905,11.0,9.0,SRSF6
PB.161551.19,Patient6,2,5,1714,1602,1166.8611435239206,3121.098626716604,25.0,22.0,SRSF6
PB.161551.19,Patient7,41,34,1705,1726,24046.92082111437,19698.725376593276,6.0,7.0,SRSF6
PB.161551.19,Patient8,6,12,1179,1359,5089.058524173029,8830.022075055187,16.0,12.0,SRSF6
PB.161551.19,Patient9,0,0,1493,1722,0.0,0.0,29.0,29.0,SRSF6
PB.161551.22,Patient1,5,0,1902,1717,2628.8117770767612,0.0,11.0,17.5,SRSF6
PB.161551.22,Patient10,5,2,2180,1394,2293.5779816513764,1434.7202295552368,14.0,1.0,SRSF6
PB.161551.22,Patient11,21,1,2226,1367,9433.962264150943,731.528895391368,3.0,3.0,SRSF6
PB.161551.22,Patient12,10,0,2004,1791,4990.0199600798405,0.0,8.0,17.5,SRSF6
PB.161551.22,Patient13,30,0,2495,2218,12024.048096192384,0.0,1.0,17.5,SRSF6
PB.161551.22,Patient14,3,0,1161,1708,2583.9793281653747,0.0,12.0,17.5,SRSF6
PB.161551.22,Patient15,2,0,1376,2573,1453.4883720930231,0.0,16.0,17.5,SRSF6
PB.161551.22,Patient16,1,0,1395,1271,716.8458781362007,0.0,22.0,17.5,SRSF6
PB.161551.22,Patient17,1,0,975,1227,1025.6410256410256,0.0,20.0,17.5,SRSF6
PB.161551.22,Patient18,0,0,988,1387,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient19,1,0,1229,1548,813.6696501220504,0.0,21.0,17.5,SRSF6
PB.161551.22,Patient2,3,0,1277,1085,2349.2560689115116,0.0,13.0,17.5,SRSF6
PB.161551.22,Patient20,0,0,1888,1738,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient21,5,0,1417,1328,3528.5815102328866,0.0,10.0,17.5,SRSF6
PB.161551.22,Patient22,0,0,1221,2106,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient23,1,0,665,1159,1503.7593984962407,0.0,15.0,17.5,SRSF6
PB.161551.22,Patient24,0,0,1059,1661,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient25,0,0,1372,1946,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient26,10,0,1690,1469,5917.159763313609,0.0,6.0,17.5,SRSF6
PB.161551.22,Patient27,1,0,917,1439,1090.5125408942204,0.0,18.0,17.5,SRSF6
PB.161551.22,Patient28,2,0,1473,1202,1357.7732518669382,0.0,17.0,17.5,SRSF6
PB.161551.22,Patient29,0,0,1044,1857,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient3,11,0,1987,2019,5535.983895319578,0.0,7.0,17.5,SRSF6
PB.161551.22,Patient30,1,0,1658,1808,603.1363088057901,0.0,23.0,17.5,SRSF6
PB.161551.22,Patient31,1,0,966,1858,1035.1966873706006,0.0,19.0,17.5,SRSF6
PB.161551.22,Patient4,11,0,1554,1450,7078.507078507078,0.0,5.0,17.5,SRSF6
PB.161551.22,Patient5,19,0,1993,1596,9533.366783743102,0.0,2.0,17.5,SRSF6
PB.161551.22,Patient6,0,0,1714,1602,0.0,0.0,27.5,17.5,SRSF6
PB.161551.22,Patient7,8,2,1705,1726,4692.08211143695,1158.7485515643104,9.0,2.0,SRSF6
PB.161551.22,Patient8,11,0,1179,1359,9329.94062765055,0.0,4.0,17.5,SRSF6
PB.161551.22,Patient9,0,0,1493,1722,0.0,0.0,27.5,17.5,SRSF6
PB.161551.263,Patient1,0,0,1902,1717,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient10,0,0,2180,1394,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient11,0,0,2226,1367,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient12,0,0,2004,1791,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient13,0,0,2495,2218,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient14,0,0,1161,1708,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient15,0,0,1376,2573,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient16,0,0,1395,1271,0.0,0.0,17.0,16.5,SRSF6
