associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
SRSF6	Patient11	299	1145	218727.139722019	514375.5615453728	1367	2226	7.0	1.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.8817554494435071	-14.460619802622777	0.5338061891793212	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient13	387	696	174481.51487826873	278957.91583166335	2218	2495	11.0	3.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.3970354104987024	-19.983677354421133	0.3199403649805674						
SRSF6	Patient15	324	294	235465.11627906974	114263.505635445	1376	2573	5.0	11.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	1.0651234700611856	-12.658641940559415	0.603583025115533						
SRSF6	Patient18	157	82	158906.8825910931	59120.403749098776	988	1387	13.0	17.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.22641206874568987	-22.26860452586425	0.23146259190436694						
SRSF6	Patient21	334	122	235709.24488355682	91867.46987951807	1417	1328	4.0	12.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	1.0677979497886707	-12.633318271441118	0.6045636173539676	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient25	341	346	248542.2740524781	177800.61664953752	1372	1946	3.0	6.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	1.2083864581554586	-11.33778219897683	0.6547298318679869	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient26	668	201	395266.2721893491	136827.7739959156	1690	1469	1.0	10.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	2.8157784283716354	6.808237217159573	1.3573865327917307	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient28	299	165	202987.10115410725	137271.2146422629	1473	1202	8.0	9.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.7093200474218633	-16.28568620716814	0.46313531038348843	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient3	371	172	186713.63865123302	85190.68845963349	1987	2019	9.0	13.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.53104087505135	-18.327849919954055	0.38405791140879597						
SRSF6	Patient30	496	127	299155.6091676719	70243.36283185841	1658	1808	2.0	14.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	1.762866089865949	-6.808237217159572	0.8301245044196528	1.0	1.0	1.0	1.0	1.0	
